leader,follower,lag,horizon,corr_mean,corr_min,corr_max,corr_std,slope_mean,consistent_sign_days,score
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,500,500,0.22710452671291514,0.17689740433350523,0.2900492134597824,0.057641279797109854,0.20692754235180413,1,0.2881282453494504
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,400,500,0.1887891934539595,0.12028232995438365,0.24994397756707398,0.06514273189610638,0.1877885734774862,1,0.22863760492072935
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,500,500,-0.2404206159418547,-0.40699638977632047,-0.13088688654621733,0.14662694352953873,-0.2420208655206151,1,0.1949670319885867
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,400,500,-0.23776499149276942,-0.41627333046749077,-0.13051483318273874,0.15563667924477567,-0.26091518557333104,1,0.186017900244359
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,300,500,-0.23307870255507904,-0.41964463267658314,-0.12930014679153443,0.1619113712367881,-0.2960790259785622,1,0.1779828813498578
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,400,200,-0.20521002754916595,-0.3579329400689046,-0.11469869498163605,0.13301667190959895,-0.1398168269115165,1,0.1761333434791989
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,300,200,-0.18282905901683968,-0.31075635832364756,-0.10675263047643219,0.11144848515487164,-0.14455785124479295,1,0.17293011948790252
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,500,200,-0.20662645716732722,-0.36993641209710026,-0.12432962899650346,0.14143202609982677,-0.13031863500954224,1,0.17116739689032953
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,200,500,-0.21068864753468194,-0.3789303025371864,-0.10920532565279173,0.14673239952240946,-0.3291846975851608,1,0.17078312207274274
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,200,200,-0.13675297228123887,-0.2064467211225899,-0.09048233702439694,0.061428139173451426,-0.1325440267773723,1,0.1694289149109257
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,150,500,-0.19215083472923192,-0.3438576565103066,-0.07519131168908008,0.13766238515746684,-0.34466130521823723,1,0.16170067013500639
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,74,50,0.10800792470381632,0.06622436226911722,0.13197397642307093,0.0363159841725332,0.09053319410989796,1,0.15846699909691034
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,73,50,0.10742397918445523,0.06626947732184539,0.131285056157938,0.03579180466454511,0.09069238940308262,1,0.15821864868771915
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,75,50,0.10843931330533028,0.06575103213460985,0.1326624348630991,0.03708106718289476,0.09023758811197913,1,0.15821194791349208
