target,test_day,features,intercept,betas,resid_mean,resid_std,resid_mae,resid_ac1,resid_diff_ac1,resid_adf_t,resid_half_life
GALAXY_SOUNDS_DARK_MATTER,2,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",13279.732284909303,"{""GALAXY_SOUNDS_BLACK_HOLES"":-0.10542770564506479,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.2414839940058722,""GALAXY_SOUNDS_SOLAR_WINDS"":0.001241650346454431,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.4011758927731115}",-21.03336367111004,485.2730397409448,408.2964619001092,0.9997282145762715,-0.009910459074552623,-1.4686718358920672,2004.2036617608517
GALAXY_SOUNDS_DARK_MATTER,3,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",10480.13972036557,"{""GALAXY_SOUNDS_BLACK_HOLES"":0.05925856167478147,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.06183468317592737,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.18827848885555673,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.026923668284558822}",203.3106273535115,374.91093934871583,319.206962045909,0.9995942825764849,-0.029002837440967898,-1.1495458045921436,2147.3348549836096
GALAXY_SOUNDS_DARK_MATTER,4,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",2029.8801291203526,"{""GALAXY_SOUNDS_BLACK_HOLES"":0.43580139397141016,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.031055912977927147,""GALAXY_SOUNDS_SOLAR_WINDS"":0.2746204806519337,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.03181400416566753}",-1062.3854385871157,490.21195770269566,1082.2861871635412,0.9996978678467624,-0.0223658850270763,-1.9806126159327122,1390.044116606268
GALAXY_SOUNDS_BLACK_HOLES,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",29488.19794520776,"{""GALAXY_SOUNDS_DARK_MATTER"":-0.3671243297763648,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.9609626609162881,""GALAXY_SOUNDS_SOLAR_WINDS"":0.14998876124486143,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.42715351277825364}",-2243.3457231256784,956.4317461225453,2244.120687584981,0.9998646182775801,-0.016459412388983168,0.3502061464261071,inf
GALAXY_SOUNDS_BLACK_HOLES,3,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",-16521.71439989032,"{""GALAXY_SOUNDS_DARK_MATTER"":0.5051740612054249,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.8149624971559449,""GALAXY_SOUNDS_SOLAR_WINDS"":0.9714383448158982,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.40159188210176033}",-1638.6295323033937,746.8550995404934,1638.6295323033937,0.9996738336338113,-0.007726878355446044,-1.6605701888723123,1626.2898453620508
GALAXY_SOUNDS_BLACK_HOLES,4,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",2933.9303562868317,"{""GALAXY_SOUNDS_DARK_MATTER"":0.9109357817410906,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.16412635878023843,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.43977286063232807,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.11749468013739053}",2210.535267378834,743.9425095443945,2210.535267378834,0.9997475616065137,-0.027640855784075793,-1.6724929465983809,1857.841461810814
GALAXY_SOUNDS_PLANETARY_RINGS,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",12912.429235591826,"{""GALAXY_SOUNDS_DARK_MATTER"":0.3855347243757855,""GALAXY_SOUNDS_BLACK_HOLES"":-0.44057845107120563,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.08904160655537738,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.03942647195131801}",-1633.1935189153346,577.6622399377399,1633.1935189153346,0.9997905608550739,-0.01055839442710623,0.35345669810353464,inf
GALAXY_SOUNDS_PLANETARY_RINGS,3,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",10114.181869614682,"{""GALAXY_SOUNDS_DARK_MATTER"":0.16122891792831628,""GALAXY_SOUNDS_BLACK_HOLES"":0.24926338373168408,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.014363558265027413,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.3776118445749014}",1451.9792709418623,243.19667584978586,1451.9792709418623,0.9985912094418314,-0.004168168759740654,-2.04345846933287,645.4994924275569
GALAXY_SOUNDS_PLANETARY_RINGS,4,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",-5252.816410362677,"{""GALAXY_SOUNDS_DARK_MATTER"":0.3396545565556961,""GALAXY_SOUNDS_BLACK_HOLES"":0.8587610376612191,""GALAXY_SOUNDS_SOLAR_WINDS"":0.5840672363012749,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.24389697501872748}",-2076.385305829434,724.7861183141714,2076.385305829434,0.9997198063046332,-0.011667445552420367,-0.7659863700424142,3960.0209037339146
GALAXY_SOUNDS_SOLAR_WINDS,2,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES",16131.801773207426,"{""GALAXY_SOUNDS_DARK_MATTER"":0.0032001615032829604,""GALAXY_SOUNDS_BLACK_HOLES"":0.11101275724427984,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.1437442296410505,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.473942083734668}",-585.2105247672833,395.15053190993297,592.4894790500157,0.9995657935868617,-0.024480224352385994,-1.598785537645958,1402.5250825869825
