signal_product,target,horizon,corr_mean,corr_min,corr_max,same_sign_days,score
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.05858092144580459,-0.07711623258585946,-0.048101950640999015,1,0.11716184289160918
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.05858092144580459,-0.07711623258585946,-0.048101950640999015,1,0.11716184289160918
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.05858092144580459,-0.07711623258585946,-0.048101950640999015,1,0.11716184289160918
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.05858092144580459,-0.07711623258585946,-0.048101950640999015,1,0.11716184289160918
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.05858092144580459,-0.07711623258585946,-0.048101950640999015,1,0.11716184289160918
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.05801519412878737,-0.062067183736965584,-0.0502867122084154,1,0.11603038825757474
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.05801519412878737,-0.062067183736965584,-0.0502867122084154,1,0.11603038825757474
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.05801519412878737,-0.062067183736965584,-0.0502867122084154,1,0.11603038825757474
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.05801519412878737,-0.062067183736965584,-0.0502867122084154,1,0.11603038825757474
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.05801519412878737,-0.062067183736965584,-0.0502867122084154,1,0.11603038825757474
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_BLACK_HOLES,1,-0.057508365854369685,-0.06536261710387287,-0.04522732756610926,1,0.11501673170873937
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_BLACK_HOLES,1,-0.057508365854369685,-0.06536261710387287,-0.04522732756610926,1,0.11501673170873937
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_BLACK_HOLES,1,-0.057508365854369685,-0.06536261710387287,-0.04522732756610926,1,0.11501673170873937
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,1,-0.057508365854369685,-0.06536261710387287,-0.04522732756610926,1,0.11501673170873937
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_BLACK_HOLES,1,-0.057508365854369685,-0.06536261710387287,-0.04522732756610926,1,0.11501673170873937
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.05405467501212519,-0.06198971351457247,-0.044037045891790604,1,0.10810935002425039
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.05405467501212519,-0.06198971351457247,-0.044037045891790604,1,0.10810935002425039
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.05405467501212519,-0.06198971351457247,-0.044037045891790604,1,0.10810935002425039
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.05405467501212519,-0.06198971351457247,-0.044037045891790604,1,0.10810935002425039
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,1,-0.05405467501212519,-0.06198971351457247,-0.044037045891790604,1,0.10810935002425039
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_DARK_MATTER,1,-0.048632683955176385,-0.05688590062692847,-0.04131385823634936,1,0.09726536791035277
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_DARK_MATTER,1,-0.048632683955176385,-0.05688590062692847,-0.04131385823634936,1,0.09726536791035277
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,1,-0.048632683955176385,-0.05688590062692847,-0.04131385823634936,1,0.09726536791035277
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_DARK_MATTER,1,-0.048632683955176385,-0.05688590062692847,-0.04131385823634936,1,0.09726536791035277
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_DARK_MATTER,1,-0.048632683955176385,-0.05688590062692847,-0.04131385823634936,1,0.09726536791035277
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_PLANETARY_RINGS,5,-0.030402092941713078,-0.042840691606210984,-0.022232795170670845,1,0.060804185883426155
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_PLANETARY_RINGS,5,-0.030402092941713078,-0.042840691606210984,-0.022232795170670845,1,0.060804185883426155
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,5,-0.030402092941713078,-0.042840691606210984,-0.022232795170670845,1,0.060804185883426155
