a,b,price_corr,return_corr,spread_mean,spread_std,spread_adf_t,spread_half_life,hedge_beta,hedge_intercept,hedged_resid_std,hedged_adf_t,hedged_half_life,hedged_stationary_5pct
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.4342114192405974,0.006477868740506604,-540.0113666666666,689.86505274882,-1.6012817621954187,3527.127633275877,0.18749942614840873,8207.916773264205,297.8936951915372,-2.983535848363848,1149.2700791540676,True
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.022533526267267793,0.0042919461949617686,-865.9098833333334,564.5321284515048,-2.5267729520556346,1774.9792603310057,-0.016554130050890698,10410.289691187296,330.6110371588473,-2.7360821713925834,1416.5037104623616,False
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,-0.015680856778283625,-0.001104596740485531,-210.88215,638.5625495880396,-1.9966237534889142,2616.799272391958,-0.009583375268744311,10326.688717383251,330.6543449586097,-2.7292414483822434,1420.4379108459477,False
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,-0.008066705340676945,5.640856674351722e-05,-1240.2102666666667,1016.3947104699346,-0.9029751736645316,8901.19415283277,-0.002783325620222495,10258.577855520023,330.6842450108312,-2.7292141221123605,1421.067977340248,False
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.3352198437009312,0.004190327678297774,-655.0277333333333,811.616185304069,-1.7412077784645317,3693.3261889376813,-0.40295654647144297,14907.368350385528,509.7935551870013,-2.206868273186088,2337.107452933829,False
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,0.08759617878971622,-9.62385894562874e-06,329.12921666666665,898.1534694646491,-1.3176853483409434,5473.462302877692,0.12397529936971978,9472.675545381222,762.8801534139993,-1.051563254998424,8314.638086117158,False
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.009114061485025415,0.013669796880135027,-325.8985166666667,891.8512945325955,-1.4194473946107184,5065.987780892828,-0.015505667075195514,10938.67090712127,765.7921217561726,-1.050737224686753,8389.158753451355,False
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,-0.11709511682888302,0.0021450428348597627,374.30038333333334,1105.5545672398323,-0.43208154779023517,19105.18728069311,-0.24931485927181118,14232.41503568131,951.8353871955304,-0.9307737679759628,10727.031025429998,False
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,0.4653458919493338,0.010298439273948383,1029.3281166666666,853.6468746879199,-0.8507818079416822,8621.943636902439,0.8242458458478026,2863.7698279545384,848.3329591894548,-0.7430381861631065,10811.008897647613,False
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,0.07430053712720117,0.0015892753719059178,700.1989,1181.5246572919204,0.21794107256811457,inf,0.09298712743589825,10465.710071974048,955.7795038820176,-0.43542740972912214,24621.720417885663,False
