day,a,b,price_corr,return_corr,rolling_return_corr_500_mean,rolling_return_corr_500_min,rolling_return_corr_500_max
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,0.7537015308356894,0.0030735868046985275,0.0021146378219191134,-0.12744087006380253,0.10592413802853662
3,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,0.40018944422593816,0.013931105669357912,0.014072096288525468,-0.10914774802943178,0.11211068371818164
4,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,-0.47885688438430674,-0.015049113129642988,-0.016819367696292123,-0.13407592029059306,0.0938515788683205
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,-0.013601208662307162,0.00716862155185595,0.011648885584695403,-0.10685765363758969,0.16722531255837594
3,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.5105362385812986,-0.002324675981021011,-0.00032914066011232093,-0.1260343653143329,0.13356767995744023
4,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.21251372355854573,0.01543938572956082,0.01645007831420234,-0.11226371901275693,0.16844452784354294
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,-0.6253693091533747,-0.00016302080060308792,-0.00022185906317224785,-0.0777292654230728,0.10868671779423895
3,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,0.6074939934735288,-0.011261697010364087,-0.010314247616193574,-0.14313748190746087,0.07522563633921525
4,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,-0.22773524742029122,0.007926110044945941,0.008849811109276207,-0.10772945851878796,0.11829454815059555
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,0.6375461438289807,0.0001122838072927778,-0.0011581512994396608,-0.15494301904151067,0.11910998075543673
3,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.5100164253161265,0.007401266561790386,0.008408280544957202,-0.10685155779277587,0.1490285667947269
4,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.5933312549377296,0.005163079907951348,0.004387536338426134,-0.08568246265368831,0.11629886479437995
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,0.3203839683171371,-0.004279629178424994,-0.0037795687756708575,-0.1264957740074261,0.09354386298045472
3,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,-0.07963895259714081,0.0029989618333884204,0.006007509121481796,-0.11871686444057077,0.11989224531787203
4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,-0.4467967632413642,0.004881883954901589,0.006582578281438877,-0.105699518990383,0.13150552973537813
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,-0.5940998722486,0.0005112619105418705,0.0013451167057956794,-0.08699758265728905,0.10070032003928694
3,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,-0.1314903530898891,0.0027298076312578775,0.0011025009216711263,-0.15769594324370492,0.09798371771159223
4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,-0.24358946807368767,0.024365222943980806,0.02452460759024286,-0.12259457630879522,0.12830406762737281
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,0.427824446177552,0.0036039589935864657,0.005945143431911528,-0.08261902163997989,0.10838940047888242
3,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,-0.14213582404693648,-0.0025912786313555163,-0.003190423335203379,-0.12163866924569883,0.10110297486389955
4,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,0.046123702220680525,0.005146987893048796,0.004500095926902456,-0.11016300478947028,0.09527310413336104
2,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,-0.3794930473442386,-0.003741554927670869,-0.0009081698126579042,-0.13112276671790798,0.13192828932750877
3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,0.6967625009791089,0.007283913454815342,0.005762105054540822,-0.09713294207230493,0.12909569082160557
4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,-0.31917990634638854,-0.004139157611250684,-0.0015545186550676316,-0.09769550432163357,0.0932186700006297
2,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.5143347077626159,0.012319118866932653,0.013118141376075252,-0.08726973658386629,0.1155250882961994
3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.6345972831231721,0.02681736759599048,0.026418363193648344,-0.0982773652648584,0.15897262616545846
4,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,0.2582376094006489,0.0003787245684614823,0.0004943198347476908,-0.09625265494154678,0.10717471613764305
2,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.13686120255292136,-0.0035041605536234375,-0.0019797260378082607,-0.13294939627219576,0.12415925469307261
3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.6150178498861929,0.0027915799745594364,0.0031017632409697186,-0.14837663944063573,0.0837555422006991
4,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,0.21751558399613222,0.012987728009492838,0.014034987163342377,-0.09351107763140146,0.14109367435147968
