a,b,price_corr_mean,price_corr_min,price_corr_max,return_corr_mean,return_corr_min,return_corr_max,rolling_return_corr_500_mean,rolling_return_corr_500_min,rolling_return_corr_500_max
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.29689812716171304,-0.6345972831231721,0.2582376094006489,0.013171737010461539,0.0003787245684614823,0.02681736759599048,0.013343608134823763,-0.0982773652648584,0.15897262616545846
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,-0.3230598978040589,-0.5940998722486,-0.1314903530898891,0.009202097495260185,0.0005112619105418705,0.024365222943980806,0.008990741739236556,-0.15769594324370492,0.12830406762737281
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.2364829178258457,-0.013601208662307162,0.5105362385812986,0.006761110433465253,-0.002324675981021011,0.01543938572956082,0.009256607746261808,-0.1260343653143329,0.16844452784354294
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.1552671788082918,-0.5933312549377296,0.6375461438289807,0.004225543425678171,0.0001122838072927778,0.007401266561790386,0.0038792218613145583,-0.15494301904151067,0.1490285667947269
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.17812115614766066,-0.6150178498861929,0.21751558399613222,0.004091715810142946,-0.0035041605536234375,0.012987728009492838,0.005052341455501278,-0.14837663944063573,0.14109367435147968
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,0.11060410811709868,-0.14213582404693648,0.427824446177552,0.002053222751759915,-0.0025912786313555163,0.005146987893048796,0.002418272007870202,-0.12163866924569883,0.10838940047888242
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,-0.06868391584045597,-0.4467967632413642,0.3203839683171371,0.001200405536621672,-0.004279629178424994,0.004881883954901589,0.0029368395424166052,-0.1264957740074261,0.13150552973537813
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,0.22501136355910692,-0.47885688438430674,0.7537015308356894,0.0006518597814711506,-0.015049113129642988,0.013931105669357912,-0.00021087786194918037,-0.13407592029059306,0.11211068371818164
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,-0.0006368175705060986,-0.3794930473442386,0.6967625009791089,-0.00019893302803540366,-0.004139157611250684,0.007283913454815342,0.001099805528938429,-0.13112276671790798,0.13192828932750877
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,-0.08187018770004571,-0.6253693091533747,0.6074939934735288,-0.0011662025886737444,-0.011261697010364087,0.007926110044945941,-0.0005620985233632051,-0.14313748190746087,0.11829454815059555
