target,test_day,features,intercept,betas,resid_mean,resid_std,resid_mae,resid_ac1,resid_diff_ac1,resid_adf_t,half_life
UV_VISOR_YELLOW,2,"UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",16786.37319361781,"{""UV_VISOR_AMBER"":0.04042027327860718,""UV_VISOR_ORANGE"":0.07640514417443857,""UV_VISOR_RED"":-0.6755125049277728,""UV_VISOR_MAGENTA"":0.06214304002112605}",-487.41452556763153,674.8627943898267,612.3928500887956,0.9998110258319033,0.0015141421288234812,-1.6926026246517145,2172.9770053800034
UV_VISOR_YELLOW,3,"UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",35678.56430161254,"{""UV_VISOR_AMBER"":-0.7267120871286022,""UV_VISOR_ORANGE"":-0.27074347468964116,""UV_VISOR_RED"":-1.5134159371571088,""UV_VISOR_MAGENTA"":0.06989594551754946}",-545.9225392502165,535.028984062555,637.5331873783795,0.9992430830523787,-0.014436977004021103,-1.955554880854656,895.0656030388553
UV_VISOR_YELLOW,4,"UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",17692.385845150395,"{""UV_VISOR_AMBER"":-0.5601501663225772,""UV_VISOR_ORANGE"":-0.7174226878480753,""UV_VISOR_RED"":0.12448426769773283,""UV_VISOR_MAGENTA"":0.3796874424873668}",-1257.5677130702227,896.112287092748,1302.6412647543207,0.9998675554761594,-0.003927592228584298,-0.6158470992429264,6416.00069943406
UV_VISOR_AMBER,2,"UV_VISOR_YELLOW,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",18109.98389926272,"{""UV_VISOR_YELLOW"":0.007300090494349824,""UV_VISOR_ORANGE"":-0.15493775279533367,""UV_VISOR_RED"":-0.5223912624627605,""UV_VISOR_MAGENTA"":-0.29643656257508266}",1231.4727951203133,356.43908702818595,1231.4727951203133,0.9994897355511303,-0.011206604751549552,-1.5777251136264914,1369.264535098195
UV_VISOR_AMBER,3,"UV_VISOR_YELLOW,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",33177.09801834581,"{""UV_VISOR_YELLOW"":-0.20225193257848503,""UV_VISOR_ORANGE"":-0.27836555166130494,""UV_VISOR_RED"":-1.0506878956318593,""UV_VISOR_MAGENTA"":-0.7497768829296445}",-574.2597073537956,310.90728297215827,586.0930694874527,0.9985642647102578,-0.022652417810568964,-3.458332659754603,375.71788249259794
UV_VISOR_AMBER,4,"UV_VISOR_YELLOW,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",31477.363739989192,"{""UV_VISOR_YELLOW"":-0.39394318272703527,""UV_VISOR_ORANGE"":-0.5844545456157562,""UV_VISOR_RED"":-0.3893238997988117,""UV_VISOR_MAGENTA"":-0.7847668302110169}",-383.5814391871944,493.4617881094581,528.2602392141249,0.9995676960626119,-0.009768211580586411,-0.9319791643121011,2343.8889972450534
UV_VISOR_ORANGE,2,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_RED,UV_VISOR_MAGENTA",16943.635365230708,"{""UV_VISOR_YELLOW"":0.05112136844020855,""UV_VISOR_AMBER"":-0.5739950213106254,""UV_VISOR_RED"":-0.08180261040175603,""UV_VISOR_MAGENTA"":-0.14928082580104474}",83.30590766364175,372.2369911418227,308.26197686021777,0.9995228420150751,-0.005102386220138767,-1.884216838219216,1211.9807315325297
UV_VISOR_ORANGE,3,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_RED,UV_VISOR_MAGENTA",21027.237217587335,"{""UV_VISOR_YELLOW"":-0.15560746817482182,""UV_VISOR_AMBER"":-0.5748540973765728,""UV_VISOR_RED"":-0.2550858780314415,""UV_VISOR_MAGENTA"":-0.13740263228782798}",3.846846133728686,325.8350806670125,266.5652383979584,0.9993066810240141,-0.007155109906735487,-1.7434846732714546,1019.2922799658627
UV_VISOR_ORANGE,4,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_RED,UV_VISOR_MAGENTA",18715.741479852277,"{""UV_VISOR_YELLOW"":-0.48288818642125303,""UV_VISOR_AMBER"":-0.5593621742137566,""UV_VISOR_RED"":0.0455825861625568,""UV_VISOR_MAGENTA"":0.1006172862303491}",-584.5058324185061,654.2759571827133,612.4265249200649,0.9998112500600506,-0.006867690830244123,0.5246632936411635,inf
UV_VISOR_RED,2,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_MAGENTA",24502.251541562007,"{""UV_VISOR_YELLOW"":-0.2510823734866783,""UV_VISOR_AMBER"":-1.0751021696757725,""UV_VISOR_ORANGE"":-0.04544332746644334,""UV_VISOR_MAGENTA"":-0.19287895156074042}",1305.585597918259,324.34924226030637,1305.585597918259,0.9989141697176612,-0.01194136933159042,-2.1916435590513674,653.4535244192375
UV_VISOR_RED,3,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_MAGENTA",22104.90426707788,"{""UV_VISOR_YELLOW"":-0.23522469973193866,""UV_VISOR_AMBER"":-0.5867702040166234,""UV_VISOR_ORANGE"":-0.06898244725855787,""UV_VISOR_MAGENTA"":-0.2612846618031263}",-597.632043558374,279.44692052364906,601.1664935655409,0.9990392571925065,-0.020061856951796523,-2.6571105855177675,593.1618387327138
UV_VISOR_RED,4,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_MAGENTA",19080.284147874663,"{""UV_VISOR_YELLOW"":0.06520703927086403,""UV_VISOR_AMBER"":-0.28997593509322434,""UV_VISOR_ORANGE"":0.03547378260451764,""UV_VISOR_MAGENTA"":-0.645563404319722}",1098.6198541704184,337.35482977761154,1098.6198541704184,0.9991407672900565,-0.004938113461527302,-2.6262808444585706,650.7597404558019
UV_VISOR_MAGENTA,2,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED",17186.766983113197,"{""UV_VISOR_YELLOW"":0.018257711217442938,""UV_VISOR_AMBER"":-0.4822326471537618,""UV_VISOR_ORANGE"":-0.06555079999447769,""UV_VISOR_RED"":-0.15245997450311632}",-268.7361892913624,277.42746963871275,307.60397400683814,0.9991301307851095,-0.013540120935261094,-1.514652428090976,1063.8582364084612
UV_VISOR_MAGENTA,3,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED",22605.19031258767,"{""UV_VISOR_YELLOW"":0.019182465385189928,""UV_VISOR_AMBER"":-0.7393569995884288,""UV_VISOR_ORANGE"":-0.0656107577533649,""UV_VISOR_RED"":-0.46136190888364276}",-197.2419100098169,216.45021695830096,238.1339634919322,0.9979364337030735,-0.013084471592214179,-3.8676996913614565,278.6611778614643
