source,target,horizon,corr_mean,corr_min,corr_max,edge_mean,edge_min,same_sign_all_days,score
UV_VISOR_MAGENTA,UV_VISOR_YELLOW,1,-0.06052366031526574,-0.06549188511017891,-0.05747748801073885,-0.1255792245891256,-0.13141314131413143,True,0.12104732063053147
UV_VISOR_ORANGE,UV_VISOR_YELLOW,1,-0.06052366031526574,-0.06549188511017891,-0.05747748801073885,-0.1255792245891256,-0.13141314131413143,True,0.12104732063053147
UV_VISOR_RED,UV_VISOR_YELLOW,1,-0.06052366031526574,-0.06549188511017891,-0.05747748801073885,-0.1255792245891256,-0.13141314131413143,True,0.12104732063053147
UV_VISOR_AMBER,UV_VISOR_YELLOW,1,-0.06052366031526574,-0.06549188511017891,-0.05747748801073885,-0.1255792245891256,-0.13141314131413143,True,0.12104732063053147
UV_VISOR_YELLOW,UV_VISOR_YELLOW,1,-0.06052366031526574,-0.06549188511017891,-0.05747748801073885,-0.1255792245891256,-0.13141314131413143,True,0.12104732063053147
UV_VISOR_AMBER,UV_VISOR_MAGENTA,1,-0.05899918812812932,-0.06224340976641193,-0.056007579470372784,-0.12586258625862587,-0.13606360636063605,True,0.11799837625625864
UV_VISOR_RED,UV_VISOR_MAGENTA,1,-0.05899918812812932,-0.06224340976641193,-0.056007579470372784,-0.12586258625862587,-0.13606360636063605,True,0.11799837625625864
UV_VISOR_ORANGE,UV_VISOR_MAGENTA,1,-0.05899918812812932,-0.06224340976641193,-0.056007579470372784,-0.12586258625862587,-0.13606360636063605,True,0.11799837625625864
UV_VISOR_MAGENTA,UV_VISOR_MAGENTA,1,-0.05899918812812932,-0.06224340976641193,-0.056007579470372784,-0.12586258625862587,-0.13606360636063605,True,0.11799837625625864
UV_VISOR_YELLOW,UV_VISOR_MAGENTA,1,-0.05899918812812932,-0.06224340976641193,-0.056007579470372784,-0.12586258625862587,-0.13606360636063605,True,0.11799837625625864
UV_VISOR_AMBER,UV_VISOR_AMBER,1,-0.058342903617195706,-0.06571328930904967,-0.05088433294601825,-0.08912557922458912,-0.0959095909590959,True,0.11668580723439141
UV_VISOR_MAGENTA,UV_VISOR_AMBER,1,-0.058342903617195706,-0.06571328930904967,-0.05088433294601825,-0.08912557922458912,-0.0959095909590959,True,0.11668580723439141
UV_VISOR_ORANGE,UV_VISOR_AMBER,1,-0.058342903617195706,-0.06571328930904967,-0.05088433294601825,-0.08912557922458912,-0.0959095909590959,True,0.11668580723439141
UV_VISOR_YELLOW,UV_VISOR_AMBER,1,-0.058342903617195706,-0.06571328930904967,-0.05088433294601825,-0.08912557922458912,-0.0959095909590959,True,0.11668580723439141
UV_VISOR_RED,UV_VISOR_AMBER,1,-0.058342903617195706,-0.06571328930904967,-0.05088433294601825,-0.08912557922458912,-0.0959095909590959,True,0.11668580723439141
UV_VISOR_MAGENTA,UV_VISOR_ORANGE,1,-0.056807153930601456,-0.057804692170351966,-0.05533068344536565,-0.11432809947661432,-0.125012501250125,True,0.11361430786120291
UV_VISOR_RED,UV_VISOR_ORANGE,1,-0.056807153930601456,-0.057804692170351966,-0.05533068344536565,-0.11432809947661432,-0.125012501250125,True,0.11361430786120291
UV_VISOR_YELLOW,UV_VISOR_ORANGE,1,-0.056807153930601456,-0.057804692170351966,-0.05533068344536565,-0.11432809947661432,-0.125012501250125,True,0.11361430786120291
UV_VISOR_ORANGE,UV_VISOR_ORANGE,1,-0.056807153930601456,-0.057804692170351966,-0.05533068344536565,-0.11432809947661432,-0.125012501250125,True,0.11361430786120291
UV_VISOR_AMBER,UV_VISOR_ORANGE,1,-0.056807153930601456,-0.057804692170351966,-0.05533068344536565,-0.11432809947661432,-0.125012501250125,True,0.11361430786120291
UV_VISOR_YELLOW,UV_VISOR_RED,1,-0.053055034940509095,-0.055451456121134626,-0.050624828994146706,-0.11956195619561956,-0.12516251625162517,True,0.10611006988101819
UV_VISOR_ORANGE,UV_VISOR_RED,1,-0.053055034940509095,-0.055451456121134626,-0.050624828994146706,-0.11956195619561956,-0.12516251625162517,True,0.10611006988101819
