a,b,adjacent,spread_mean,spread_std,spread_adf_t,spread_half_life,hedge_beta,resid_std,resid_adf_t,resid_half_life
UV_VISOR_AMBER,UV_VISOR_MAGENTA,False,-3200.09665,1559.2221340999206,-1.9541534192052221,6996.132826268112,-1.4091713819950091,496.28445403394187,-3.1210154227634552,1058.0384341887257
UV_VISOR_YELLOW,UV_VISOR_RED,False,-105.83283333333334,1079.3127215757745,-0.7969447463324459,9984.690092227913,-0.5134244216322615,611.3904206440914,-2.533222994753166,2361.288563946914
UV_VISOR_RED,UV_VISOR_MAGENTA,True,-48.499316666666665,704.4306545415712,-1.8754902941019067,2816.7791766017617,0.2996676039494181,558.2057256340861,-1.8723426765588305,3066.076247487048
UV_VISOR_AMBER,UV_VISOR_RED,False,-3151.597333333333,1424.3836170052255,-2.0333251260662455,6281.5518063380905,-0.9983549413757814,805.9461258513536,-1.7238294967548147,4095.997924570067
UV_VISOR_YELLOW,UV_VISOR_ORANGE,False,530.9545333333333,883.8339097644132,-1.5572484709520775,4560.020046038893,-0.021707787059417807,681.6919144313498,-1.4459218685610515,5163.729872003101
UV_VISOR_ORANGE,UV_VISOR_MAGENTA,False,-685.2866833333334,533.6315100369666,-1.8145529224430839,2274.724596600444,0.5244283991897332,446.79374893516757,-1.390903281170413,3176.509558268216
UV_VISOR_AMBER,UV_VISOR_ORANGE,True,-2514.8099666666667,1441.2104252574172,-1.730373088820651,7568.244075986906,-1.2866756870490461,701.3769338959034,-1.3269999000730492,4084.3862339905654
UV_VISOR_YELLOW,UV_VISOR_AMBER,True,3045.7645,1272.9746935909932,-2.5117255854871017,4542.260807045198,-0.0814069373711457,676.9495128136286,-1.3007154119086355,5667.133227621403
UV_VISOR_YELLOW,UV_VISOR_MAGENTA,False,-154.33215,776.6656418850462,-1.3106339083870238,4443.131340509447,0.3162200804867555,653.609163776051,-1.2678033080657667,5357.148839364515
UV_VISOR_ORANGE,UV_VISOR_RED,True,-636.7873666666667,615.8908678251357,-1.2854065052981571,3797.0073978670516,0.3897394563868542,500.6887345050635,-1.0079279489962178,5265.315120482692
