day,a,b,window,mean,std,min,max,positive_fraction
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,100,-0.007032730682639399,0.10010207074505247,-0.28838513912449504,0.29216276410408365,0.4572727272727273
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,500,-0.0064239084001332675,0.03572000421923398,-0.1024297343269401,0.0872108041386391,0.4376842105263158
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1000,-0.006900435538367203,0.02305580959770831,-0.05620810745404026,0.05095402540381322,0.35633333333333334
2,UV_VISOR_YELLOW,UV_VISOR_ORANGE,100,-0.00800507858311788,0.10240164990630751,-0.3553336328255904,0.26815538376868014,0.47404040404040404
2,UV_VISOR_YELLOW,UV_VISOR_ORANGE,500,-0.006674293601231752,0.043620865797940896,-0.11858974895756429,0.10268187979157842,0.4713684210526316
2,UV_VISOR_YELLOW,UV_VISOR_ORANGE,1000,-0.007581925634262458,0.026514419675522392,-0.06473477368850694,0.06331867381432614,0.4052222222222222
2,UV_VISOR_YELLOW,UV_VISOR_RED,100,0.012429330747765713,0.10337470903025736,-0.3054455146839632,0.3468558054621771,0.5557575757575758
2,UV_VISOR_YELLOW,UV_VISOR_RED,500,0.011189968656302366,0.04679631921762824,-0.09872852756656325,0.1754643993964223,0.5626315789473684
2,UV_VISOR_YELLOW,UV_VISOR_RED,1000,0.012247422403396114,0.032375236709803,-0.052215959750388806,0.10181624756911803,0.5916666666666667
2,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,100,0.01215551565072493,0.09369335833983528,-0.29848324566123946,0.29328768799665966,0.5551515151515152
2,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,500,0.008008400573013951,0.03812683080887844,-0.11168826568048758,0.13465755265626422,0.5863157894736842
2,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,1000,0.0071888816424794414,0.01949142607090623,-0.046391068572616385,0.07889026631209942,0.611
2,UV_VISOR_AMBER,UV_VISOR_ORANGE,100,0.009365994390838385,0.09835703905076708,-0.34921001789330314,0.34126351180128595,0.5588888888888889
2,UV_VISOR_AMBER,UV_VISOR_ORANGE,500,0.007711316152981245,0.03592782164974916,-0.07746919950070409,0.1034373715334146,0.5665263157894737
2,UV_VISOR_AMBER,UV_VISOR_ORANGE,1000,0.007498734003037067,0.022163256329039073,-0.05360474624060363,0.06452758647094223,0.611
2,UV_VISOR_AMBER,UV_VISOR_RED,100,0.012973000850358485,0.10011279849640675,-0.30619695801214547,0.34398076134350025,0.5748484848484848
2,UV_VISOR_AMBER,UV_VISOR_RED,500,0.010282734168735817,0.042362016254343625,-0.11513153989536913,0.13701143638993288,0.6336842105263157
2,UV_VISOR_AMBER,UV_VISOR_RED,1000,0.00825869679075283,0.029276705286162972,-0.06260871782708483,0.08466616422832116,0.6511111111111111
2,UV_VISOR_AMBER,UV_VISOR_MAGENTA,100,0.0013195288565735423,0.10424434188773458,-0.327969516058665,0.32592372881517717,0.5096969696969696
2,UV_VISOR_AMBER,UV_VISOR_MAGENTA,500,0.0021729327002412147,0.04458041000297491,-0.12588499155699426,0.11060390853699638,0.5512631578947368
2,UV_VISOR_AMBER,UV_VISOR_MAGENTA,1000,0.0013375788416050574,0.03214152365665822,-0.0792284478123284,0.06459500722923253,0.546
2,UV_VISOR_ORANGE,UV_VISOR_RED,100,0.006519019410532135,0.10778327357387346,-0.31221368693325613,0.32458630480589623,0.5318181818181819
2,UV_VISOR_ORANGE,UV_VISOR_RED,500,0.0042080202148222,0.04101425271892153,-0.10621478125722918,0.11951845641537562,0.4926315789473684
2,UV_VISOR_ORANGE,UV_VISOR_RED,1000,0.003009698929162409,0.02520786258075855,-0.07434968407169187,0.0610273191349842,0.5464444444444444
2,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,100,0.011784106841535217,0.10358494952161253,-0.3481957253109892,0.29803668967320607,0.5684848484848485
2,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,500,0.013443908631379127,0.05008155494866927,-0.16257880873886943,0.11913589734050672,0.6997894736842105
2,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,1000,0.012532937406097693,0.04014899122936326,-0.10376311711346325,0.07930758400197635,0.7104444444444444
2,UV_VISOR_RED,UV_VISOR_MAGENTA,100,0.016003074946846958,0.10313132588573863,-0.332415995983301,0.313810619650378,0.5875757575757575
2,UV_VISOR_RED,UV_VISOR_MAGENTA,500,0.020096426137375237,0.04476564803504659,-0.11883553399181375,0.11569609074037125,0.6746315789473685
2,UV_VISOR_RED,UV_VISOR_MAGENTA,1000,0.021613196669669668,0.030066270663498172,-0.059644429218324246,0.08426049831250353,0.7972222222222223
3,UV_VISOR_YELLOW,UV_VISOR_AMBER,100,-0.006916570990682839,0.09703236008342236,-0.2885352235375974,0.28437969214982145,0.4793939393939394
3,UV_VISOR_YELLOW,UV_VISOR_AMBER,500,-0.007185927264358469,0.0344478649516715,-0.09478461239184845,0.1077585563140687,0.4396842105263158
3,UV_VISOR_YELLOW,UV_VISOR_AMBER,1000,-0.00813435147918108,0.021364752287663855,-0.06231294508785197,0.04686306783572971,0.4026666666666667
3,UV_VISOR_YELLOW,UV_VISOR_ORANGE,100,0.011761478760299359,0.09043714476836737,-0.32120780291894874,0.2804885511513877,0.5371717171717172
3,UV_VISOR_YELLOW,UV_VISOR_ORANGE,500,0.011585280525535173,0.04240271846753323,-0.09541494783291866,0.13514930105155135,0.6211578947368421
3,UV_VISOR_YELLOW,UV_VISOR_ORANGE,1000,0.009014252307944467,0.02603540632412757,-0.07593641033328839,0.07123006923377878,0.7058888888888889
3,UV_VISOR_YELLOW,UV_VISOR_RED,100,0.015775844749240476,0.09138411963249948,-0.26232154609149305,0.3760728102584627,0.5608080808080808
3,UV_VISOR_YELLOW,UV_VISOR_RED,500,0.0186690992431386,0.035044945501643,-0.10436007435213675,0.10345794549567561,0.7376842105263158
3,UV_VISOR_YELLOW,UV_VISOR_RED,1000,0.017648560497888013,0.021891414271308852,-0.046956038782980075,0.07823702336239072,0.7798888888888889
3,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,100,0.02220889706852895,0.08811779807068527,-0.24106727767134054,0.38302337119860685,0.5927272727272728
3,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,500,0.024223422947777656,0.04099797416606111,-0.0696309390207331,0.1641110279238711,0.7135789473684211
3,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,1000,0.024929902978075423,0.030955204576039345,-0.031518173416788066,0.11034803417423888,0.8062222222222222
