day,leader,follower,lag,horizon,corr,signed_edge_per_unit
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,1,-0.01083037576558637,-0.1323264652930586
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,2,-0.01274857029913512,-0.18480544163248974
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,5,-0.004165979612043119,-0.24799879927956775
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,10,0.0001078755324465225,-0.10411452597857643
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,20,0.0069770708786602055,0.2942679627217156
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,50,0.004690832641683169,0.10759875364358228
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,1,100,0.004132522837074341,0.4254470148499849
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,1,-0.012669420535797,-0.01245373612083625
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,2,-0.0022953142419547025,0.12059823929571829
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,5,-0.002650331824535086,0.27874512158510956
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,10,0.003059850198691799,0.2661193432118542
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,20,0.009887132421153372,0.8482160753658048
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,50,0.006459485305116009,0.5917269802975472
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,2,100,0.005300091454146595,1.3869973732067085
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,1,0.0014498970557887186,0.04211684673869548
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,2,0.005592350529443956,0.07808904452226113
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,5,0.0015118022333607908,0.15762610088070456
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,10,0.007268377718914487,0.2465204766196055
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,20,0.012209191215416108,0.6894357021148642
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,50,0.009472562767696494,1.1244093696591937
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,3,100,0.006630471206104488,1.5899767606345356
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,1,0.00014645243053424192,-0.04037018509254627
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,2,0.0006167447157249836,0.021262757654592755
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,5,-0.003662793354444205,-0.022019817836052447
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,10,0.0049997412560440985,0.226517123973563
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,20,0.012036104365843294,0.8574077786688051
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,50,0.010341655876808471,1.160416247737784
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,4,100,0.006696833215015988,1.9173403395311237
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,1,-0.004207235637806688,-0.04357614568741245
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,2,-0.002696481729460572,-0.049334534173921744
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,5,-0.0058134922901024325,-0.08973973973973974
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,10,0.005944322023249595,0.5313970956434652
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,20,0.01420850304061949,1.208220551378446
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,50,0.010727065916328556,1.8965309200603317
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,5,100,0.00567888785848598,2.3114704396159675
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,1,-0.004046553774269775,0.01811267887521265
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,2,-0.0008980640427235956,0.0625
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,5,-0.003459848146564759,0.08379217138852738
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,10,0.007469083111043657,0.6696213942307693
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,20,0.018200381962763846,1.5481251253258472
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,50,0.010564191880962148,2.0619971842316973
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,6,100,0.004710242452162711,1.9693248433393977
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,1,-0.0015515330029470312,-0.04698759007205765
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,2,-0.003705968795453084,-0.08242418176358723
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,5,-0.0010283962629160362,0.022326792150580695
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,10,0.009057745028128542,0.42522287889412
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,20,0.021405989719855464,0.9110097262609045
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,50,0.009823813672318287,1.3733782560595393
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,7,100,0.003984215679233995,1.2393106236733042
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,1,-0.007414178990123936,-0.01976779101191072
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,2,-0.005736445855897705,-0.045195195195195194
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,5,0.0008997888244260859,0.11459897867227396
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,10,0.01028112954875747,0.5384191544780605
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,20,0.024534625272356277,1.1017348576012835
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,50,0.009190404831931969,1.4369845101589218
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,8,100,0.0029598302192091405,0.9787707238172261
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,9,1,-0.00439158920999901,0.02252252252252252
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,9,2,-0.0004537291226839766,0.05255781359495445
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,9,5,0.003018068361155522,0.2871019427198077
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,9,10,0.013438060357868872,0.8861837491233343
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,9,20,0.02891136580414377,1.3874736736535955
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,9,50,0.009974075631017555,1.5440096569761594
