day,a,b,corr
2,UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.9089210632974275
2,UV_VISOR_YELLOW,UV_VISOR_ORANGE,-0.4451546518068294
2,UV_VISOR_YELLOW,UV_VISOR_RED,-0.20097635171921374
2,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.786087558476551
2,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.3709997180312309
2,UV_VISOR_AMBER,UV_VISOR_RED,0.011372304722808644
2,UV_VISOR_AMBER,UV_VISOR_MAGENTA,-0.7501475919753636
2,UV_VISOR_ORANGE,UV_VISOR_RED,-0.07189272531929417
2,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,-0.1932930603007438
2,UV_VISOR_RED,UV_VISOR_MAGENTA,-0.46538277212910717
3,UV_VISOR_YELLOW,UV_VISOR_AMBER,-0.16772818506076909
3,UV_VISOR_YELLOW,UV_VISOR_ORANGE,-0.47118451630818164
3,UV_VISOR_YELLOW,UV_VISOR_RED,0.12286725571069199
3,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.012832996393561674
3,UV_VISOR_AMBER,UV_VISOR_ORANGE,-0.06463425184475574
3,UV_VISOR_AMBER,UV_VISOR_RED,-0.1313540182302918
3,UV_VISOR_AMBER,UV_VISOR_MAGENTA,-0.4053762743841598
3,UV_VISOR_ORANGE,UV_VISOR_RED,0.311980763916911
3,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,-0.16256896891398812
3,UV_VISOR_RED,UV_VISOR_MAGENTA,-0.4006786251674806
4,UV_VISOR_YELLOW,UV_VISOR_AMBER,0.3916570548624181
4,UV_VISOR_YELLOW,UV_VISOR_ORANGE,0.10055821836751049
4,UV_VISOR_YELLOW,UV_VISOR_RED,-0.6985789786615821
4,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,0.12789371233040545
4,UV_VISOR_AMBER,UV_VISOR_ORANGE,-0.5881068458809058
4,UV_VISOR_AMBER,UV_VISOR_RED,-0.5088653161093984
4,UV_VISOR_AMBER,UV_VISOR_MAGENTA,0.16437828659829232
4,UV_VISOR_ORANGE,UV_VISOR_RED,-0.013714492488477826
4,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.04945121499076644
4,UV_VISOR_RED,UV_VISOR_MAGENTA,-0.11335141964665933
