leader,follower,lag,horizon,corr_mean,corr_min,corr_max,corr_std,edge_mean,edge_min,aligned_days,same_sign_all_days,score
UV_VISOR_RED,UV_VISOR_YELLOW,500,100,-0.1959256987966119,-0.24651103462098584,-0.15105279143353398,0.04798481975898985,-17.579485815602837,-22.69898936170213,3,True,0.37390942140110367
UV_VISOR_RED,UV_VISOR_YELLOW,400,100,-0.1698261903821939,-0.19045366768871422,-0.14985049491200889,0.020309431911192857,-15.163350877192983,-20.334526315789475,3,True,0.3328915426452227
UV_VISOR_RED,UV_VISOR_YELLOW,300,100,-0.161056846506575,-0.21603825081894637,-0.1003696627062835,0.05804500416631729,-13.01720486111111,-14.687760416666666,3,True,0.3044423363323362
UV_VISOR_AMBER,UV_VISOR_MAGENTA,150,100,-0.1475418229423883,-0.19278883448385725,-0.07187716344625303,0.06594568241057913,-10.21957264957265,-14.329692307692307,3,True,0.2768280323791553
UV_VISOR_AMBER,UV_VISOR_MAGENTA,200,100,-0.14163235981893676,-0.2073413591138429,-0.03295653502311263,0.0948004630184288,-9.743178694158075,-15.210103092783505,3,True,0.25873639006042815
UV_VISOR_RED,UV_VISOR_YELLOW,500,50,-0.12746753360387186,-0.16231827816477828,-0.09029578820144667,0.036067298884298216,-8.83241622574956,-10.802539682539683,3,True,0.24606033554217344
UV_VISOR_AMBER,UV_VISOR_MAGENTA,100,100,-0.11429895780561246,-0.16097916472818327,-0.08892191410388084,0.04047752974544853,-9.682738095238095,-13.508469387755103,3,True,0.21970480772146142
UV_VISOR_AMBER,UV_VISOR_MAGENTA,200,50,-0.11555011065954936,-0.1501137971081313,-0.055316480244135845,0.05235305472079346,-4.8208547008547,-7.733076923076923,3,True,0.21960331685492507
UV_VISOR_AMBER,UV_VISOR_MAGENTA,99,100,-0.1136862731413007,-0.15979010812046368,-0.08976985947014825,0.039936450186356956,-9.765721184913104,-13.4697479848995,3,True,0.21864080852426718
UV_VISOR_AMBER,UV_VISOR_MAGENTA,150,50,-0.11207938243469966,-0.1401409033323871,-0.0782220257736394,0.03136368335640429,-6.343129251700681,-7.813520408163265,3,True,0.21734211557644853
UV_VISOR_AMBER,UV_VISOR_MAGENTA,98,100,-0.11291093574633093,-0.15846123055383204,-0.08991810621954609,0.03944831306018531,-9.605131605794735,-13.100438685982452,3,True,0.21725165999628354
