product_a,product_b,category_a,category_b,same_category,target,hedge,intercept,beta,residual_mean,residual_std,loo_edge_mean,loo_edge_min,loo_positive_days,loo_mr_ic_mean,activation_mean,residual_std_mean,edge_efficiency,spread_score,day_edges,return_corr_mean,rolling_return_corr_mean,price_level_corr_mean,spread_corr_mean,relationship_score
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snackpacks,snackpacks,True,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,20355.785260461274,-1.0411110933009067,6.713283558686574e-13,75.84280600020267,1.1674136201346752,0.11170634516195262,3,0.07487874040889038,0.6279559118236473,45.222248727988735,0.025815028066309875,0.27748024851535313,"[0.11170634516195262,3.206994942527672,0.18353957271440094]",-0.9159093639168808,-0.9149476503800513,-0.9717895712510831,0.8915268338404788,2.088430742042291
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,snackpacks,snackpacks,True,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,12146.168066583845,-0.19318498476125068,-1.2068388362725575e-12,154.60507360441844,3.059047753076397,1.0347851665803358,3,0.0824302417154986,0.6082832331329325,135.71676368352283,0.02253994031429878,0.24397913042659336,"[1.0347851665803358,5.22120467763547,2.921153415013385]",-0.9237508357731313,-0.9232863504559976,-0.8101365812739512,0.8872475778034182,2.0200114173665593
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,snackpacks,snackpacks,True,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,14355.300148533403,-0.4504589712515269,6.946114202340444e-13,147.3184545284621,3.8653113247238324,1.2528576656567358,3,0.10100658026781427,0.43987975951903807,130.19560869600477,0.02968849228816152,0.32687225367496087,"[1.733021320840425,8.610054987674337,1.2528576656567358]",-0.8309330841744226,-0.8302704989080589,-0.7163859705052742,0.8957249109237292,1.954392896862445
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,snackpacks,snackpacks,True,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,11932.09597649898,-0.22754657180491036,7.761021455128987e-14,168.2534466576309,1.9824891619649165,0.8454291001417187,3,0.09090110121034493,0.5981963927855712,155.7993360797864,0.012724631643806647,0.13881314672724673,"[1.4519181612332261,3.6501202245198052,0.8454291001417187]",0.9133330301374599,0.9131146146080428,0.3903196972530458,0.9184585288292824,1.8828062938800072
PEBBLES_S,PEBBLES_XL,pebbles,pebbles,True,PEBBLES_XL,PEBBLES_S,29114.80149442466,-1.7788376183480676,-1.816079020500183e-12,979.2590895100774,7.635934028807573,4.63848800281072,3,0.06653405244291195,0.7291583166332666,843.5099195814338,0.009052571702531577,0.09654875982931033,"[8.068368006973362,4.63848800281072,10.200946076638637]",-0.49565526157138756,-0.49422213583946,-0.6015526118359432,0.3850724133018437,1.0997356393808086
PEBBLES_L,PEBBLES_XL,pebbles,pebbles,True,PEBBLES_L,PEBBLES_XL,11087.851305679043,-0.06908884742052511,2.1730860074361165e-13,610.0977675288336,3.1772409478745387,2.2916630603917763,3,0.03894600672088797,0.608183032732131,467.82511377880064,0.006791514295183429,0.07056016656568649,"[2.2916630603917763,4.452595065929187,2.787464717302653]",-0.5000068648048295,-0.4991236262697389,-0.7388443149374896,0.3296562306271667,1.08849595915781
PEBBLES_XS,PEBBLES_XL,pebbles,pebbles,True,PEBBLES_XL,PEBBLES_XS,20735.8096550048,-1.0142587046768645,9.158005317052205e-13,997.2705964367109,8.712904864608507,-0.07821890093035175,2,0.06025973417549344,0.3876419505678023,1024.4338273040053,0.008505092893640766,0.060117383536996236,"[21.748949280678044,-0.07821890093035175,4.4679842140778305]",-0.4973147706140419,-0.4964496465194855,-0.5631527333673164,0.24401981681455,1.0456250000338074
PEBBLES_M,PEBBLES_XL,pebbles,pebbles,True,PEBBLES_XL,PEBBLES_M,3935.0871939156877,0.9052208894200221,3.104408582051595e-14,1663.8387357219126,12.907241073594314,-4.004444324033946,2,0.05603115540758902,0.5753173012692051,1543.5922154907976,0.008361820527509172,0.05886895328650938,"[10.502280931505979,32.22388661331091,-4.004444324033946]",-0.5114973416178821,-0.5110845568818113,-0.3046381893103448,0.500868066603211,1.0256752167941054
TRANSLATOR_ECLIPSE_CHARCOAL,OXYGEN_SHAKE_MINT,translators,oxygen_shakes,False,OXYGEN_SHAKE_MINT,TRANSLATOR_ECLIPSE_CHARCOAL,7736.539513063575,0.21417463341269805,5.277494589487712e-13,502.3815305614638,30.19402706130848,0.9498114462377208,3,0.07173043986964496,0.546125584502338,333.7096897219348,0.09047992309263718,0.969700877754437,"[87.54784389642857,0.9498114462377208,2.0844258412591414]",0.007491889478766549,0.007093037563407414,0.0723974140793151,0.7712450705145244,0.9937354223981939
MICROCHIP_SQUARE,ROBOT_LAUNDRY,microchips,robotics,False,MICROCHIP_SQUARE,ROBOT_LAUNDRY,30258.06374657529,-1.6963982182908188,3.1044085820515953e-12,1504.5604386404002,75.47645487531544,-2.004644566834199,2,0.10930100131586733,0.6622578490313961,723.4631218316155,0.10432660988196497,0.7715307520396907,"[5.145679392483073,-2.004644566834199,223.28832980029742]",-0.0003755970433032766,-0.0008789849666635402,-0.17733590632253313,-0.012548436545432773,0.7975785637179422
