category,avoid_score,validated_alpha_score,liquidity_score,avg_spread
uv_visors,0.24554952462172816,117.90228475018752,2.8324815198895896,13.12912
robotics,0.25215753233823446,121.78050877345774,2.252565267203425,7.126446666666666
panels,0.2524885704830801,122.45905613204083,2.743545502487598,9.398566666666666
translators,0.2349625714645574,123.2765612621956,2.6267481381641695,8.781153333333332
galaxy_sounds,0.2358793251944047,126.57530158775542,2.668712838228194,13.725286666666667
sleep_pods,0.2566402687492363,131.2829274622063,2.30900608806481,9.652026666666668
oxygen_shakes,0.22075622742825368,132.37886611482037,2.855551604602505,12.8954
microchips,0.29815934707851655,140.35473564470308,1.64700103052966,8.790386666666667
snackpacks,0.22474730118516492,161.73381820237122,3.5196550768332386,16.78688
pebbles,0.2053371680480327,243.89833629978637,2.0624705059953983,12.813713333333334
