trader,events,qty,notional,mean_edge,median_edge,edge_std,q_edge_sum,aggressive_rate,hit_rate,horizon,q_mean_edge,score,t_stat
Mark 01,1843,7428,14685430.0,0.04557786218122626,0.0,0.6047547126960725,545.5,0.0,0.149755832881172,1,0.07343834141087777,6.329345561717564,3.235469849212044
Mark 14,2172,8718,59789782.0,0.027394106813996316,0.0,1.656487886806342,203.5,0.0,0.3775322283609576,1,0.023342509749942647,2.1794955228477364,0.7707238365892793
Mark 22,1584,5889,5224815.0,-0.14646464646464646,-0.0,0.8273286216185274,-1237.0,0.9071969696969697,0.08964646464646464,1,-0.21005264051621667,-16.119401859825942,-7.045833029563943
Mark 38,1478,5000,42038913.0,-0.029093369418132613,0.0,1.9506867330795963,-410.5,1.0,0.3876860622462788,1,-0.0821,-5.805346673541555,-0.5733815420259921
Mark 49,122,1186,6226436.0,-1.8114754098360655,-2.0,1.0510283607461817,-2265.5,0.01639344262295082,0.03278688524590164,1,-1.9102023608768972,-65.78421884134987,-19.036974284111185
Mark 55,1198,6551,34376764.0,0.022954924874791317,0.0,1.149122922798459,140.0,1.0,0.38647746243739567,1,0.021370783086551673,1.729713742824874,0.6914134072519117
Mark 67,165,1510,7926450.0,1.9696969696969697,2.0,0.9654030020634906,3024.0,0.9939393939393939,0.9575757575757575,1,2.0026490066225167,77.82037391343277,26.207931435027316
Mark 01,1843,7428,14685430.0,0.030113944655453067,0.0,0.7966674194653502,396.5,0.0,0.16386326641345633,2,0.05337910608508347,4.600523400955113,1.62275613201967
Mark 14,2172,8718,59789782.0,0.02255985267034991,-0.0,2.1811548468150947,323.0,0.0,0.40699815837937386,2,0.03704978206010553,3.4593467021121325,0.4820362187128907
Mark 22,1584,5889,5224815.0,-0.13131313131313133,-0.0,0.8402714676879904,-1208.0,0.9071969696969697,0.10732323232323232,2,-0.20512820512820512,-15.741501573702294,-6.219652624559298
Mark 38,1478,5000,42038913.0,-0.03484438430311231,0.0,2.5067215685998447,-507.0,1.0,0.425575101488498,2,-0.1014,-7.170062761231591,-0.5343968803179499
Mark 49,122,1186,6226436.0,-1.819672131147541,-2.0,1.3454323919713207,-2246.5,0.01639344262295082,0.040983606557377046,2,-1.8941821247892074,-65.23250833241778,-14.938644068164775
Mark 55,1198,6551,34376764.0,0.04674457429048414,-0.0,1.503374734449208,265.5,1.0,0.4065108514190317,2,0.04052816363913906,3.280278562285743,1.076198471056737
Mark 67,165,1510,7926450.0,1.9454545454545455,2.0,1.2663782882527133,2976.5,0.9939393939393939,0.9030303030303031,2,1.9711920529801326,76.5979970083772,19.73329481356208
Mark 01,1843,7428,14685430.0,0.02930005425935974,0.0,0.9287651302926666,383.5,0.0,0.16820401519262074,3,0.051628971459343025,4.449686568136912,1.3543321570226234
Mark 14,2172,8718,59789782.0,0.0177255985267035,0.0,2.550102965240569,348.5,0.0,0.4171270718232044,3,0.039974764854324385,3.7324530206999325,0.323946358813438
Mark 22,1584,5889,5224815.0,-0.12468434343434344,-0.0,0.9458239637575354,-1151.0,0.9071969696969697,0.12121212121212122,3,-0.19544914246901002,-14.99873204580409,-5.246615018219688
Mark 38,1478,5000,42038913.0,-0.02943166441136671,0.0,2.919765449372388,-509.5,1.0,0.43775372124492556,3,-0.1019,-7.2054181002909194,-0.3875288814639577
Mark 49,122,1186,6226436.0,-1.848360655737705,-2.0,1.7673453785364863,-2296.5,0.01639344262295082,0.10655737704918032,3,-1.9363406408094435,-66.68437809276539,-11.5516813977209
Mark 55,1198,6551,34376764.0,0.04006677796327212,0.0,1.7470769942796802,208.0,1.0,0.42237061769616024,3,0.03175087772859105,2.569860417911241,0.7937811536168425
Mark 67,165,1510,7926450.0,1.9757575757575758,2.0,1.5605717962067744,3017.0,0.9939393939393939,0.9030303030303031,3,1.9980132450331125,77.64023415900354,16.262670926998442
Mark 01,1843,7428,14685430.0,0.024416711882799782,0.0,1.169509777856654,359.5,0.0,0.187194791101465,5,0.04839795368874529,4.171218569087927,0.8962847126867142
Mark 14,2172,8718,59789782.0,-0.030847145488029467,0.0,3.3414563941931097,-120.0,0.0,0.4148250460405157,5,-0.013764624913971095,-1.2852062051190585,-0.4302383251701194
Mark 22,1584,5889,5224815.0,-0.11047979797979798,-0.0,1.0665374973834898,-1128.5,0.9071969696969697,0.13446969696969696,5,-0.19162845984038038,-14.705533547949535,-4.122724660451418
Mark 38,1478,5000,42038913.0,0.006765899864682003,-0.0,3.8333543420676977,-271.0,1.0,0.4654939106901218,5,-0.0542,-3.8325187540310877,0.06785530660101985
Mark 49,122,1186,6226436.0,-1.819672131147541,-2.0,2.075103874498988,-2217.0,0.01639344262295082,0.13934426229508196,5,-1.869308600337268,-64.3759051738127,-9.685749165829971
Mark 55,1198,6551,34376764.0,0.07345575959933222,0.0,2.1824728819997685,425.0,1.0,0.44156928213689484,5,0.06487559151274615,5.250916719289795,1.164944960489555
Mark 67,165,1510,7926450.0,1.9454545454545455,2.0,1.9309878220635868,2952.0,0.9939393939393939,0.8303030303030303,5,1.9549668874172186,75.96750786787486,12.941467482109259
Mark 01,1843,7428,14685430.0,0.06619641888225719,0.0,1.6578906900388402,761.5,0.0,0.20618556701030927,10,0.10251750134625741,8.835557553158432,1.7141201898758835
Mark 14,2172,8718,59789782.0,-0.007366482504604052,0.0,4.730039743225411,-823.0,0.0,0.43830570902394106,10,-0.09440238586831842,-8.814372556774876,-0.07258139021559148
