symbol,flow_1_corr,flow_5_corr,flow_10_corr,flow_20_corr,flow_50_corr,book_imbalance_h10_corr,mean_spread
HYDROGEL_PACK,-0.010270556854700921,0.0012973443759266069,0.0009623761989798066,-0.012057409928543303,-0.021827604546875178,-0.11362392211818388,15.727933333333333
VELVETFRUIT_EXTRACT,0.07371594489005136,0.028572251362599495,0.025289319534726767,0.0448572750488524,0.07670875114839265,-0.11747921494493918,4.982433333333334
VEV_4000,0.0055945437946969415,-0.004579725808522968,2.3587336283017698e-05,0.012119798300277774,-0.010364474583283432,-0.21975020640895682,20.7535
VEV_4500,0.03384565345515053,-0.00750753456770513,-0.020142300446720465,-0.023519100139473795,-0.014206733455742526,-0.16955351051625683,15.793833333333334
VEV_5000,0.013179809926779817,-0.012270986538737427,-0.021277650282148747,-0.025355291850851093,-0.015524174238088972,-0.06961608921435773,5.9642333333333335
VEV_5100,0.013247726284531301,-0.012543891005271052,-0.02316336442229439,-0.025068492952002017,-0.015917639155563514,-0.05295887719553382,4.1744
VEV_5200,-0.0029188214696990364,-0.00029260363277270197,-0.021515783061963778,-0.01642805631525108,-0.021825753413442582,-0.04050549775195686,2.757833333333333
VEV_5300,0.02220740069642894,0.010819824373426556,-0.011018709208299525,-0.02214843606664108,-0.06182977519418701,-0.02786733873293071,1.9730666666666667
VEV_5400,0.0158817507746871,-0.0030701369862879764,-0.02722618542030293,-0.03908898605862275,-0.0420419948984263,-0.01079902000452913,1.3040333333333334
VEV_5500,0.015494384093961895,-0.003714450358206885,-0.024495758100565635,-0.0381484226438763,-0.004755048779981471,-7.963777995594012e-05,1.1087666666666667
VEV_6000,,,,,,,1.0
VEV_6500,,,,,,,1.0
