day,timestamp,cash,equity,gross_exposure,drawdown,stopped,open_positions,max_abs_position
3,1500,0.0,0.0,0.0,0.0,0,0,0
3,3600,-1416.0,-18.0,1398.0,18.0,0,1,12
3,6900,-3671.0,-1443.5,2227.5,1443.5,0,2,12
3,11400,-6119.0,-1496.0,4623.0,1496.0,0,2,23
3,11800,9277.0,-6245.0,15522.0,6245.0,0,3,23
3,17400,7933.0,10585.0,2652.0,18.0,0,3,24
3,21600,7639.0,7927.0,288.0,2676.0,0,4,24
3,26100,7639.0,7639.0,0.0,2964.0,0,4,24
3,27200,16459.0,-7680.5,24139.5,18283.5,0,4,24
3,28000,16447.0,16453.0,6.0,6.0,0,5,24
3,28500,16447.0,16447.0,0.0,12.0,0,5,24
3,32900,23296.0,16415.5,6880.5,43.5,0,6,24
3,37300,38428.0,-1004.0,39432.0,17463.0,0,6,31
3,38200,38416.0,38422.0,6.0,6.0,0,7,31
3,38400,36280.0,42422.5,6142.5,30.0,0,7,35
3,39100,36268.0,36280.0,12.0,6172.5,0,7,35
3,40000,41532.0,29372.0,12160.0,13080.5,0,7,35
3,44000,48942.0,29468.0,19474.0,12984.5,0,7,35
3,44200,48930.0,48948.0,18.0,6.0,0,7,36
3,46200,48786.0,48924.0,138.0,30.0,0,8,36
3,47500,48774.0,48798.0,24.0,156.0,0,8,48
3,50700,46806.0,54420.0,7614.0,24.0,0,8,48
3,52100,46650.0,46938.0,288.0,7506.0,0,8,48
3,59600,46650.0,46650.0,0.0,7794.0,0,8,48
3,60400,45010.0,54244.0,9234.0,200.0,0,8,57
3,62600,43042.0,54185.5,11143.5,258.5,0,8,69
3,65900,43042.0,43042.0,0.0,11402.0,0,8,69
3,67600,42874.0,43342.0,468.0,11102.0,0,8,69
3,68000,38272.0,23092.0,15180.0,31352.0,1,8,69
3,68600,38272.0,38272.0,0.0,16172.0,1,8,69
3,69100,38272.0,38272.0,0.0,16172.0,1,8,69
3,73700,23020.0,-920.0,23940.0,55364.0,1,8,69
3,74000,23020.0,23020.0,0.0,31424.0,1,7,69
3,79900,23176.0,23500.0,324.0,30944.0,1,7,69
3,83900,23176.0,23176.0,0.0,31268.0,1,7,69
3,88000,23176.0,23176.0,0.0,31268.0,1,7,69
3,88300,24172.0,25186.0,1014.0,29258.0,1,7,69
3,88800,24604.0,24382.0,222.0,30062.0,1,7,69
3,89000,24604.0,24604.0,0.0,29840.0,1,7,69
3,93000,24604.0,24604.0,0.0,29840.0,1,7,69
3,93300,24604.0,24604.0,0.0,29840.0,1,7,69
3,93700,24604.0,24604.0,0.0,29840.0,1,7,69
3,95800,24736.0,24880.0,144.0,29564.0,1,7,69
3,105700,24280.0,24502.0,222.0,29942.0,1,7,69
3,106900,25300.0,25300.0,0.0,29144.0,1,6,69
3,107200,25300.0,25300.0,0.0,29144.0,1,6,69
3,109700,19973.0,10184.0,9789.0,44260.0,1,6,69
3,112900,20369.0,20165.0,204.0,34279.0,1,6,69
3,117300,20369.0,20387.0,18.0,34057.0,1,6,69
3,118100,20369.0,20381.0,12.0,34063.0,1,6,69
3,121400,20369.0,20369.0,0.0,34075.0,1,6,69
3,121900,5321.0,-3383.5,8704.5,57827.5,1,6,69
3,122600,5321.0,5321.0,0.0,49123.0,1,6,69
3,125100,5321.0,5321.0,0.0,49123.0,1,6,69
3,127900,4913.0,5114.0,201.0,49330.0,1,6,69
3,129600,4913.0,4913.0,0.0,49531.0,1,6,69
3,132400,4913.0,4913.0,0.0,49531.0,1,6,69
3,134000,-1183.0,-4953.0,3770.0,59397.0,1,6,69
3,136000,-1183.0,-1183.0,0.0,55627.0,1,6,69
3,136700,-1183.0,-1183.0,0.0,55627.0,1,6,69
3,137400,-1063.0,-1063.0,0.0,55507.0,1,5,69
3,140400,-7071.0,-4842.0,2229.0,59286.0,1,5,69
3,145600,-6651.0,-6867.0,216.0,61311.0,1,5,69
3,146100,-6651.0,-6651.0,0.0,61095.0,1,5,69
3,147300,-19201.0,-15467.5,3733.5,69911.5,1,5,69
3,147900,-19201.0,-19201.0,0.0,73645.0,1,5,69
3,148600,-19201.0,-19201.0,0.0,73645.0,1,5,69
3,148900,-19201.0,-19201.0,0.0,73645.0,1,5,69
3,154800,-19201.0,-19201.0,0.0,73645.0,1,5,69
3,154900,-19201.0,-19201.0,0.0,73645.0,1,5,69
3,155800,-19201.0,-19201.0,0.0,73645.0,1,5,69
3,156800,-5748.0,-15616.0,9868.0,70060.0,1,5,69
3,157100,-6144.0,-5952.0,192.0,60396.0,1,5,69
3,157200,-6144.0,-6144.0,0.0,60588.0,1,5,69
3,158200,-6144.0,-6144.0,0.0,60588.0,1,5,69
3,159200,1831.0,-4033.0,5864.0,58477.0,1,5,69
3,159600,1831.0,1831.0,0.0,52613.0,1,5,69
3,160700,1831.0,1837.0,6.0,52607.0,1,5,69
3,161500,2860.0,12098.0,9238.0,42346.0,1,5,62
3,162900,2860.0,2860.0,0.0,51584.0,1,5,62
3,164200,2860.0,2860.0,0.0,51584.0,1,5,62
3,165200,2860.0,2860.0,0.0,51584.0,1,5,62
3,166800,2860.0,2860.0,0.0,51584.0,1,5,62
3,167500,2860.0,2860.0,0.0,51584.0,1,5,62
3,167600,2860.0,2860.0,0.0,51584.0,1,4,62
