signal,product,qspread10,abs_qspread10,corr10,slope10
abs_book_chg,PEBBLES_L,-2.550168770218672,2.550168770218672,-0.010235875734824991,-0.026636980494885314
depth_chg,MICROCHIP_SQUARE,-1.9931850673598248,1.9931850673598248,-0.001981302432121328,-0.03169308990888356
imb1,ROBOT_LAUNDRY,1.811661788030482,1.811661788030482,0.008894241285069078,0.938033252214953
abs_book_chg,PEBBLES_XL,-1.8027307109813206,1.8027307109813206,0.0033714261549101132,0.008936108138831866
abs_book_chg,UV_VISOR_RED,-1.7005903866313203,1.7005903866313203,-0.010239384254869786,-0.023500277218052854
micro_edge,ROBOT_LAUNDRY,1.6776130847744,1.6776130847744,0.009468658056368415,0.27051358528930125
depth_chg,TRANSLATOR_VOID_BLUE,-1.6042638460577114,1.6042638460577114,-0.005774589818460325,-0.02566944019196952
abs_book_chg,SNACKPACK_RASPBERRY,-1.594554303751408,1.594554303751408,-0.011201383825181684,-0.01945449506640002
imb1,ROBOT_VACUUMING,1.515044389053146,1.515044389053146,0.012977229447116935,1.332087067522353
abs_book_chg,OXYGEN_SHAKE_GARLIC,-1.411991406555097,1.411991406555097,-0.014907843611912623,-0.035233678666100755
abs_book_chg,TRANSLATOR_ASTRO_BLACK,1.4001420660585842,1.4001420660585842,0.004843254268760447,0.010600383696311387
spread_chg,PEBBLES_XL,-1.3820241260222956,1.3820241260222956,-0.0027474466937128226,-0.12669815001116116
abs_book_chg,SLEEP_POD_SUEDE,1.381476897534575,1.381476897534575,0.009648217882278603,0.023856077868809205
abs_book_chg,MICROCHIP_RECTANGLE,-1.3503114706581072,1.3503114706581072,-0.010843171054058342,-0.027252479646376813
abs_book_chg,MICROCHIP_TRIANGLE,1.3492585717495427,1.3492585717495427,-7.212834521084512e-05,-0.00018109538815881196
abs_book_chg,MICROCHIP_SQUARE,-1.3235540077754477,1.3235540077754477,-0.010931017829557696,-0.027465923418022217
depth_chg,UV_VISOR_MAGENTA,-1.2944809719525716,1.2944809719525716,-0.0011388224556071645,-0.003395378688775846
abs_book_chg,SNACKPACK_STRAWBERRY,1.2579465571500237,1.2579465571500237,0.014039903502941004,0.02452693067408761
abs_book_chg,SLEEP_POD_POLYESTER,-1.1187842260040242,1.1187842260040242,-0.004382170175017496,-0.010970518488440124
abs_book_chg,TRANSLATOR_ECLIPSE_CHARCOAL,-1.0725138728996624,1.0725138728996624,-0.0014841684596986573,-0.0034095846615389367
abs_book_chg,PANEL_2X2,1.0632823135682952,1.0632823135682952,0.005750128222477171,0.012783035685119569
micro_edge,ROBOT_MOPPING,0.9745924774552628,0.9745924774552628,0.007285445474020264,0.28823398467912476
abs_book_chg,UV_VISOR_ORANGE,-0.9596059113300492,0.9596059113300492,-0.009348849524394527,-0.021486692529591466
abs_book_chg,SNACKPACK_PISTACHIO,0.9227529468023796,0.9227529468023796,0.018016966551912404,0.023428501426876983
imb1,ROBOT_MOPPING,0.9007848884166809,0.9007848884166809,0.006072238932497629,0.9604428335578158
abs_book_chg,ROBOT_MOPPING,0.8856830445073407,0.8856830445073407,0.0063438327622084454,0.015255782648306317
depth_chg,ROBOT_DISHES,0.8718458830987821,0.8718458830987821,0.0020558379084081313,0.009479850520531295
micro_edge,ROBOT_VACUUMING,0.8686487244436687,0.8686487244436687,0.010667796939873303,0.31483968365481746
abs_book_chg,GALAXY_SOUNDS_DARK_MATTER,0.8463669085655585,0.8463669085655585,0.0016862791276615824,0.0038350084244340747
abs_book_chg,ROBOT_DISHES,-0.8416004347748453,0.8416004347748453,-0.012458020523481711,-0.014783949476859683
abs_book_chg,TRANSLATOR_SPACE_GRAY,0.8241303924782446,0.8241303924782446,0.012291259589545862,0.027257156810423934
abs_book_chg,UV_VISOR_AMBER,-0.8091693321702046,0.8091693321702046,-0.0057449550485856385,-0.012201188846981922
abs_book_chg,UV_VISOR_YELLOW,0.7790902711062963,0.7790902711062963,0.0018827191115124958,0.004376175109185158
depth_chg,SNACKPACK_VANILLA,-0.7766433326911137,0.7766433326911137,-0.0032201977806774348,-0.003548361222502835
depth_chg,ROBOT_IRONING,0.7721425616445794,0.7721425616445794,0.009393461591814804,0.05450399454268901
depth_chg,TRANSLATOR_SPACE_GRAY,0.7577180952310711,0.7577180952310711,0.0028055221835045887,0.007477625915050875
depth_chg,OXYGEN_SHAKE_GARLIC,0.7563464894735539,0.7563464894735539,0.0011140116077721007,0.0035898073459975067
depth_chg,GALAXY_SOUNDS_BLACK_HOLES,-0.7386555831626085,0.7386555831626085,-0.0005807987184350152,-0.0017770790749389745
depth_chg,PEBBLES_XS,-0.7340562800972946,0.7340562800972946,-0.0011365790041361283,-0.005059280267029458
depth_chg,SNACKPACK_CHOCOLATE,0.7284721597842142,0.7284721597842142,0.0027551739393498,0.0030540032476220544
depth_chg,OXYGEN_SHAKE_CHOCOLATE,-0.7157465898434253,0.7157465898434253,0.0007692621007508831,0.002011170920048248
imb1,ROBOT_DISHES,0.6954429813961587,0.6954429813961587,0.007941406290966945,1.339150715789919
