product,avg_spread,med_spread,p90_spread,avg_best_bid_depth,avg_best_ask_depth,avg_top_depth,avg_abs_imb1,avg_abs_imb3,quote_stability,mid_ret1_sigma,mid_ret10_sigma,inventory_risk_10lot_10t,trade_tick_rate,avg_trade_qty_when_trade,join_best_fill_prob,inside1_fill_prob,inside1_markout10,inside1_uncond_edge10,cross_oracle_rate10,imb1_corr10,imb1_slope10,imb1_qspread10,imb3_corr10,imb3_slope10,imb3_qspread10,micro_edge_corr10,micro_edge_slope10,micro_edge_qspread10,spread_chg_corr10,spread_chg_slope10,spread_chg_qspread10,depth_chg_corr10,depth_chg_slope10,depth_chg_qspread10,abs_book_chg_corr10,abs_book_chg_slope10,abs_book_chg_qspread10,imb_cross_markout10,imb_cross_positive_rate10,mm_score,passive_mm_suitable
GALAXY_SOUNDS_BLACK_HOLES,14.512766666666666,14.0,16.0,18.253466666666668,18.259333333333334,36.5128,0.02115758686221107,0.0013050843307864872,0.022866666666666667,11.479686881661436,36.22240424182229,362.2240424182229,0.024433333333333335,2.4624829467939975,0.0,0.012216666666666667,7.324261522790934,0.08890833333333334,0.8353666666666667,0.013322286109612854,4.0691473653913715,0.10164424799448524,-0.016567145325373026,-78.60650995413488,-0.10164424799448524,0.01400372344078165,1.1468860258917457,0.10164424799448524,-0.002703216050815589,-0.04948450899236781,0.02338666478308049,-0.0005807987184350152,-0.0017770790749389745,-0.7386555831626085,-0.0010129385702438481,-0.002357378059740076,0.24124245319897492,-7.265041679196756,0.41748957065521974,89.16102991516357,False
GALAXY_SOUNDS_DARK_MATTER,13.050833333333333,13.0,14.0,18.253466666666668,18.259333333333334,36.5128,0.02115758686221107,0.0013050843307864872,0.025233333333333333,10.245710490999132,32.25505349304894,322.5505349304894,0.024433333333333335,2.4624829467939975,0.0,0.012216666666666667,6.089349376114082,0.074675,0.8429333333333333,0.021636214978204078,5.884728669189203,0.1301093048556603,-0.02137633960924264,-90.31599413254037,-0.1301093048556603,0.021700962499966673,1.7713874852495237,0.1301093048556603,-0.004251499794699193,-0.0767553397572605,-0.30846038608867143,0.0008466015553516346,0.0023066444627332988,-0.24726393483274528,0.0016862791276615824,0.0038350084244340747,0.8463669085655585,-6.514368882838295,0.42162271668487156,75.04101559680569,False
GALAXY_SOUNDS_PLANETARY_RINGS,13.690033333333334,14.0,15.0,18.253466666666668,18.259333333333334,36.5128,0.02115758686221107,0.0013050843307864872,0.022,10.879123127728125,34.75356245455855,347.5356245455855,0.024433333333333335,2.4624829467939975,0.0,0.012216666666666667,7.321715049656227,0.08925833333333333,0.8403666666666667,0.027050533127274436,7.927249857222026,0.17873351926806919,-0.026424009297108086,-120.29057537417206,-0.17873351926806919,0.027145537103562913,2.269314543773807,0.17873351926806919,-0.0013886933494683747,-0.025721179808831297,0.12500362469623347,0.0018576634511129216,0.005453435693972479,-0.03995252744451802,0.0027557049978622597,0.006464101655826061,0.4098136888471927,-6.812368166100997,0.42053767847228984,89.55512808424214,False
GALAXY_SOUNDS_SOLAR_FLAMES,14.071533333333333,14.0,15.0,18.253466666666668,18.259333333333334,36.5128,0.02115758686221107,0.0013050843307864872,0.021966666666666666,11.094554640497753,34.890328161939955,348.90328161939954,0.024433333333333335,2.4624829467939975,0.0,0.012216666666666667,6.630761395467278,0.08020833333333334,0.8338666666666666,0.018926984856402113,5.568444273571502,0.12118018640682254,-0.016979431452292314,-77.6000065480935,-0.12118018640682254,0.01899809618381663,1.5534588613160187,0.12118018640682254,-0.001853894347598633,-0.03378824772771562,0.3851444550579076,0.0005039557147738988,0.0014852558080274757,-0.5219878544700921,-0.010915561041620432,-0.02540985383427555,-0.015512778457688364,-7.03350862775504,0.41675905945704306,80.49469610342787,False
GALAXY_SOUNDS_SOLAR_WINDS,13.301266666666667,14.0,14.0,18.253466666666668,18.259333333333334,36.5128,0.02115758686221107,0.0013050843307864872,0.023133333333333332,10.539157071674719,32.91560871985192,329.1560871985192,0.024433333333333335,2.4624829467939975,0.0,0.012216666666666667,6.918576521517698,0.08465833333333334,0.8337333333333333,0.02385148886069415,6.620103415415786,0.14415226637038725,-0.02202510133897247,-94.96276820911922,-0.14415226637038725,0.02419808883395216,1.9720886382560667,0.14415226637038725,0.0015300272429729336,0.02780867558955482,0.046190627093357306,0.0014149787639649984,0.003934192841096756,0.19569844972883782,0.004849055599434288,0.011013761364604607,0.2171179584407902,-6.633817022900425,0.41701302789244044,85.00192915893629,False
MICROCHIP_CIRCLE,8.262166666666667,8.0,9.0,6.769866666666666,6.752366666666667,13.522233333333334,0.06877749514208373,0.002514265609003736,0.027433333333333334,9.23424283187838,29.223147984304124,292.23147984304126,0.018966666666666666,1.9666080843585236,0.0,0.009483333333333333,3.009247211895911,0.02945,0.8759333333333333,0.008781577949300139,1.4306392888782618,0.09969305420005899,-0.011756104240401731,-20.822816194971338,-0.06625789915702066,0.006506218620981873,0.2579752466262741,0.09969305420005899,-0.003227356567197797,-0.08592278719397367,0.24016474638942742,-0.0011155930869487143,-0.004691861470652843,0.18394849044452855,0.015125588701720996,0.03668252864341683,0.0009719124826713665,-4.09626830617454,0.43855887403374183,29.703493706980584,False
MICROCHIP_OVAL,7.449766666666667,8.0,9.0,7.796033333333333,7.748033333333334,15.544066666666666,0.11234876191382888,0.002514265609003736,0.021866666666666666,12.478011055304407,39.002889915808716,390.02889915808714,0.018966666666666666,1.9666080843585236,0.0,0.009466666666666667,2.2318975270728947,0.021458333333333333,0.9167666666666666,0.005713424474789903,0.968169318750239,0.34572816132134365,-0.010770279995314642,-25.46084547041157,-0.0841232332313222,0.00451052212689183,0.22109676892906238,0.48752375565810535,-1.559699813399254e-05,-0.0005826655067471294,0.17885400709847166,0.00022888867460731148,0.0010461539835720337,0.5313670760395263,0.003466967309132437,0.008389945441339704,0.3509972893687343,-3.244932188997554,0.4641772291098109,21.519680201683823,False
MICROCHIP_RECTANGLE,7.885766666666667,8.0,9.0,7.216366666666667,7.2279,14.444266666666667,0.10034249575789272,0.002514265609003736,0.020466666666666668,13.130331963193719,41.81666055645815,418.1666055645815,0.018966666666666666,1.9666080843585236,0.0,0.009483333333333333,1.4735285006195786,0.013983333333333334,0.9135333333333333,0.003917310623454238,0.7532508380780705,0.35570698340587614,-0.013955160871759627,-35.369851363781926,-0.10078627775612914,0.002123161243810545,0.10363271352129162,0.3130443749045343,0.0002378389133331905,0.009174186072138386,0.23965326403426457,0.002369158166135675,0.012703373664528119,-0.020701359543897846,-0.010843171054058342,-0.027252479646376813,-1.3503114706581072,-3.7763877202698595,0.4629655779230132,13.978551455537504,False
MICROCHIP_SQUARE,11.7188,12.0,14.0,5.957566666666667,5.9572,11.914766666666667,0.007507592415635894,0.002514265609003736,0.0142,20.707524247737695,64.38594653921122,643.8594653921122,0.018966666666666666,1.9666080843585236,0.0,0.009483333333333333,8.831756505576209,0.08439166666666667,0.9208333333333333,0.003877888716942433,4.61719055677112,0.030948456832662563,-0.013238215506509554,-51.661804473006256,-0.11612682502630967,0.004007449093592428,1.5324825489684768,0.030948456832662563,-0.0022704468994673497,-0.09911850273802461,-0.3803117967046006,-0.001981302432121328,-0.03169308990888356,-1.9931850673598248,-0.010931017829557696,-0.027465923418022217,-1.3235540077754477,-5.878039269236805,0.4602214206193339,83.84630506921579,False
MICROCHIP_TRIANGLE,8.635433333333333,9.0,10.0,6.439333333333333,6.436566666666667,12.8759,0.04966124105200043,0.002514265609003736,0.0205,14.504033623110104,44.94586648549021,449.45866485490205,0.018966666666666666,1.9666080843585236,0.0,0.009483333333333333,2.9496623296158613,0.029616666666666666,0.9151,0.008575885792228002,2.547554400516075,0.14628184871731542,-0.019372680916893297,-52.7750341141756,-0.15792165417976356,0.005751487540660409,0.4382312036566998,0.14628184871731542,-0.005947229716805067,-0.23352142707602766,-0.606317130893865,-0.001364042046385993,-0.010964514541498062,-0.40792864030071935,-7.212834521084512e-05,-0.00018109538815881196,1.3492585717495427,-4.282026944781076,0.4577055058684042,29.534374003623533,False
