horizon,leader,target,lag,mean_corr,min_corr,max_corr,positive_days,abs_mean_corr
100,PEBBLES_XL,PEBBLES_M,150,0.17404292089829176,0.007738074342894421,0.31283254336787997,3,0.17404292089829176
100,PEBBLES_XL,PEBBLES_M,100,0.1632340865158971,0.02479761590769606,0.2725175450319545,3,0.1632340865158971
100,PEBBLES_XL,PEBBLES_M,99,0.16228524326190524,0.024803051493539143,0.2704706570616721,3,0.16228524326190524
100,PEBBLES_XL,PEBBLES_M,98,0.16131674685575992,0.02498859510216432,0.26829142811375095,3,0.16131674685575992
100,PEBBLES_XL,PEBBLES_M,97,0.16039539273613887,0.025235579004617217,0.26617375261957377,3,0.16039539273613887
100,PEBBLES_XL,PEBBLES_M,96,0.1594660734360452,0.025610101338785718,0.2639162076803761,3,0.1594660734360452
100,PEBBLES_XL,PEBBLES_M,95,0.1585458706119405,0.026119153630174384,0.26152309420976927,3,0.1585458706119405
100,PEBBLES_XL,PEBBLES_M,94,0.1574990350832147,0.026441554671108303,0.2591972852559375,3,0.1574990350832147
100,PEBBLES_XL,PEBBLES_M,93,0.15650114236986476,0.026936781795714546,0.2568624188345131,3,0.15650114236986476
100,PEBBLES_XL,PEBBLES_M,92,0.1555153710552948,0.02757699453485071,0.25440483258973573,3,0.1555153710552948
100,PEBBLES_XL,PEBBLES_M,91,0.15452173493207885,0.027945916688542252,0.2520370781817308,3,0.15452173493207885
100,PEBBLES_XL,PEBBLES_M,90,0.15345442276299515,0.028166771578752612,0.24980281313305214,3,0.15345442276299515
100,PEBBLES_XL,PEBBLES_M,89,0.15251390559809058,0.028447996735188753,0.24780106928377432,3,0.15251390559809058
100,PEBBLES_XL,PEBBLES_M,88,0.1514832725450098,0.02879748317026555,0.24576254389690572,3,0.1514832725450098
100,PEBBLES_XL,PEBBLES_M,87,0.15042491675006384,0.02917535759443615,0.24381661539832855,3,0.15042491675006384
100,PEBBLES_XL,PEBBLES_M,86,0.14935136427819254,0.02948967060334107,0.24170428753399412,3,0.14935136427819254
100,PEBBLES_XL,PEBBLES_M,85,0.14837266722824907,0.029864640281360034,0.23970388898069814,3,0.14837266722824907
100,PEBBLES_XL,PEBBLES_M,84,0.14731069045687437,0.030273712782827828,0.2377790565727864,3,0.14731069045687437
100,PEBBLES_XL,PEBBLES_M,83,0.14624313012559131,0.03081371836453959,0.23597412803632345,3,0.14624313012559131
