day,product,first_mid,last_mid,mean_mid,min_mid,max_mid,ret_vol,abs_ret_mean,return_ac1,mean_reversion_score,momentum_score_20,avg_spread,median_spread,avg_top_depth,avg_book_depth,jump_95,jump_99,adf_mid_t,adf_return_t,trade_count,trade_volume,passive_mm_feasible,aggressive_crossing_feasible
2,PEBBLES_L,10000.0,10103.0,9862.81015,8632.5,10822.0,15.030446943884378,12.005700570057005,0.006187669854140594,-0.006187669854140594,0.009732512544617707,12.6451,13.0,24.8297,75.2486,29.5,39.0,-1.46058221638161,-99.36215488683953,212,754,True,True
2,PEBBLES_M,10000.0,9014.5,9747.4463,8918.0,10390.5,15.122444602618604,12.029052905290529,-0.0006480885665334043,0.0006480885665334043,-0.03231847311364786,12.5074,13.0,24.8297,75.2486,30.0,38.51000000000022,-1.8095370333081986,-100.0440704955188,212,754,True,True
2,PEBBLES_S,10000.0,9160.0,9650.4792,8815.0,10687.0,14.97608832828156,11.943694369436944,0.01429943558875364,-0.01429943558875364,0.04023587320468095,12.3986,13.0,24.8297,75.2486,29.0,38.0,-1.5687111095150117,-98.55392123778566,212,754,True,True
2,PEBBLES_XL,10000.0,13674.5,11549.76665,9188.0,14155.0,30.286335503094794,24.125062506250625,0.0008194626271941442,-0.0008194626271941442,-0.028748073499098373,14.6479,14.0,24.8297,75.2486,59.0,78.5,-0.8128795839641059,-99.87372111014352,212,754,True,True
2,PEBBLES_XS,10000.0,8048.5,9189.4057,7849.0,10496.0,15.176932219520731,12.129762976297629,-0.008066855673250373,0.008066855673250373,-0.016737227619058676,11.853,12.0,24.8297,75.2486,29.5,39.0,-0.8811880516629487,-100.76762643682136,212,754,True,True
3,PEBBLES_L,10130.5,11025.0,10201.4536,9110.0,11212.0,15.102383291897981,12.058855885588558,0.0022646456938720185,-0.0022646456938720185,0.0001231100465450184,13.0568,13.0,24.8064,75.2089,29.5,38.51000000000022,-1.2180298066890696,-99.75209639405568,230,829,True,True
3,PEBBLES_M,9020.0,11059.0,10170.4927,8388.5,11410.5,15.10900224458736,12.092609260926093,-0.009739180408514072,0.009739180408514072,-0.04385871981096867,13.017,13.0,24.8064,75.2089,29.050000000000182,38.51000000000022,-1.239204859518657,-100.95959972354443,230,829,True,True
3,PEBBLES_S,9157.0,8980.0,9197.5171,8531.5,9870.5,15.173091608158268,12.107110711071106,-0.003367873230021752,0.003367873230021752,-0.03266841613513024,11.8676,12.0,24.8064,75.2089,30.0,39.51000000000022,-2.734304058782103,-100.31122007945137,230,829,True,True
3,PEBBLES_XL,13629.0,12076.5,13462.09645,11927.5,15088.5,30.318392776020545,24.29077907790779,0.00890350869416452,-0.00890350869416452,-0.02741331188057277,16.9137,17.0,24.8064,75.2089,59.05000000000018,77.01000000000022,-1.9246595652704315,-99.09587374097441,230,829,True,True
3,PEBBLES_XS,8063.0,6859.5,6968.41015,5849.0,8413.5,15.038281298718442,12.016651665166517,-0.02056995629368021,0.02056995629368021,-0.042564565561491845,9.2305,9.0,25.9747,75.2089,29.5,38.0,-1.6465760337080038,-102.05406768364313,230,829,True,True
4,PEBBLES_L,11014.5,9126.0,10458.068,8928.5,11733.5,14.941244298545886,11.91114111411141,0.012154092003447858,-0.012154092003447858,-0.04360907946507484,13.3596,14.0,24.8048,75.2001,29.0,38.5,-0.3504121917332189,-98.75474261478045,202,700,True,True
4,PEBBLES_M,11066.0,10702.0,10871.79055,9960.5,11505.0,15.166777113819956,12.129612961296129,-0.004148044041883736,0.004148044041883736,-0.02741196920490211,13.8383,14.0,24.8048,75.2001,30.0,39.0,-2.4256586891135177,-100.40295897205546,202,700,True,True
4,PEBBLES_S,9003.5,8066.5,7949.0739,6784.5,9009.5,14.909694810152097,11.912091209120913,0.012401226114294256,-0.012401226114294256,0.05689816329874852,10.3884,11.0,24.8048,75.2001,29.050000000000182,38.01000000000022,-2.2199299470476017,-98.74789620760693,202,700,True,True
4,PEBBLES_XL,12054.0,16068.0,14664.90485,11919.5,17240.0,30.333171974892412,24.170817081708172,0.013089332497702914,-0.013089332497702914,-0.059126187173235985,18.3307,18.0,24.8048,75.2001,60.0,79.0,-1.6037503923629635,-98.69111931999741,202,700,True,True
4,PEBBLES_XS,6861.5,6038.0,6056.10345,5052.5,7222.5,14.940217997427649,11.948344834483448,-0.018463598837303197,0.018463598837303197,-0.0718842339118568,8.1511,8.0,29.5816,75.2001,29.0,39.0,-1.9683300473473784,-101.84194512301548,202,700,True,True
