day,a,b,price_corr,return_corr
2,PEBBLES_XS,PEBBLES_S,0.7261071055299952,-0.01047327644415416
2,PEBBLES_XS,PEBBLES_M,0.26272614978938885,0.004305062424005028
2,PEBBLES_XS,PEBBLES_L,0.4338016782717798,0.004188463236152577
2,PEBBLES_XS,PEBBLES_XL,-0.8752367843295423,-0.4947723070516987
2,PEBBLES_S,PEBBLES_M,0.2097425902835246,0.011596347649152091
2,PEBBLES_S,PEBBLES_L,0.21692080666124097,0.014427938675651265
2,PEBBLES_S,PEBBLES_XL,-0.7544311127847002,-0.49662641188946005
2,PEBBLES_M,PEBBLES_L,0.4527165083607474,0.007328873709547208
2,PEBBLES_M,PEBBLES_XL,-0.5706247514278896,-0.5042247771247601
2,PEBBLES_L,PEBBLES_XL,-0.713378954958208,-0.5030032989927217
3,PEBBLES_XS,PEBBLES_S,0.09957458869883802,-0.01708735563708202
3,PEBBLES_XS,PEBBLES_M,-0.8289302110515999,0.013570721677314677
3,PEBBLES_XS,PEBBLES_L,-0.25005849705542155,0.01191599084492377
3,PEBBLES_XS,PEBBLES_XL,0.015263554116533308,-0.49449418408378465
3,PEBBLES_S,PEBBLES_M,-0.17531318018291575,0.02574107927086494
3,PEBBLES_S,PEBBLES_L,-0.219521053122519,-0.006745132819067273
3,PEBBLES_S,PEBBLES_XL,-0.18148699031782636,-0.4953302064711162
3,PEBBLES_M,PEBBLES_L,0.277557515146002,0.004627951310615359
3,PEBBLES_M,PEBBLES_XL,-0.39764878293399664,-0.5144265508331622
3,PEBBLES_L,PEBBLES_XL,-0.6584386915060959,-0.49516333915553135
4,PEBBLES_XS,PEBBLES_S,0.724833586397168,0.00813908435406841
4,PEBBLES_XS,PEBBLES_M,0.032153384245799686,0.025987409937989522
4,PEBBLES_XS,PEBBLES_L,0.45625117346644545,-0.0013149607721079828
4,PEBBLES_XS,PEBBLES_XL,-0.8294849698889404,-0.5026778207066421
4,PEBBLES_S,PEBBLES_M,-0.3862362116193611,0.00012511190731121603
4,PEBBLES_S,PEBBLES_L,0.7082351055645256,0.012520602016935634
4,PEBBLES_S,PEBBLES_XL,-0.8687397324053031,-0.4950091663535863
4,PEBBLES_M,PEBBLES_L,-0.2924190186767943,0.020444829442852818
4,PEBBLES_M,PEBBLES_XL,0.05435896643085176,-0.5158406968957239
4,PEBBLES_L,PEBBLES_XL,-0.8447152983481647,-0.5018539562662355
