product,buyer,seller,events,qty,notional,mean_edge,median_edge,edge_std,q_edge_sum,aggressive_rate,hit_rate,horizon,q_mean_edge,score,t_stat
HYDROGEL_PACK,Mark 14,Mark 38,496,1989,19867206.0,0.19153225806451613,0.0,1.9665405380632772,390.0,0.0,0.4596774193548387,1,0.19607843137254902,8.744746321952062,2.1691014451890482
HYDROGEL_PACK,Mark 22,Mark 38,11,42,419827.0,-3.090909090909091,-3.5,2.2002066018692634,-118.0,0.0,0.09090909090909091,1,-2.8095238095238093,-18.207795295526847,-4.659283226827215
HYDROGEL_PACK,Mark 38,Mark 14,507,2033,20332421.0,-0.11538461538461539,0.0,2.1832998921294187,-362.5,1.0,0.388560157790927,1,-0.17830791933103787,-8.039690339652468,-1.1899767964626047
HYDROGEL_PACK,Mark 38,Mark 22,8,32,319756.0,3.1875,3.0,1.7100020885534446,110.0,1.0,0.875,1,3.4375,19.445436482630054,5.272280964144978
VELVETFRUIT_EXTRACT,Mark 01,Mark 55,260,1417,7432924.0,0.2326923076923077,0.0,1.1316303805073977,314.0,0.0,0.46923076923076923,1,0.22159491884262528,8.341510925281124,3.3156150505973696
VELVETFRUIT_EXTRACT,Mark 14,Mark 55,316,1761,9235831.0,-0.18670886075949367,0.0,1.1387603636246335,-338.0,0.0,0.28164556962025317,1,-0.19193639977285634,-8.054471002072416,-2.9145809897768853
VELVETFRUIT_EXTRACT,Mark 22,Mark 49,7,54,283215.0,1.4285714285714286,2.0,1.2724180205607036,81.0,0.8571428571428571,0.8571428571428571,1,1.5,11.022703842524301,2.970442628930023
VELVETFRUIT_EXTRACT,Mark 22,Mark 55,18,92,482557.0,-1.0277777777777777,-1.0,1.0069204977995476,-98.0,0.0,0.05555555555555555,1,-1.065217391304348,-10.217206288796664,-4.33052244625683
VELVETFRUIT_EXTRACT,Mark 49,Mark 22,12,89,467190.0,-1.4166666666666667,-1.5,1.4745312557699222,-126.0,0.08333333333333333,0.16666666666666666,1,-1.4157303370786516,-13.355973288080136,-3.3281609114141117
VELVETFRUIT_EXTRACT,Mark 49,Mark 55,5,26,136283.0,-0.9,-0.5,0.9617692030835673,-26.0,0.0,0.0,1,-1.0,-5.099019513592785,-2.092457497388747
VELVETFRUIT_EXTRACT,Mark 55,Mark 01,244,1375,7220079.0,-0.21106557377049182,0.0,1.063576006502738,-327.5,1.0,0.3442622950819672,1,-0.2381818181818182,-8.832018198268472,-3.0998721653313117
VELVETFRUIT_EXTRACT,Mark 55,Mark 14,331,1763,9254679.0,0.07250755287009064,0.0,1.1278295308690747,148.0,1.0,0.37462235649546827,1,0.08394781622234827,3.524808760898603,1.1696442305548098
VELVETFRUIT_EXTRACT,Mark 55,Mark 22,14,62,325980.0,1.4285714285714286,1.5,0.9579052236951303,89.0,1.0,0.9285714285714286,1,1.435483870967742,11.303011303016955,5.580118686094249
VELVETFRUIT_EXTRACT,Mark 55,Mark 49,9,54,283190.0,1.5,1.5,0.7071067811865476,82.5,1.0,1.0,1,1.5277777777777777,11.226827987756232,6.363961030678927
VELVETFRUIT_EXTRACT,Mark 67,Mark 22,75,546,2864651.0,1.9866666666666666,2.0,0.9514332479082415,1074.0,1.0,0.9866666666666667,1,1.967032967032967,45.96295689567204,18.08328441293881
VELVETFRUIT_EXTRACT,Mark 67,Mark 49,89,963,5056558.0,1.9775280898876404,2.0,0.9650427226751961,1950.0,1.0,0.9438202247191011,1,2.0249221183800623,62.83787178796813,19.3317479628215
