trader,count,quantity,mean,std,total,hit_rate,buys,sells,t_stat,horizon
Mark 01,1843,7428,0.04557786218122626,0.604754712696072,84.0,0.149755832881172,1599,244,3.2354698492120466,100
Mark 14,2172,8718,0.027394106813996316,1.656487886806343,59.5,0.3775322283609576,1127,1045,0.7707238365892788,100
Mark 22,1584,5889,-0.14646464646464646,0.8273286216185279,-232.0,0.08964646464646464,42,1542,-7.045833029563939,100
Mark 38,1478,5000,-0.029093369418132613,1.9506867330795934,-43.0,0.3876860622462788,733,745,-0.5733815420259929,100
Mark 49,122,1186,-1.8114754098360655,1.0510283607461814,-221.0,0.03278688524590164,17,105,-19.03697428411119,100
Mark 55,1198,6551,0.022954924874791317,1.1491229227984578,27.5,0.38647746243739567,598,600,0.6914134072519125,100
Mark 67,165,1510,1.9696969696969697,0.9654030020634906,325.0,0.9575757575757575,165,0,26.207931435027316,100
Mark 01,1843,7428,0.024416711882799782,1.169509777856654,45.0,0.187194791101465,1599,244,0.8962847126867142,500
Mark 14,2172,8718,-0.030847145488029467,3.34145639419311,-67.0,0.4148250460405157,1127,1045,-0.4302383251701194,500
Mark 22,1584,5889,-0.11047979797979798,1.0665374973834902,-175.0,0.13446969696969696,42,1542,-4.122724660451416,500
Mark 38,1478,5000,0.006765899864682003,3.8333543420676923,10.0,0.4654939106901218,733,745,0.06785530660101995,500
Mark 49,122,1186,-1.819672131147541,2.075103874498987,-222.0,0.13934426229508196,17,105,-9.685749165829977,500
Mark 55,1198,6551,0.07345575959933222,2.1824728819997694,88.0,0.44156928213689484,598,600,1.1649449604895548,500
Mark 67,165,1510,1.9454545454545455,1.9309878220635868,321.0,0.8303030303030303,165,0,12.941467482109259,500
Mark 01,1843,7428,0.06619641888225719,1.6578906900388395,122.0,0.20618556701030927,1599,244,1.714120189875884,1000
Mark 14,2172,8718,-0.007366482504604052,4.7300397432254115,-16.0,0.43830570902394106,1127,1045,-0.07258139021559147,1000
Mark 22,1584,5889,-0.12026515151515152,1.4517594458846583,-190.5,0.15467171717171718,42,1542,-3.2970287252067805,1000
Mark 38,1478,5000,-0.039918809201623814,5.4709267155375105,-59.0,0.4688768606224628,733,745,-0.28051358417405003,1000
Mark 49,122,1186,-2.1188524590163933,2.993141801823019,-258.5,0.18032786885245902,17,105,-7.8190382887094705,1000
Mark 55,1198,6551,0.02671118530884808,2.9883713977268584,32.0,0.4749582637729549,598,600,0.30937626941364665,1000
Mark 67,165,1510,2.242424242424242,2.8357506752342747,370.0,0.7575757575757576,165,0,10.157614061608811,1000
Mark 01,1843,7428,0.006239826370048833,2.331123302920384,11.5,0.22734671730873576,1599,244,0.11491320219407425,2000
Mark 14,2170,8712,-0.032027649769585255,6.563008932720112,-69.5,0.4447004608294931,1127,1043,-0.2273274824276276,2000
Mark 22,1584,5889,-0.12563131313131312,1.8588028549304805,-199.0,0.18686868686868688,42,1542,-2.689937298972775,2000
Mark 38,1476,4994,-0.08672086720867209,7.563713540856351,-128.0,0.47899728997289975,731,745,-0.44048560304321793,2000
Mark 49,122,1186,-1.8647540983606556,3.96994748036846,-227.5,0.28688524590163933,17,105,-5.188200178094377,2000
Mark 55,1198,6551,0.2570951585976628,4.115583065522591,308.0,0.4991652754590985,598,600,2.1621754698778455,2000
Mark 67,165,1510,1.8454545454545455,3.9727034253192426,304.5,0.6484848484848484,165,0,5.967043172323754,2000
Mark 01,1839,7412,0.07259380097879282,3.6725727201741005,133.5,0.265905383360522,1595,244,0.847656696150985,5000
Mark 14,2163,8687,0.20781322237632918,10.21350111251151,449.5,0.48081368469717983,1122,1041,0.9462955456519621,5000
Mark 22,1580,5873,-0.23196202531645568,2.8821298592313243,-366.5,0.1879746835443038,42,1538,-3.199130016612799,5000
Mark 38,1474,4990,-0.5298507462686567,11.72963377943097,-781.0,0.47218453188602444,731,743,-1.7342745031375304,5000
Mark 49,122,1186,-1.7868852459016393,6.451317385096755,-218.0,0.38524590163934425,17,105,-3.059342992930898,5000
Mark 55,1193,6530,0.3906119027661358,6.551773342946274,466.0,0.5155071248952221,596,597,2.059239357519737,5000
Mark 67,165,1510,1.9181818181818182,6.290064491577488,316.5,0.5878787878787879,165,0,3.9172081010782853,5000
