symbol,trader,count,quantity,mean,std,total,hit_rate,buys,sells,t_stat
HYDROGEL_PACK,Mark 14,1003,4022,0.17098703888334996,6.2141928949912035,171.5,0.48255234297108673,496,507,0.8714228182861523
HYDROGEL_PACK,Mark 22,19,74,-4.342105263157895,6.666776314887769,-82.5,0.2631578947368421,11,8,-2.838973013397101
HYDROGEL_PACK,Mark 38,1022,4096,-0.08708414872798434,6.249250651318142,-89.0,0.46966731898238745,515,507,-0.44548862013762164
VELVETFRUIT_EXTRACT,Mark 01,504,2792,0.2728174603174603,3.0609246381721444,137.5,0.49206349206349204,260,244,2.0009433481132115
VELVETFRUIT_EXTRACT,Mark 14,647,3524,-0.21020092735703247,2.8980116686087265,-136.0,0.401854714064915,316,331,-1.8449586552451502
VELVETFRUIT_EXTRACT,Mark 22,126,843,-1.1507936507936507,3.448054431861447,-145.0,0.3253968253968254,25,101,-3.746352311921076
VELVETFRUIT_EXTRACT,Mark 49,122,1186,-2.1188524590163933,2.993141801823019,-258.5,0.18032786885245902,17,105,-7.8190382887094705
VELVETFRUIT_EXTRACT,Mark 55,1198,6551,0.02671118530884808,2.9883713977268584,32.0,0.4749582637729549,598,600,0.30937626941364665
VELVETFRUIT_EXTRACT,Mark 67,165,1510,2.242424242424242,2.8357506752342747,370.0,0.7575757575757576,165,0,10.157614061608811
VEV_4000,Mark 14,439,870,-0.07972665148063782,3.113606010859983,-35.0,0.4214123006833713,232,207,-0.5365029659614299
VEV_4000,Mark 22,3,6,-2.3333333333333335,1.8929694486000912,-7.0,0.0,1,2,-2.1349799846564657
VEV_4000,Mark 38,442,876,0.09502262443438914,3.111134655238244,42.0,0.47285067873303166,209,233,0.642124657666382
VEV_4500,Mark 22,3,6,-0.8333333333333334,1.8929694486000912,-2.5,0.3333333333333333,1,2,-0.7624928516630234
VEV_4500,Mark 38,3,6,0.8333333333333334,1.8929694486000912,2.5,0.3333333333333333,2,1,0.7624928516630234
VEV_5000,Mark 22,3,6,1.8333333333333333,2.4664414311581235,5.5,0.6666666666666666,1,2,1.287452619157436
VEV_5000,Mark 38,3,6,-1.8333333333333333,2.4664414311581235,-5.5,0.3333333333333333,2,1,-1.287452619157436
VEV_5100,Mark 22,3,6,1.5,2.179449471770337,4.5,0.6666666666666666,1,2,1.1920791213585393
VEV_5100,Mark 38,3,6,-1.5,2.179449471770337,-4.5,0.3333333333333333,2,1,-1.1920791213585393
VEV_5200,Mark 01,11,34,0.9545454545454546,1.9931701564912296,10.5,0.6363636363636364,11,0,1.5883586796421354
VEV_5200,Mark 14,33,122,-0.13636363636363635,1.764549903980152,-4.5,0.3939393939393939,33,0,-0.44393726130029104
VEV_5200,Mark 22,47,162,-0.0425531914893617,1.8528174410705565,-2.0,0.5106382978723404,1,46,-0.15745209243455077
VEV_5200,Mark 38,3,6,-1.3333333333333333,1.1547005383792517,-4.0,0.0,2,1,-1.9999999999999998
VEV_5300,Mark 01,132,439,-0.14772727272727273,1.133693949376803,-19.5,0.32575757575757575,132,0,-1.4971034700335522
VEV_5300,Mark 14,30,105,-0.15,1.1458320271674896,-4.5,0.3333333333333333,30,0,-0.7170194380835332
VEV_5300,Mark 22,164,548,0.14939024390243902,1.128520229382307,24.5,0.42073170731707316,1,163,1.6952541330894626
VEV_5300,Mark 38,2,4,-0.25,1.0606601717798212,-0.5,0.5,1,1,-0.33333333333333337
VEV_5400,Mark 01,263,911,-0.005703422053231939,0.5305241713990292,-1.5,0.22813688212927757,263,0,-0.17434448302858305
VEV_5400,Mark 14,13,48,-0.5,0.5400617248673217,-6.5,0.0,13,0,-3.33809184158512
VEV_5400,Mark 22,276,959,0.028985507246376812,0.5402629526175328,8.0,0.2608695652173913,0,276,0.8913130356431729
VEV_5500,Mark 01,299,1042,-0.016722408026755852,0.2949029413752359,-5.0,0.07357859531772576,299,0,-0.9805174022160558
VEV_5500,Mark 14,7,27,-0.14285714285714285,0.37796447300922725,-1.0,0.0,7,0,-1.0
VEV_5500,Mark 22,306,1069,0.0196078431372549,0.29688189924988345,6.0,0.09477124183006536,0,306,1.1553320399514129
VEV_6000,Mark 01,317,1105,0.0,0.0,0.0,0.0,317,0,
VEV_6000,Mark 22,317,1105,0.0,0.0,0.0,0.0,0,317,
VEV_6500,Mark 01,317,1105,0.0,0.0,0.0,0.0,317,0,
VEV_6500,Mark 22,317,1105,0.0,0.0,0.0,0.0,0,317,
