product,trader,events,qty,notional,mean_edge,median_edge,edge_std,q_edge_sum,aggressive_rate,hit_rate,horizon,q_mean_edge,score,t_stat
HYDROGEL_PACK,Mark 14,1003,4022,40199627.0,0.15304087736789632,-0.0,2.0782492596782802,752.5,0.0,0.4456630109670987,1,0.18709597215315762,11.865484357802304,2.332170399291622
HYDROGEL_PACK,Mark 22,19,74,739583.0,-3.1315789473684212,-3.5,1.9567696257917162,-228.0,0.0,0.05263157894736842,1,-3.081081081081081,-26.504461633590797,-6.975903542950536
HYDROGEL_PACK,Mark 38,1022,4096,40939210.0,-0.09197651663405088,0.0,2.1220945355618124,-524.5,1.0,0.3786692759295499,1,-0.1280517578125,-8.1953125,-1.3855993746027289
VELVETFRUIT_EXTRACT,Mark 01,504,2792,14653003.0,0.2222222222222222,0.0,1.0981740774557773,641.5,0.0,0.4662698412698413,1,0.22976361031518625,12.14056654432535,4.542883153148811
VELVETFRUIT_EXTRACT,Mark 14,647,3524,18490510.0,-0.12828438948995363,-0.0,1.1337438976677976,-486.0,0.0,0.30602782071097373,1,-0.13791146424517595,-8.18687801442989,-2.8781338648798984
VELVETFRUIT_EXTRACT,Mark 22,126,843,4423593.0,-1.2738095238095237,-1.5,1.567937680977331,-1054.0,0.1349206349206349,0.15079365079365079,1,-1.2502965599051008,-36.301688309773915,-9.1192887420131
VELVETFRUIT_EXTRACT,Mark 49,122,1186,6226436.0,-1.8114754098360655,-2.0,1.0510283607461817,-2265.5,0.01639344262295082,0.03278688524590164,1,-1.9102023608768972,-65.78421884134987,-19.036974284111185
VELVETFRUIT_EXTRACT,Mark 55,1198,6551,34376764.0,0.022954924874791317,0.0,1.149122922798459,140.0,1.0,0.38647746243739567,1,0.021370783086551673,1.729713742824874,0.6914134072519117
VELVETFRUIT_EXTRACT,Mark 67,165,1510,7926450.0,1.9696969696969697,2.0,0.9654030020634906,3024.0,0.9939393939393939,0.9575757575757575,1,2.0026490066225167,77.82037391343277,26.207931435027316
VEV_4000,Mark 14,439,870,1085068.0,-0.004555808656036446,0.0,1.2984807494073525,-26.0,0.0,0.3553530751708428,1,-0.029885057471264367,-0.8814825547070535,-0.07351267396473658
VEV_4000,Mark 22,3,6,7389.0,-7.0,-6.0,3.122498999199199,-37.5,0.0,0.0,1,-6.25,-15.309310892394864,-3.8829013735766034
VEV_4000,Mark 38,442,876,1092457.0,0.05203619909502263,-0.0,1.4315866334022842,63.5,1.0,0.3914027149321267,1,0.07248858447488585,2.145466176418368,0.7641859815045622
VEV_4500,Mark 22,3,6,4389.0,-5.166666666666667,-4.5,2.081665999466133,-28.0,0.0,0.0,1,-4.666666666666667,-11.430952132988166,-4.298926520745525
