symbol,trader,horizon,count,mean_edge,total_edge,hit_rate,quantity
VELVETFRUIT_EXTRACT,Mark 22,100,126,-2.503968253968254,-315.5,0.007936507936507936,843
VELVETFRUIT_EXTRACT,Mark 22,500,126,-2.6785714285714284,-337.5,0.10317460317460317,843
VELVETFRUIT_EXTRACT,Mark 22,1000,126,-2.7142857142857144,-342.0,0.20634920634920634,843
VELVETFRUIT_EXTRACT,Mark 22,2000,126,-2.7261904761904763,-343.5,0.2777777777777778,843
VELVETFRUIT_EXTRACT,Mark 22,5000,126,-2.4404761904761907,-307.5,0.31746031746031744,843
VELVETFRUIT_EXTRACT,Mark 49,100,122,-2.5491803278688523,-311.0,0.01639344262295082,1186
VELVETFRUIT_EXTRACT,Mark 49,500,122,-2.418032786885246,-295.0,0.09836065573770492,1186
VELVETFRUIT_EXTRACT,Mark 49,1000,122,-2.221311475409836,-271.0,0.19672131147540983,1186
VELVETFRUIT_EXTRACT,Mark 49,2000,122,-2.307377049180328,-281.5,0.27049180327868855,1186
VELVETFRUIT_EXTRACT,Mark 49,5000,122,-2.290983606557377,-279.5,0.36885245901639346,1186
VELVETFRUIT_EXTRACT,Mark 67,100,165,-2.603030303030303,-429.5,0.0,1510
VELVETFRUIT_EXTRACT,Mark 67,500,165,-2.6,-429.0,0.09090909090909091,1510
VELVETFRUIT_EXTRACT,Mark 67,1000,165,-2.381818181818182,-393.0,0.20606060606060606,1510
VELVETFRUIT_EXTRACT,Mark 67,2000,165,-2.4727272727272727,-408.0,0.26666666666666666,1510
VELVETFRUIT_EXTRACT,Mark 67,5000,165,-2.5484848484848484,-420.5,0.3212121212121212,1510
