split,test_day,category,target,features,resid_std_train,extreme_count,reversion_edge_mean,reversion_win_rate,coef_json,intercept
train_d2_test_d3d4,3,galaxy,GALAXY_SOUNDS_DARK_MATTER,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",119.41974444341679,7548,-0.18071012188659247,0.49099099099099097,"{""GALAXY_SOUNDS_BLACK_HOLES"":0.18603546525179315,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.05386050359232521,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.2469019101219071,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.17938402762617486}",-194.06975466561101
train_d2_test_d3d4,4,galaxy,GALAXY_SOUNDS_DARK_MATTER,"GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",119.41974444341679,9386,0.11341359471553378,0.4891327509056041,"{""GALAXY_SOUNDS_BLACK_HOLES"":0.18603546525179315,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.05386050359232521,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.2469019101219071,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.17938402762617486}",-194.06975466561101
train_d2_test_d3d4,3,galaxy,GALAXY_SOUNDS_BLACK_HOLES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",297.0140474623941,6399,0.8652914517893421,0.5008595092983279,"{""GALAXY_SOUNDS_DARK_MATTER"":1.1504493287690944,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.5700183003640805,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.05659095532548619,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.38874276651134304}",122.0312289546199
train_d2_test_d3d4,4,galaxy,GALAXY_SOUNDS_BLACK_HOLES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",297.0140474623941,9189,-0.7377843073239743,0.49047774513004677,"{""GALAXY_SOUNDS_DARK_MATTER"":1.1504493287690944,""GALAXY_SOUNDS_PLANETARY_RINGS"":0.5700183003640805,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.05659095532548619,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.38874276651134304}",122.0312289546199
train_d2_test_d3d4,3,galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",287.2518564485286,2995,1.011686143572621,0.5085141903171954,"{""GALAXY_SOUNDS_DARK_MATTER"":-0.3114942808583149,""GALAXY_SOUNDS_BLACK_HOLES"":0.5330853113222582,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.26881171701781037,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.6810337988126073}",449.4209568284037
train_d2_test_d3d4,4,galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",287.2518564485286,9603,-0.8868582734562116,0.4772466937415391,"{""GALAXY_SOUNDS_DARK_MATTER"":-0.3114942808583149,""GALAXY_SOUNDS_BLACK_HOLES"":0.5330853113222582,""GALAXY_SOUNDS_SOLAR_WINDS"":-0.26881171701781037,""GALAXY_SOUNDS_SOLAR_FLAMES"":-0.6810337988126073}",449.4209568284037
train_d2_test_d3d4,3,galaxy,GALAXY_SOUNDS_SOLAR_WINDS,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES",249.50982410918272,6191,-0.13713455015344855,0.49475044419318365,"{""GALAXY_SOUNDS_DARK_MATTER"":-1.0763873442935947,""GALAXY_SOUNDS_BLACK_HOLES"":-0.03989508623716335,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.20263416000288667,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.16088114972053885}",40.610081924388126
train_d2_test_d3d4,4,galaxy,GALAXY_SOUNDS_SOLAR_WINDS,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES",249.50982410918272,8349,0.01874475985147922,0.5023356090549767,"{""GALAXY_SOUNDS_DARK_MATTER"":-1.0763873442935947,""GALAXY_SOUNDS_BLACK_HOLES"":-0.03989508623716335,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.20263416000288667,""GALAXY_SOUNDS_SOLAR_FLAMES"":0.16088114972053885}",40.610081924388126
train_d2_test_d3d4,3,galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",266.7634312270512,6987,0.3218834979247173,0.49792471733218835,"{""GALAXY_SOUNDS_DARK_MATTER"":0.8948761138179299,""GALAXY_SOUNDS_BLACK_HOLES"":0.3135954233300506,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.5874462604614873,""GALAXY_SOUNDS_SOLAR_WINDS"":0.18409422854522675}",777.6230451592148
train_d2_test_d3d4,4,galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS",266.7634312270512,6759,0.12235537801449918,0.49371208758692114,"{""GALAXY_SOUNDS_DARK_MATTER"":0.8948761138179299,""GALAXY_SOUNDS_BLACK_HOLES"":0.3135954233300506,""GALAXY_SOUNDS_PLANETARY_RINGS"":-0.5874462604614873,""GALAXY_SOUNDS_SOLAR_WINDS"":0.18409422854522675}",777.6230451592148
train_d2_test_d3d4,3,sleep,SLEEP_POD_SUEDE,"SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",374.89518782036794,7403,-0.2352424692692152,0.49520464676482506,"{""SLEEP_POD_LAMB_WOOL"":-0.05113809950284449,""SLEEP_POD_POLYESTER"":0.538113123800234,""SLEEP_POD_NYLON"":-0.4389578918877232,""SLEEP_POD_COTTON"":-0.3454505012857012}",-40.49944501562453
train_d2_test_d3d4,4,sleep,SLEEP_POD_SUEDE,"SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",374.89518782036794,1595,1.7282131661442006,0.515987460815047,"{""SLEEP_POD_LAMB_WOOL"":-0.05113809950284449,""SLEEP_POD_POLYESTER"":0.538113123800234,""SLEEP_POD_NYLON"":-0.4389578918877232,""SLEEP_POD_COTTON"":-0.3454505012857012}",-40.49944501562453
train_d2_test_d3d4,3,sleep,SLEEP_POD_LAMB_WOOL,"SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",421.8788248142958,4301,0.5334805859102534,0.49407114624505927,"{""SLEEP_POD_SUEDE"":-0.06473536294689874,""SLEEP_POD_POLYESTER"":-0.26917288654742166,""SLEEP_POD_NYLON"":-0.6324043960686452,""SLEEP_POD_COTTON"":-0.46259415200471404}",1004.8774530163234
train_d2_test_d3d4,4,sleep,SLEEP_POD_LAMB_WOOL,"SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",421.8788248142958,4477,-0.004132231404958678,0.4918472191199464,"{""SLEEP_POD_SUEDE"":-0.06473536294689874,""SLEEP_POD_POLYESTER"":-0.26917288654742166,""SLEEP_POD_NYLON"":-0.6324043960686452,""SLEEP_POD_COTTON"":-0.46259415200471404}",1004.8774530163234
train_d2_test_d3d4,3,sleep,SLEEP_POD_POLYESTER,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_COTTON",294.37902961858117,2306,0.7231136166522116,0.4930615784908933,"{""SLEEP_POD_SUEDE"":0.33216443114989497,""SLEEP_POD_LAMB_WOOL"":-0.131254393602099,""SLEEP_POD_NYLON"":-0.6336521402557606,""SLEEP_POD_COTTON"":0.4651922280498596}",60.15961807453823
train_d2_test_d3d4,4,sleep,SLEEP_POD_POLYESTER,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,SLEEP_POD_COTTON",294.37902961858117,1515,5.04059405940594,0.5623762376237624,"{""SLEEP_POD_SUEDE"":0.33216443114989497,""SLEEP_POD_LAMB_WOOL"":-0.131254393602099,""SLEEP_POD_NYLON"":-0.6336521402557606,""SLEEP_POD_COTTON"":0.4651922280498596}",60.15961807453823
train_d2_test_d3d4,3,sleep,SLEEP_POD_NYLON,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON",152.95537159698898,7669,-0.35115399660972746,0.4806363280740644,"{""SLEEP_POD_SUEDE"":-0.07314088969131524,""SLEEP_POD_LAMB_WOOL"":-0.08324061000364118,""SLEEP_POD_POLYESTER"":-0.1710443535441085,""SLEEP_POD_COTTON"":-0.3164445654864658}",-53.591767620825976
train_d2_test_d3d4,4,sleep,SLEEP_POD_NYLON,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON",152.95537159698898,9350,-0.4144385026737968,0.48663101604278075,"{""SLEEP_POD_SUEDE"":-0.07314088969131524,""SLEEP_POD_LAMB_WOOL"":-0.08324061000364118,""SLEEP_POD_POLYESTER"":-0.1710443535441085,""SLEEP_POD_COTTON"":-0.3164445654864658}",-53.591767620825976
train_d2_test_d3d4,3,sleep,SLEEP_POD_COTTON,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON",243.89012550437099,8320,-0.20895432692307692,0.49146634615384616,"{""SLEEP_POD_SUEDE"":-0.14636662224390845,""SLEEP_POD_LAMB_WOOL"":-0.15483151316831265,""SLEEP_POD_POLYESTER"":0.3193075093668132,""SLEEP_POD_NYLON"":-0.8046675497232278}",278.0996615990368
train_d2_test_d3d4,4,sleep,SLEEP_POD_COTTON,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON",243.89012550437099,5836,1.168351610692255,0.5078821110349554,"{""SLEEP_POD_SUEDE"":-0.14636662224390845,""SLEEP_POD_LAMB_WOOL"":-0.15483151316831265,""SLEEP_POD_POLYESTER"":0.3193075093668132,""SLEEP_POD_NYLON"":-0.8046675497232278}",278.0996615990368
train_d2_test_d3d4,3,microchip,MICROCHIP_CIRCLE,"MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",155.90913637325679,9995,0.17218609304652327,0.5024512256128064,"{""MICROCHIP_OVAL"":0.37788268062551067,""MICROCHIP_SQUARE"":-0.09437121680028332,""MICROCHIP_RECTANGLE"":0.14415467920007527,""MICROCHIP_TRIANGLE"":-0.13197431602019907}",-514.9267749304662
train_d2_test_d3d4,4,microchip,MICROCHIP_CIRCLE,"MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",155.90913637325679,9995,-0.9121560780390195,0.4753376688344172,"{""MICROCHIP_OVAL"":0.37788268062551067,""MICROCHIP_SQUARE"":-0.09437121680028332,""MICROCHIP_RECTANGLE"":0.14415467920007527,""MICROCHIP_TRIANGLE"":-0.13197431602019907}",-514.9267749304662
train_d2_test_d3d4,3,microchip,MICROCHIP_OVAL,"MICROCHIP_CIRCLE,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",236.53058483901472,9344,-0.744755993150685,0.4837328767123288,"{""MICROCHIP_CIRCLE"":0.8695704359931545,""MICROCHIP_SQUARE"":0.1778172862542363,""MICROCHIP_RECTANGLE"":0.09546082781905221,""MICROCHIP_TRIANGLE"":0.08169157365502827}",265.62707004631125
train_d2_test_d3d4,4,microchip,MICROCHIP_OVAL,"MICROCHIP_CIRCLE,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",236.53058483901472,9522,-0.9446544843520269,0.4735349716446125,"{""MICROCHIP_CIRCLE"":0.8695704359931545,""MICROCHIP_SQUARE"":0.1778172862542363,""MICROCHIP_RECTANGLE"":0.09546082781905221,""MICROCHIP_TRIANGLE"":0.08169157365502827}",265.62707004631125
train_d2_test_d3d4,3,microchip,MICROCHIP_SQUARE,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",509.8382555242117,6877,-0.772357132470554,0.4970190490039261,"{""MICROCHIP_CIRCLE"":-1.009037106496713,""MICROCHIP_OVAL"":0.8262163444468524,""MICROCHIP_RECTANGLE"":-0.9511638046258405,""MICROCHIP_TRIANGLE"":-0.14744407235730095}",293.0461181327803
train_d2_test_d3d4,4,microchip,MICROCHIP_SQUARE,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",509.8382555242117,7582,1.05315220258507,0.5015826958586125,"{""MICROCHIP_CIRCLE"":-1.009037106496713,""MICROCHIP_OVAL"":0.8262163444468524,""MICROCHIP_RECTANGLE"":-0.9511638046258405,""MICROCHIP_TRIANGLE"":-0.14744407235730095}",293.0461181327803
train_d2_test_d3d4,3,microchip,MICROCHIP_RECTANGLE,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE",273.38599346804904,9176,-0.4292175239755885,0.49585876198779427,"{""MICROCHIP_CIRCLE"":0.4431223156800453,""MICROCHIP_OVAL"":0.12751823571132367,""MICROCHIP_SQUARE"":-0.2734529485161668,""MICROCHIP_TRIANGLE"":-0.040867747018443035}",341.12548433695173
