product,category,mean_mid,std_mid,mean_spread,mean_depth,ret1_ac,z_revert_5
PEBBLES_XL,pebbles,13225.589316666666,1776.5459211753077,16.630766666666666,24.813633333333332,0.00768054431993835,2.0780056695014175
ROBOT_DISHES,robot,10018.3149,556.6391093500058,7.350266666666666,15.233766666666666,-0.23172677732900326,1.391362347840587
OXYGEN_SHAKE_EVENING_BREATH,oxygen,9271.895,399.8214949815361,11.860466666666667,36.5128,-0.12268923485123269,0.6904118726029681
MICROCHIP_RECTANGLE,microchip,8732.43935,752.0192901650261,7.885766666666667,14.444266666666667,-0.0027042360322022535,0.47123561780890444
UV_VISOR_MAGENTA,uv,11111.7929,613.5541254296188,14.0916,36.5128,-0.003115293430072991,0.45034183758545937
PEBBLES_XS,pebbles,7404.639766666666,1449.5468391477468,9.744866666666667,26.795333333333332,-0.015628106659206394,0.4493246623311656
OXYGEN_SHAKE_MORNING_BREATH,oxygen,10000.45335,652.8050898736884,12.7829,36.5128,-0.005238011395428032,0.3432549608137402
PEBBLES_M,pebbles,10263.243183333334,687.8172305113593,13.1209,24.813633333333332,-0.004766338035630959,0.30125062531265634
SLEEP_POD_POLYESTER,sleep,11840.56095,977.5395385925572,10.2957,21.752133333333333,-0.001696017662311085,0.2959479739869935
TRANSLATOR_GRAPHITE_MIST,translator,10084.639683333333,499.540862608865,8.9121,22.202666666666666,-0.003665010875098694,0.2749708187427047
SLEEP_POD_SUEDE,sleep,11397.420433333333,899.9464721068787,9.949466666666666,21.8194,-0.006247000158536515,0.27388694347173587
OXYGEN_SHAKE_CHOCOLATE,oxygen,9556.879133333334,560.601598281981,12.185466666666667,36.5128,-0.08902282590503867,0.26790061697515427
GALAXY_SOUNDS_DARK_MATTER,galaxy,10226.661816666667,330.70051635594433,13.050833333333333,36.5128,-0.012018955655468441,0.2417542104385526
UV_VISOR_YELLOW,uv,10957.46075,681.8080494476774,13.909966666666667,36.5128,0.0027701827511540226,0.23314990828747706
SNACKPACK_RASPBERRY,snack,10077.812066666667,169.81384775440878,16.842466666666667,58.9913,-0.016899319181104655,0.2304485576121394
PEBBLES_L,pebbles,10174.110583333333,622.3316487230442,13.0205,24.813633333333332,0.006892440889030488,0.2007170251792563
SNACKPACK_STRAWBERRY,snack,10706.6085,363.573110563255,17.826466666666665,58.9913,-0.014158910206751975,0.19809904952476237
MICROCHIP_CIRCLE,microchip,9214.885283333333,532.5122087240621,8.262166666666667,13.522233333333334,-0.005012127606197553,0.1933299983324996
TRANSLATOR_VOID_BLUE,translator,10858.579333333333,579.2541563385196,9.524666666666667,21.824166666666667,-0.008730805589562804,0.1874270468567617
OXYGEN_SHAKE_GARLIC,oxygen,11925.639766666667,953.3490692274594,15.0546,36.5128,-0.003473144029361152,0.14115391028847757
ROBOT_LAUNDRY,robot,9822.7617,614.3223202387813,7.165066666666666,16.095133333333333,0.005674895852611788,0.13248290812072702
SNACKPACK_CHOCOLATE,snack,9843.37165,200.73332553464675,16.471166666666665,58.9913,-0.030978701295311908,0.12467900616975154
SNACKPACK_PISTACHIO,snack,9495.843916666667,187.49503529232192,15.925633333333334,58.9913,-0.025181300758920916,0.08834417208604302
PANEL_2X2,panel,9576.598433333333,674.79474282361,8.515466666666667,23.663433333333334,-0.011231456780381274,0.0870601967650492
TRANSLATOR_SPACE_GRAY,translator,9431.901883333334,502.70637255229,8.402166666666666,23.884966666666667,0.007687522074664794,0.0728197432049358
ROBOT_IRONING,robot,8701.570266666668,771.0297283226696,6.392933333333334,16.702933333333334,-0.1253192015842039,0.05982991495747874
PEBBLES_S,pebbles,8932.356733333334,833.2821405715374,11.551533333333333,24.813633333333332,0.007671235992210505,0.05077538769384692
SNACKPACK_VANILLA,snack,10097.302466666666,178.51462651459988,16.868666666666666,58.9913,-0.026863057387164914,0.03688510922127731
MICROCHIP_OVAL,microchip,8179.598716666666,1551.911621254898,7.449766666666667,15.544066666666666,-0.007136212567283307,0.030748707687176923
UV_VISOR_ORANGE,uv,10426.506216666667,550.6034484317506,13.2841,36.5128,0.001677186355077127,0.006636651659162915
