leader,follower,lag,same_category,leader_category,follower_category,ic_mean,abs_ic_mean,ic_min,ic_max,same_sign_days,slope_mean,day_2_ic,day_3_ic,day_4_ic,score
ROBOT_MOPPING,ROBOT_IRONING,10,True,robot,robot,0.0430361236464745,0.0430361236464745,0.03323817913169322,0.05414255317920911,1,0.025191036659916125,0.03323817913169322,0.041727638628521184,0.05414255317920911,0.1032866967515388
PEBBLES_XL,PEBBLES_M,200,True,pebbles,pebbles,0.04297171495284574,0.04297171495284574,0.01016376856512294,0.07948527739582062,1,0.00406808179800191,0.01016376856512294,0.03926609889759366,0.07948527739582062,0.10313211588682977
TRANSLATOR_ECLIPSE_CHARCOAL,SNACKPACK_VANILLA,100,False,translator,snack,-0.047877633930810216,0.047877633930810216,-0.07067312616740586,-0.029796152069908224,1,-0.007169406138640051,-0.07067312616740586,-0.04316362355511657,-0.029796152069908224,0.09575526786162043
UV_VISOR_AMBER,PANEL_1X4,200,False,uv,panel,0.04626899645863225,0.04626899645863225,0.03360125108188695,0.05995341057612511,1,0.008430829378900698,0.0452523277178847,0.03360125108188695,0.05995341057612511,0.0925379929172645
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,500,True,sleep,sleep,-0.037730042050016795,0.037730042050016795,-0.048053522918199025,-0.022118066141665872,1,-0.004135591032441967,-0.048053522918199025,-0.022118066141665872,-0.0430185370901855,0.0905521009200403
UV_VISOR_AMBER,UV_VISOR_MAGENTA,200,True,uv,uv,-0.03731113067985919,0.03731113067985919,-0.050229167483243145,-0.02488342553056532,1,-0.008350186813361747,-0.036820799025769076,-0.050229167483243145,-0.02488342553056532,0.08954671363166204
PEBBLES_XS,OXYGEN_SHAKE_GARLIC,100,False,pebbles,oxygen,-0.04459158551039218,0.04459158551039218,-0.06858255232026206,-0.015345601150687418,1,-0.008484561194068015,-0.06858255232026206,-0.015345601150687418,-0.04984660306022706,0.08918317102078437
ROBOT_DISHES,SLEEP_POD_POLYESTER,100,False,robot,sleep,-0.044571581291210666,0.044571581291210666,-0.06777724273650722,-0.017176640293304936,1,-0.011373587419731537,-0.017176640293304936,-0.06777724273650722,-0.04876086084381983,0.08914316258242133
UV_VISOR_RED,MICROCHIP_RECTANGLE,5,False,uv,microchip,0.04449139971874055,0.04449139971874055,0.030287021975115295,0.07178253752167676,1,0.053805922093028626,0.031404639659429565,0.07178253752167676,0.030287021975115295,0.0889827994374811
UV_VISOR_RED,UV_VISOR_YELLOW,500,True,uv,uv,-0.03705178999784395,0.03705178999784395,-0.048287042532796816,-0.023376893070442988,1,-0.003565374926910707,-0.048287042532796816,-0.023376893070442988,-0.03949143439029204,0.08892429599482547
SLEEP_POD_SUEDE,UV_VISOR_ORANGE,10,False,sleep,uv,-0.04437681369413871,0.04437681369413871,-0.05254898874834178,-0.03838934189565446,1,-0.02950723919517366,-0.05254898874834178,-0.0421921104384199,-0.03838934189565446,0.08875362738827743
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,100,True,galaxy,galaxy,-0.036966968853078236,0.036966968853078236,-0.05022646292147065,-0.026356037985969055,1,-0.008714316469356538,-0.034318405651794996,-0.026356037985969055,-0.05022646292147065,0.08872072524738776
