signal,product,horizon,threshold,days,live_days,total_count,mean_of_days,min_day_edge,total_edge,mean_hit_rate,min_t_stat,consistent
premium_rolling_z,VEV_6000,1,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,1,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,1,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,1,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,5,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,5,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,5,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,5,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,10,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,10,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,10,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,10,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,20,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,20,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,20,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,20,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,50,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,50,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,50,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,50,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,100,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,100,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,100,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6000,100,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,1,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,1,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,1,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,1,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,5,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,5,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,5,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,5,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,10,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,10,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,10,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,10,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,20,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,20,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,20,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,20,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,50,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,50,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,50,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,50,2.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,100,1.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,100,1.5,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,100,2.0,3,0,0,,,0.0,,,False
premium_rolling_z,VEV_6500,100,2.5,3,0,0,,,0.0,,,False
price_wing_VEV_5100_VEV_5300,VEV_5200,100,2.5,3,3,521,-0.6665580877614389,-1.01,-319.0,0.44218928401715907,-2.189340357169902,False
price_wing_VEV_5200_VEV_5400,VEV_5300,5,2.5,3,3,545,-0.6216935751539167,-0.680365296803653,-341.5,0.0971889577811263,-12.626145338081466,False
price_wing_VEV_5200_VEV_5400,VEV_5300,1,2.5,3,3,545,-0.6305293205812572,-0.6757990867579908,-346.0,0.025267297206375623,-20.88633504022159,False
price_wing_VEV_5200_VEV_5400,VEV_5300,10,2.5,3,3,545,-0.6234269620220071,-0.7625570776255708,-347.0,0.16821894953795105,-10.785474108092961,False
price_wing_VEV_5100_VEV_5300,VEV_5200,50,2.5,3,3,522,-0.7630343622597554,-1.1705882352941177,-400.5,0.41090014883841325,-3.905850186631066,False
price_wing_VEV_5200_VEV_5400,VEV_5300,20,2.5,3,3,545,-0.7119321043539929,-1.0844748858447488,-414.0,0.24645518359980378,-10.702588151917961,False
premium_wing_VEV_5400_VEV_6000,VEV_5500,100,2.5,3,3,1254,-0.3181474634834978,-0.39473684210526316,-415.0,0.2734707813022004,-17.748907032341364,False
price_wing_VEV_5400_VEV_6000,VEV_5500,100,2.5,3,3,1254,-0.3181474634834978,-0.39473684210526316,-415.0,0.2734707813022004,-17.748907032341364,False
premium_wing_VEV_5300_VEV_5500,VEV_5400,10,2.5,3,3,1063,-0.41428963541842867,-0.4646892655367232,-439.5,0.16528227161496215,-14.013612048124662,False
price_wing_VEV_5300_VEV_5500,VEV_5400,10,2.5,3,3,1063,-0.41428963541842867,-0.4646892655367232,-439.5,0.16528227161496215,-14.013612048124662,False
premium_wing_VEV_5400_VEV_6000,VEV_5500,20,2.5,3,3,1265,-0.35355481580276754,-0.41197822141560797,-460.0,0.1408248806704906,-29.2836195015234,False
price_wing_VEV_5400_VEV_6000,VEV_5500,20,2.5,3,3,1265,-0.35355481580276754,-0.41197822141560797,-460.0,0.1408248806704906,-29.2836195015234,False
premium_wing_VEV_5300_VEV_5500,VEV_5400,5,2.5,3,3,1063,-0.4341057771462724,-0.4887005649717514,-460.0,0.08059970454571085,-17.544749116156115,False
price_wing_VEV_5300_VEV_5500,VEV_5400,5,2.5,3,3,1063,-0.4341057771462724,-0.4887005649717514,-460.0,0.08059970454571085,-17.544749116156115,False
premium_rolling_z,VEV_5500,100,2.5,3,3,1853,-0.2515869088664709,-0.33460365853658536,-473.0,0.3240532913786649,-9.506555485285283,False
premium_wing_VEV_5300_VEV_5500,VEV_5400,20,2.5,3,3,1062,-0.4453666208581463,-0.5635593220338984,-473.5,0.22222833002494022,-13.513842660620547,False
price_wing_VEV_5300_VEV_5500,VEV_5400,20,2.5,3,3,1062,-0.4453666208581463,-0.5635593220338984,-473.5,0.22222833002494022,-13.513842660620547,False
premium_wing_VEV_5400_VEV_6000,VEV_5500,50,2.5,3,3,1258,-0.3733538738315984,-0.41560798548094374,-479.0,0.18313090582483948,-24.140182558323072,False
price_wing_VEV_5400_VEV_6000,VEV_5500,50,2.5,3,3,1258,-0.3733538738315984,-0.41560798548094374,-479.0,0.18313090582483948,-24.140182558323072,False
premium_wing_VEV_5300_VEV_5500,VEV_5400,50,2.5,3,3,1057,-0.4588787878787879,-0.48863636363636365,-485.5,0.2990681818181818,-9.224435294272357,False
price_wing_VEV_5300_VEV_5500,VEV_5400,50,2.5,3,3,1057,-0.4588787878787879,-0.48863636363636365,-485.5,0.2990681818181818,-9.224435294272357,False
price_wing_VEV_5100_VEV_5300,VEV_5200,20,2.5,3,3,523,-0.921762130139412,-1.173529411764706,-488.0,0.3370179336102257,-5.7804538440587745,False
premium_wing_VEV_5400_VEV_6000,VEV_5500,10,2.5,3,3,1265,-0.3844123580771303,-0.4519056261343013,-500.0,0.09437474958142096,-37.30306158556221,False
price_wing_VEV_5400_VEV_6000,VEV_5500,10,2.5,3,3,1265,-0.3844123580771303,-0.4519056261343013,-500.0,0.09437474958142096,-37.30306158556221,False
price_wing_VEV_5200_VEV_5400,VEV_5300,50,2.5,3,3,545,-0.8656475844345444,-1.5502283105022832,-516.5,0.2856202214559065,-10.372327719218054,False
premium_wing_VEV_5300_VEV_5500,VEV_5400,1,2.5,3,3,1063,-0.4936620318684665,-0.5225988700564972,-525.0,0.011370434272697544,-30.43295045972721,False
price_wing_VEV_5300_VEV_5500,VEV_5400,1,2.5,3,3,1063,-0.4936620318684665,-0.5225988700564972,-525.0,0.011370434272697544,-30.43295045972721,False
premium_wing_VEV_5400_VEV_6000,VEV_5500,5,2.5,3,3,1265,-0.4137837371429818,-0.4673321234119782,-534.0,0.0567711152268681,-47.03923072622973,False
