signal,x_product,y_product,horizon,threshold,beta,days,live_days,total_count,mean_of_days,min_day_edge,total_edge,mean_hit_rate,min_t_stat,consistent
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,250,1.0,0.4727495807097714,3,3,10453,7.055860867094609,4.950019422682516,68558.61707129373,0.6165166655594438,13.817795647128536,True
pair_train_d1,VEV_5300,HYDROGEL_PACK,250,1.0,0.7790535228043952,3,3,10504,6.853633407480841,4.500395673542598,67228.43744196894,0.6125569411740299,12.226891812102398,True
pair_train_d1,VEV_5100,HYDROGEL_PACK,250,1.0,0.3694401207693747,3,3,10115,7.133155839713619,4.590677944033487,66682.06660042313,0.6202088790787442,12.524439803410926,True
pair_train_d1,VEV_5000,HYDROGEL_PACK,250,1.0,0.45096156769903445,3,3,10380,6.855068301852405,4.560577241184042,65920.23228584802,0.615479247879601,12.72280663676441,True
pair_train_d1,VEV_5200,HYDROGEL_PACK,250,1.0,0.2748158007904125,3,3,9761,7.2040512331532325,4.551722823326902,64833.42390965164,0.6236007495916376,12.5889107573242,True
pair_train_d1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,250,1.0,0.07136983054152737,3,3,12614,5.481834100996369,2.9409666366093647,64642.912086072334,0.6601151355578927,17.723688474622236,True
pair_train_d1,HYDROGEL_PACK,VEV_5000,250,1.0,0.0588056011689192,3,3,13216,4.466570673735375,2.2996401552618844,54494.81999425418,0.6411527882287265,14.833477237550595,True
pair_train_d1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,250,1.5,0.07136983054152737,3,3,7167,7.309195849270599,5.4920673020477535,47400.04256627948,0.7005746046548643,24.431069948828075,True
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,250,1.5,0.4727495807097714,3,3,3903,11.268993568285234,7.631797532189692,42492.75286973255,0.6669757378130723,13.180457404452378,True
pair_train_d1,VEV_4500,HYDROGEL_PACK,250,1.0,0.4706215435721885,3,3,10443,4.510738984681325,2.383921978468128,41892.51915781346,0.5737547518847395,6.655673562302367,True
pair_train_d1,VEV_5000,HYDROGEL_PACK,250,1.5,0.45096156769903445,3,3,3781,11.241104127655186,7.582465482696797,41129.487184907506,0.6648003063008795,13.07963773182228,True
pair_train_d1,VEV_5100,HYDROGEL_PACK,250,1.5,0.3694401207693747,3,3,3490,11.842439698858087,8.470318715372091,40762.72129835148,0.6677485747920691,13.695178943799464,True
pair_train_d1,VEV_5300,HYDROGEL_PACK,250,1.5,0.7790535228043952,3,3,3875,11.365818235423696,5.316905747508087,40611.39288942396,0.6647099961041788,10.604319104353003,True
pair_train_d1,HYDROGEL_PACK,VEV_5000,250,1.5,0.0588056011689192,3,3,7483,5.986565994920678,4.511547005766862,39374.654058155495,0.6788866057379757,20.119295628759065,True
pair_train_d1,VEV_5200,HYDROGEL_PACK,250,1.5,0.2748158007904125,3,3,3233,11.960050327674852,9.165077542804612,38768.52130731292,0.6674476358496202,13.861337965528367,True
pair_train_d1,VEV_4500,HYDROGEL_PACK,250,1.5,0.4706215435721885,3,3,3895,8.77040958509315,5.250911502051442,32685.807959458216,0.6306579532902813,9.086778307300728,True
pair_train_d1,VEV_4000,HYDROGEL_PACK,250,1.0,0.469025788689026,3,3,10443,3.3432287271177827,1.2200401478607017,29769.03523783468,0.5550094040827941,3.405666889969133,True
pair_train_d1,VEV_4000,HYDROGEL_PACK,250,1.5,0.469025788689026,3,3,3890,7.616640124501551,4.10818944836147,28215.950114937743,0.6095165202441057,7.0942271704319095,True
pair_train_d1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,250,2.0,0.07136983054152737,3,3,3589,7.142016984264323,5.081901587556472,22433.185212794586,0.6918467809479812,15.40657530981868,True
pair_train_d1,HYDROGEL_PACK,VEV_5000,250,2.0,0.0588056011689192,3,3,3828,6.6311056584107675,4.309264829526393,21395.475245237576,0.6999242451378306,16.124023801131667,True
pair_train_d1,VEV_5300,HYDROGEL_PACK,250,2.0,0.7790535228043952,3,3,1021,19.824827212754606,10.520122343472586,16374.2204883852,0.7816431231132559,14.097866090898163,True
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,250,2.0,0.4727495807097714,3,3,1187,19.897380386025038,10.450142928531413,16324.623917407022,0.7544547894688826,12.319808648181704,True
pair_train_d1,VEV_5000,HYDROGEL_PACK,250,2.0,0.45096156769903445,3,3,1138,19.695638726801125,10.630471306149154,16073.82010626174,0.7567804814358366,12.345075101714805,True
pair_train_d1,VEV_5200,HYDROGEL_PACK,250,2.0,0.2748158007904125,3,3,738,21.54217990764103,18.270850028427617,15478.568664632585,0.8734669897921715,16.53069015145527,True
pair_train_d1,VEV_5100,HYDROGEL_PACK,250,2.0,0.3694401207693747,3,3,890,20.21600073162688,13.970234222872321,15377.579713172734,0.7946853658785872,13.955340161732293,True
pair_train_d1,VEV_4500,HYDROGEL_PACK,250,2.0,0.4706215435721885,3,3,1187,17.33938270134225,8.09575989000817,13322.71319907167,0.7127115677473874,9.588343777372266,True
pair_train_d1,VEV_4000,HYDROGEL_PACK,250,2.0,0.469025788689026,3,3,1185,16.10666820017591,6.810772509739801,11873.376080426062,0.7018443861315792,8.356608789795681,True
pair_train_d1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,250,2.5,0.07136983054152737,3,3,1697,9.893461941396446,4.888244545577542,11661.85032821981,0.8212834370060151,12.724535468951874,True
pair_train_d1,HYDROGEL_PACK,VEV_5000,250,2.5,0.0588056011689192,3,3,2005,9.215188557170292,3.0595973320472916,10614.17324205757,0.8042871968636511,9.060026435426668,True
pair_train_d1,VEV_5200,HYDROGEL_PACK,100,1.5,0.2748158007904125,3,3,3233,2.627484371870832,0.5794411174958113,8283.88998873733,0.5653068861793671,1.2376891688377518,True
pair_train_d1,VEV_5200,HYDROGEL_PACK,100,2.0,0.2748158007904125,3,3,738,10.534489713042655,6.734064693542872,7223.904829521061,0.7606484541382096,8.315790914549186,True
pair_train_d1,VEV_5100,HYDROGEL_PACK,100,2.0,0.3694401207693747,3,3,890,8.781158045383316,4.186150313862311,6020.0213904651355,0.6965700849048385,4.934708186460611,True
pair_train_d1,VEV_5300,HYDROGEL_PACK,100,2.0,0.7790535228043952,3,3,1021,7.690698599345027,2.202215581836379,5359.272156058779,0.665554846756791,2.6621943162869863,True
pair_train_d1,VELVETFRUIT_EXTRACT,HYDROGEL_PACK,100,2.0,0.4727495807097714,3,3,1187,7.428064225698765,1.8585298181374748,4866.2035051968105,0.6310863948514894,2.2703239492971625,True
pair_train_d1,VEV_5000,HYDROGEL_PACK,100,2.0,0.45096156769903445,3,3,1138,7.4515290773517755,2.0674905057740984,4866.15807982393,0.63735092462558,2.459886853998601,True
pair_train_d1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,100,2.0,0.07136983054152737,3,3,3636,1.3042848039578978,0.34689388317540104,4391.690472360886,0.5824328230059092,1.7160776003857519,True
pair_train_d1,HYDROGEL_PACK,VELVETFRUIT_EXTRACT,100,2.5,0.07136983054152737,3,3,1715,2.4465477647002145,0.2141316679559953,2030.378144981172,0.6542481848726845,0.8953584122888067,True
pair_train_d1,VEV_5200,HYDROGEL_PACK,50,2.0,0.2748158007904125,3,3,738,2.8278356420856525,0.6546861120577399,1765.2583138451946,0.574502460160094,0.9072776376004683,True
pair_all_days_probe,VEV_5400,VEV_5100,250,2.0,3.4181454652609253,3,3,864,1.5192948175066554,0.5967129425846234,875.4161428001305,0.803833112451033,1.9169342515535184,True
pair_train_d1,HYDROGEL_PACK,VEV_4500,250,1.5,0.07117927410511582,3,3,7193,1.9625059401726788,-0.11105723648223025,9023.26836367272,0.5523307059447172,-0.5840400928460209,False
pair_train_d1,VEV_5100,HYDROGEL_PACK,100,1.5,0.3694401207693747,3,3,3490,2.2618815640262095,-0.5244118838353684,7280.874640185392,0.5512474923828571,-1.1840227690170426,False
