day,timestamp,time_day,spot_mid,realized_vol,implied_vol_median,implied_vol_mean,implied_vol_count
0,0,0.0,5250.0,,0.30340168668144346,0.30363799780491946,6
0,100,0.0001,5250.5,,0.3053754248313164,0.3053240616254968,6
0,200,0.0002,5250.5,,0.30471421009176164,0.30352296328882905,6
0,300,0.0003,5250.5,,0.30471421009176164,0.3044387508316913,6
0,400,0.0004,5250.5,,0.30471421009176164,0.30352296328882905,6
0,500,0.0005,5249.5,,0.30396815712131653,0.30466394671947505,6
0,600,0.0006,5248.5,,0.3047596833625642,0.3046799272415317,6
0,700,0.0007,5248.5,,0.3047596833625642,0.3046799272415317,6
0,800,0.0008,5247.5,,0.3043851919363285,0.30458544157783823,6
0,900,0.0009,5246.5,,0.3048919846927473,0.30471643158669615,6
0,1000,0.001,5247.5,,0.3038007612352343,0.3023165095434987,6
0,1100,0.0011,5248.5,,0.3049992538233611,0.305386891350172,6
0,1200,0.0012,5248.5,,0.3047596833625642,0.3046799272415317,6
0,1300,0.0013,5247.5,,0.3057458129093165,0.305412006689667,6
0,1400,0.0014,5247.5,,0.3043851919363285,0.30458544157783823,6
0,1500,0.0015,5246.5,,0.3048919846927473,0.30471643158669615,6
0,1600,0.0016,5246.0,,0.3050601262188167,0.3059236560013028,6
0,1700,0.0017,5246.0,,0.3050601262188167,0.3059236560013028,6
0,1800,0.0018,5246.5,,0.3048919846927473,0.30471643158669615,6
0,1900,0.0019,5247.0,,0.3053071088416719,0.3045377711623013,6
0,2000,0.002,5247.5,,0.3057458129093165,0.305412006689667,6
0,2100,0.0021,5247.0,,0.3053071088416719,0.3045377711623013,6
0,2200,0.0022,5247.0,,0.3053071088416719,0.3045377711623013,6
0,2300,0.0023,5247.5,,0.3057458129093165,0.305412006689667,6
0,2400,0.0024,5248.5,,0.3045627139161163,0.3037977720784188,6
0,2500,0.0025,5247.5,,0.3043851919363285,0.30458544157783823,6
0,2600,0.0026,5246.5,,0.3050848470074625,0.30506893109589656,6
0,2700,0.0027,5246.5,,0.3048919846927473,0.30471643158669615,6
0,2800,0.0028,5245.5,,0.3046128464182047,0.30495986975176165,6
