day,product,category,start,end,net_move,trend_r2,up_tick_rate,down_tick_rate,zero_tick_rate,avg_spread,ret_std,max_abs_jump,opening_100_move,end_100_move,buy_hold_long_pnl,buy_hold_short_pnl
2,GALAXY_SOUNDS_BLACK_HOLES,galaxy,10000.0,11446.5,1446.5,0.8461029249865011,0.49204920492049203,0.4819481948194819,0.026002600260026,13.6031,10.597468089969428,44.0,-208.0,-125.0,14330.0,-14600.0
2,GALAXY_SOUNDS_DARK_MATTER,galaxy,10000.0,10417.0,417.0,0.7328981702767265,0.49074907490749076,0.48494849484948493,0.024302430243024302,12.9228,10.066863717693048,36.5,-130.5,59.0,4040.0,-4300.0
2,GALAXY_SOUNDS_PLANETARY_RINGS,galaxy,10000.0,11249.0,1249.0,0.046372271590445185,0.49564956495649565,0.48334833483348333,0.021002100210021003,12.8162,10.156710309262229,46.0,-57.5,158.5,12360.0,-12620.0
2,GALAXY_SOUNDS_SOLAR_FLAMES,galaxy,10000.0,11345.5,1345.5,0.36648324119847336,0.49124912491249123,0.4811481148114812,0.027602760276027604,14.0921,11.116032390406172,43.0,67.5,60.0,13320.0,-13590.0
2,GALAXY_SOUNDS_SOLAR_WINDS,galaxy,10000.0,9583.5,-416.5,0.4538724235186759,0.48664866486648667,0.48854885488548855,0.024802480248024804,12.8726,10.230709009872916,41.5,-22.5,-105.0,-4290.0,4040.0
2,MICROCHIP_CIRCLE,microchip,10000.0,8875.0,-1125.0,0.1349833540575195,0.48224822482248225,0.49224922492249223,0.025502550255025503,8.2583,9.207929793463705,35.0,9.5,-8.0,-11330.0,11170.0
2,MICROCHIP_OVAL,microchip,10000.0,9256.0,-744.0,2.9532483696059576e-05,0.48934893489348935,0.49064906490649063,0.020002000200020003,8.7157,14.565551126351865,60.0,-108.5,-20.5,-7520.0,7360.0
2,MICROCHIP_RECTANGLE,microchip,10000.0,9420.5,-579.5,0.5080645847816186,0.48734873487348734,0.4888488848884888,0.023802380238023804,8.5759,14.33550023955767,61.0,14.5,156.0,-5880.0,5710.0
2,MICROCHIP_SQUARE,microchip,10000.0,12455.5,2455.5,0.6944941713354119,0.49194919491949196,0.48974897489748975,0.018301830183018303,9.9049,16.870531575827176,64.0,14.5,430.0,24460.0,-24650.0
2,MICROCHIP_TRIANGLE,microchip,10000.0,10704.0,704.0,0.00018054913451700244,0.48654865486548654,0.48814881488148815,0.025302530253025302,9.0691,15.298818540305893,65.0,-16.5,-9.0,6950.0,-7130.0
2,OXYGEN_SHAKE_CHOCOLATE,oxygen,10000.0,9490.0,-510.0,0.07292933894855139,0.30813081308130813,0.3102310231023102,0.38163816381638166,11.8201,10.686546166408053,103.5,0.0,120.0,-5220.0,4980.0
2,OXYGEN_SHAKE_EVENING_BREATH,oxygen,10000.0,8430.0,-1570.0,0.9480756405561866,0.2717271727172717,0.28782878287828784,0.44044404440444046,11.993,12.377587365951154,100.0,-50.0,50.0,-15820.0,15580.0
2,OXYGEN_SHAKE_GARLIC,oxygen,10000.0,11828.5,1828.5,0.7291490624718029,0.4896489648964896,0.48454845484548453,0.025802580258025804,14.0454,11.132256296311995,44.0,-111.5,14.0,18150.0,-18420.0
2,OXYGEN_SHAKE_MINT,oxygen,10000.0,10106.5,106.5,0.07516308712600274,0.489048904890489,0.48424842484248426,0.026702670267026704,12.6696,9.853708495955669,42.0,-43.5,-125.5,940.0,-1190.0
2,OXYGEN_SHAKE_MORNING_BREATH,oxygen,10000.0,10999.5,999.5,0.10298450001319376,0.49074907490749076,0.48754875487548754,0.021702170217021702,13.4889,10.66869795757715,40.0,76.5,-13.5,9860.0,-10130.0
2,PANEL_1X2,panel,10000.0,8431.5,-1568.5,0.7425965260271732,0.4819481948194819,0.49474947494749477,0.0233023302330233,11.8891,9.406368512551541,39.5,4.5,-150.0,-15800.0,15570.0
2,PANEL_1X4,panel,10000.0,11065.0,1065.0,0.4170048223690426,0.49274927492749276,0.4803480348034804,0.0269026902690269,8.8769,10.14605839061397,43.5,-102.5,34.0,10560.0,-10740.0
2,PANEL_2X2,panel,10000.0,10111.5,111.5,0.09380620976547395,0.49174917491749176,0.47924792479247924,0.029002900290029002,8.7079,9.862465588675851,38.0,-280.0,-49.0,1030.0,-1200.0
2,PANEL_2X4,panel,10000.0,10738.0,738.0,0.729277308410746,0.49114911491149116,0.48604860486048607,0.022802280228022803,9.4145,10.637949502242561,41.0,73.5,-4.0,7290.0,-7470.0
2,PANEL_4X4,panel,10000.0,9678.5,-321.5,0.02963806301328515,0.48584858485848587,0.48584858485848587,0.028302830283028303,8.8933,10.103924990029757,40.5,133.5,40.5,-3300.0,3130.0
2,PEBBLES_L,pebbles,10000.0,10103.0,103.0,0.2689364827924889,0.49124912491249123,0.49054905490549056,0.018201820182018203,12.6451,15.030446943884378,51.0,-46.5,137.5,900.0,-1160.0
2,PEBBLES_M,pebbles,10000.0,9014.5,-985.5,0.1678311866272174,0.48434843484348433,0.49814981498149813,0.0175017501750175,12.5074,15.122444602618604,64.5,-50.0,51.5,-9970.0,9740.0
2,PEBBLES_S,pebbles,10000.0,9160.0,-840.0,0.5504415825454637,0.49034903490349036,0.49074907490749076,0.018901890189018902,12.3986,14.97608832828156,53.5,351.0,86.0,-8520.0,8280.0
2,PEBBLES_XL,pebbles,10000.0,13674.5,3674.5,0.8524718049956848,0.5007500750075008,0.49124912491249123,0.008000800080008,14.6479,30.286335503094794,120.5,-339.5,-201.5,36600.0,-36890.0
2,PEBBLES_XS,pebbles,10000.0,8048.5,-1951.5,0.9060928199197849,0.48894889488948895,0.49274927492749276,0.018301830183018303,11.853,15.176932219520731,62.5,85.0,-73.0,-19630.0,19400.0
2,ROBOT_DISHES,robot,10000.0,9921.0,-79.0,0.34221381770268805,0.4817481748174817,0.48934893489348935,0.028902890289028902,6.9537,9.652828875220353,39.5,-94.5,-75.0,-870.0,710.0
