day,product,category,timestamp,jump,threshold,after_50,after_200
2,ROBOT_IRONING,robot,58400,-102.0,59.303999999999995,-122.0,-102.0
2,ROBOT_IRONING,robot,166200,-100.0,59.303999999999995,-110.0,-260.0
2,ROBOT_IRONING,robot,74900,-100.0,59.303999999999995,-110.0,0.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,764500,-100.0,38.547599999999996,-278.0,-291.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,766700,-100.0,38.547599999999996,-218.0,-113.5
2,ROBOT_IRONING,robot,159500,-100.0,59.303999999999995,0.0,-230.0
2,ROBOT_IRONING,robot,158300,100.0,59.303999999999995,100.0,-90.0
2,ROBOT_IRONING,robot,158200,-100.0,59.303999999999995,-100.0,-210.0
2,ROBOT_IRONING,robot,157700,-100.0,59.303999999999995,-100.0,-190.0
2,ROBOT_IRONING,robot,154500,-100.0,59.303999999999995,-100.0,-140.0
2,ROBOT_IRONING,robot,150500,-100.0,59.303999999999995,-100.0,-110.0
2,ROBOT_IRONING,robot,144400,100.0,59.303999999999995,100.0,100.0
2,ROBOT_IRONING,robot,96700,-100.0,59.303999999999995,-190.0,-240.0
2,ROBOT_IRONING,robot,95100,-100.0,59.303999999999995,-110.0,-210.0
2,ROBOT_IRONING,robot,93200,-100.0,59.303999999999995,-140.0,-300.0
2,ROBOT_IRONING,robot,92700,-100.0,59.303999999999995,-140.0,-300.0
2,ROBOT_IRONING,robot,74800,100.0,59.303999999999995,-10.0,100.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,759700,-100.0,38.547599999999996,-200.0,-454.0
2,ROBOT_IRONING,robot,72400,-100.0,59.303999999999995,-130.0,-100.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,742100,100.0,38.547599999999996,100.0,-100.0
2,ROBOT_IRONING,robot,59900,-100.0,59.303999999999995,-140.0,-110.0
2,ROBOT_IRONING,robot,56500,-100.0,59.303999999999995,-110.0,-130.0
2,ROBOT_IRONING,robot,55900,-100.0,59.303999999999995,-110.0,-100.0
2,ROBOT_IRONING,robot,55700,-100.0,59.303999999999995,-108.0,-100.0
2,ROBOT_IRONING,robot,55200,-100.0,59.303999999999995,-100.0,-100.0
2,ROBOT_IRONING,robot,54300,100.0,59.303999999999995,100.0,-10.0
2,ROBOT_IRONING,robot,53100,-100.0,59.303999999999995,-100.0,-120.0
2,ROBOT_IRONING,robot,52300,-100.0,59.303999999999995,-100.0,0.0
2,ROBOT_IRONING,robot,48300,-100.0,59.303999999999995,-100.0,-100.0
2,ROBOT_IRONING,robot,48000,-100.0,59.303999999999995,0.0,-100.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,762300,-100.0,38.547599999999996,-100.0,-335.5
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,757100,-100.0,38.547599999999996,0.0,-367.0
2,ROBOT_IRONING,robot,42600,-100.0,59.303999999999995,-100.0,-100.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,588200,-100.0,38.547599999999996,-200.0,-273.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,740200,-100.0,38.547599999999996,0.0,-196.5
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,739900,-100.0,38.547599999999996,-100.0,-200.0
4,OXYGEN_SHAKE_CHOCOLATE,oxygen,739000,-100.0,38.547599999999996,0.0,-200.0
