day,category,net_move
2,galaxy,808.2999999999993
2,sleep,653.7999999999993
2,microchip,142.20000000000073
2,pebbles,0.1000000000003638
2,robot,-86.5
2,visor,472.7999999999993
2,translator,64.79999999999927
2,panel,4.899999999999636
2,oxygen,170.89999999999964
2,snack,30.899999999999636
3,galaxy,358.1999999999989
3,sleep,893.2000000000007
3,microchip,-402.0
3,pebbles,0.1000000000003638
3,robot,-329.39999999999964
3,visor,-18.600000000000364
3,translator,55.29999999999927
3,panel,-303.8000000000011
3,oxygen,-180.90000000000146
3,snack,4.199999999998909
4,galaxy,-277.2999999999993
4,sleep,-200.5
4,microchip,-491.8000000000011
4,pebbles,0.2000000000007276
4,robot,59.29999999999927
4,visor,-507.89999999999964
4,translator,-432.89999999999964
4,panel,261.5
4,oxygen,759.5
4,snack,23.5
