day,timestamp,product,side,quantity,price,cash_after,position_after,signal_edge,dynamic_threshold,gross_exposure_after,stopped
3,3400,VEV_6000,1,12,1.0,-12.0,12,101.19319152832031,26.282569423001195,6.0,0
3,3900,VEV_4500,-1,6,786.0,4704.0,-6,-106.92169189453125,33.956882101645746,4767.0,0
3,4000,VEV_6500,1,12,1.0,4692.0,12,79.49757385253906,24.740901819994843,6.0,0
3,4100,VEV_5300,1,12,59.0,3984.0,12,189.89459228515625,27.657427451123237,696.0,0
3,4200,VEV_5300,1,12,59.0,3276.0,24,130.74447631835938,30.68233209731584,1392.0,0
3,4500,VEV_5500,1,10,7.0,3206.0,10,91.82008361816406,79.60583139527236,71.0,0
3,4500,VEV_6000,1,12,1.0,3194.0,24,104.5986328125,26.033861916137976,77.0,0
3,4600,VEV_4000,-1,11,1285.0,17329.0,-11,-290.4368896484375,35.99021330046981,14262.5,0
3,4600,VEV_6000,1,12,1.0,17317.0,36,106.87742614746094,26.00134934872003,14268.5,0
3,4800,VEV_5200,1,12,121.0,15865.0,12,78.13002014160156,30.41556741658509,1434.0,0
3,5100,VEV_5400,1,12,21.0,15613.0,12,79.89730834960938,43.87696965625489,246.0,0
3,5300,VEV_5300,1,12,59.0,14905.0,36,81.13046264648438,32.05635223488203,2070.0,0
3,5500,VEV_5400,1,12,21.0,14653.0,24,107.869873046875,42.032866248324645,492.0,0
3,5900,VEV_4000,-1,7,1284.0,23641.0,-18,-256.9578857421875,36.72381599381782,23310.0,0
3,6100,VEV_5100,1,12,205.0,21181.0,12,97.51776123046875,29.7885496203562,2430.0,0
3,6200,VEV_5100,1,12,206.0,18709.0,24,87.63119506835938,29.76027271754415,5388.0,0
3,6200,VEV_5400,1,12,22.0,18445.0,36,108.11164855957031,42.09573803655435,5640.0,0
3,6600,VEV_6500,1,12,1.0,18433.0,24,79.78785705566406,24.754821523066294,12.0,0
3,6900,VEV_5000,1,11,301.0,15122.0,11,41.92803955078125,32.0391149201608,3272.5,0
3,7600,VEV_5400,1,9,21.0,14933.0,45,106.05281066894531,50.86772946819163,934.5,0
3,7600,VEV_6500,1,12,1.0,14921.0,36,91.82359313964844,24.53314024030862,940.5,0
3,8200,VEV_4000,1,7,1310.0,5751.0,-11,-300.72509765625,36.499913311953534,14289.0,1
3,8500,VEV_5200,-1,12,120.0,7191.0,0,59.8443603515625,34.530661293623986,0.0,1
