timestamp;buyer;seller;symbol;currency;price;quantity
0;;;ASH_COATED_OSMIUM;XIRECS;9982.0;6
3600;;;ASH_COATED_OSMIUM;XIRECS;10001.0;3
4200;;;ASH_COATED_OSMIUM;XIRECS;10002.0;2
4400;;;INTARIAN_PEPPER_ROOT;XIRECS;11010.0;5
5000;;;INTARIAN_PEPPER_ROOT;XIRECS;10996.0;5
9100;;;ASH_COATED_OSMIUM;XIRECS;9994.0;4
9600;;;ASH_COATED_OSMIUM;XIRECS;9989.0;6
10000;;;ASH_COATED_OSMIUM;XIRECS;9988.0;8
12100;;;ASH_COATED_OSMIUM;XIRECS;9989.0;5
15100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;2
15100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;8
17400;;;INTARIAN_PEPPER_ROOT;XIRECS;11014.0;3
18500;;;ASH_COATED_OSMIUM;XIRECS;10010.0;6
23000;;;INTARIAN_PEPPER_ROOT;XIRECS;11014.0;4
23100;;;INTARIAN_PEPPER_ROOT;XIRECS;11019.0;4
23900;;;ASH_COATED_OSMIUM;XIRECS;9991.0;4
24300;;;ASH_COATED_OSMIUM;XIRECS;9992.0;4
24600;;;ASH_COATED_OSMIUM;XIRECS;9991.0;3
30400;;;ASH_COATED_OSMIUM;XIRECS;10010.0;2
30400;;;INTARIAN_PEPPER_ROOT;XIRECS;11036.0;6
32800;;;ASH_COATED_OSMIUM;XIRECS;9993.0;4
33300;;;INTARIAN_PEPPER_ROOT;XIRECS;11036.0;7
34000;;;ASH_COATED_OSMIUM;XIRECS;10010.0;7
34400;;;INTARIAN_PEPPER_ROOT;XIRECS;11043.0;3
34500;;;ASH_COATED_OSMIUM;XIRECS;9994.0;8
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11042.0;7
35700;;;INTARIAN_PEPPER_ROOT;XIRECS;11039.0;3
35800;;;INTARIAN_PEPPER_ROOT;XIRECS;11032.0;7
36500;;;ASH_COATED_OSMIUM;XIRECS;10013.0;3
37900;;;ASH_COATED_OSMIUM;XIRECS;9996.0;4
38400;;;ASH_COATED_OSMIUM;XIRECS;10012.0;3
39100;;;ASH_COATED_OSMIUM;XIRECS;10011.0;6
39900;;;ASH_COATED_OSMIUM;XIRECS;10013.0;7
41500;;;ASH_COATED_OSMIUM;XIRECS;10009.0;5
42800;;;INTARIAN_PEPPER_ROOT;XIRECS;11052.0;5
44700;;;INTARIAN_PEPPER_ROOT;XIRECS;11041.0;8
50900;;;ASH_COATED_OSMIUM;XIRECS;9990.0;5
51400;;;INTARIAN_PEPPER_ROOT;XIRECS;11045.0;4
54600;;;ASH_COATED_OSMIUM;XIRECS;9986.0;6
57000;;;INTARIAN_PEPPER_ROOT;XIRECS;11063.0;4
58400;;;ASH_COATED_OSMIUM;XIRECS;9990.0;3
59500;;;ASH_COATED_OSMIUM;XIRECS;10007.0;2
61700;;;INTARIAN_PEPPER_ROOT;XIRECS;11068.0;6
62000;;;ASH_COATED_OSMIUM;XIRECS;10008.0;6
63700;;;ASH_COATED_OSMIUM;XIRECS;9990.0;2
64300;;;INTARIAN_PEPPER_ROOT;XIRECS;11060.0;3
64900;;;ASH_COATED_OSMIUM;XIRECS;10005.0;4
65300;;;ASH_COATED_OSMIUM;XIRECS;9989.0;2
67600;;;INTARIAN_PEPPER_ROOT;XIRECS;11070.0;4
71500;;;INTARIAN_PEPPER_ROOT;XIRECS;11068.0;4
73700;;;INTARIAN_PEPPER_ROOT;XIRECS;11065.0;4
76300;;;ASH_COATED_OSMIUM;XIRECS;9994.0;6
76500;;;ASH_COATED_OSMIUM;XIRECS;10013.0;8
77200;;;INTARIAN_PEPPER_ROOT;XIRECS;11071.0;3
80200;;;INTARIAN_PEPPER_ROOT;XIRECS;11074.0;5
83000;;;INTARIAN_PEPPER_ROOT;XIRECS;11086.0;6
83700;;;ASH_COATED_OSMIUM;XIRECS;10009.0;2
84400;;;INTARIAN_PEPPER_ROOT;XIRECS;11087.0;5
84600;;;INTARIAN_PEPPER_ROOT;XIRECS;11091.0;6
84800;;;INTARIAN_PEPPER_ROOT;XIRECS;11088.0;5
85500;;;ASH_COATED_OSMIUM;XIRECS;9995.0;7
85700;;;ASH_COATED_OSMIUM;XIRECS;10011.0;3
85900;;;ASH_COATED_OSMIUM;XIRECS;9995.0;5
87400;;;INTARIAN_PEPPER_ROOT;XIRECS;11081.0;3
87900;;;ASH_COATED_OSMIUM;XIRECS;9993.0;5
88300;;;ASH_COATED_OSMIUM;XIRECS;10011.0;2
90200;;;ASH_COATED_OSMIUM;XIRECS;10011.0;10
90700;;;ASH_COATED_OSMIUM;XIRECS;10015.0;2
90800;;;ASH_COATED_OSMIUM;XIRECS;9994.0;6
91700;;;INTARIAN_PEPPER_ROOT;XIRECS;11088.0;8
92500;;;INTARIAN_PEPPER_ROOT;XIRECS;11101.0;7
95100;;;INTARIAN_PEPPER_ROOT;XIRECS;11091.0;8
95900;;;ASH_COATED_OSMIUM;XIRECS;10007.0;3
96900;;;ASH_COATED_OSMIUM;XIRECS;10007.0;6
96900;;;ASH_COATED_OSMIUM;XIRECS;10007.0;8
97200;;;INTARIAN_PEPPER_ROOT;XIRECS;11103.0;7
