symbol,kind,fair,source,mc_mean,mc_se,ci95_lo,ci95_hi,bid,ask,buy_edge,sell_edge,max_buy,max_sell,pure_ev_side,pure_ev_volume,pure_ev_expected_pnl,edge_abs,tiny_edge_flag
AC_50_CO,chooser,21.897658523926737,quadrature,21.885116543554787,0.0110854693127,21.863389023701895,21.90684406340768,22.2,22.3,-0.4023414760732642,0.3023414760732628,50,50,SELL,50,45351.22141098942,0.3023414760732628,False
AC_40_BP,binary_put,4.767945195522642,closed_form,4.768182,0.00223366360063177,4.763804019342762,4.772559980657238,5.0,5.1,-0.3320548044773579,0.23205480447735827,50,50,SELL,50,34808.22067160374,0.23205480447735827,False
AC_50_P_2,put,9.870709287833343,closed_form,9.87115954940814,0.004906330058034023,9.861543142494394,9.880775956321887,9.7,9.75,0.12070928783334267,-0.17070928783334338,50,50,BUY,50,18106.3931750014,0.12070928783334267,False
AC_50_C_2,call,9.870709287833343,closed_form,9.87173595722198,0.008892193276825971,9.8543072583994,9.889164656044558,9.7,9.75,0.12070928783334267,-0.17070928783334338,50,50,BUY,50,18106.3931750014,0.12070928783334267,False
AC_45_KO,ko_put,0.20556662544015467,mc_antithetic,0.20556662544015467,0.000485222929622026,0.2046155884980955,0.20651766238221383,0.15,0.175,0.030566625440154677,-0.05556662544015467,500,500,BUY,500,45849.93816023201,0.030566625440154677,False
AC,underlying,50.0,closed_form,49.99373759276855,0.015081847438507781,49.964177171789075,50.02329801374802,49.975,50.025,-0.02499999999999858,-0.02499999999999858,200,200,BUY,0,0.0,-0.02499999999999858,True
AC_50_P,put,12.026949236112511,closed_form,12.025981428157817,0.005639770950077008,12.014927477095666,12.037035379219967,12.0,12.05,-0.023050763887489722,-0.026949236112510988,50,50,BUY,0,0.0,-0.023050763887489722,False
AC_50_C,call,12.026949236112511,closed_form,12.019719020930367,0.01174033760740797,11.996707959219847,12.042730082640887,12.0,12.05,-0.023050763887489722,-0.026949236112510988,50,50,BUY,0,0.0,-0.023050763887489722,True
AC_45_P,put,9.088899920480927,closed_form,9.088314914734546,0.004811832538176941,9.07888372295972,9.097746106509373,9.05,9.1,-0.011100079519072992,-0.03889992048092594,50,50,BUY,0,0.0,-0.011100079519072992,False
AC_40_P,put,6.509540160325431,closed_form,6.509006760171117,0.003958060043418885,6.501248962486016,6.516764557856217,6.5,6.55,-0.04045983967456923,-0.009540160325430591,50,50,BUY,0,0.0,-0.009540160325430591,True
AC_60_C,call,8.791791697309286,closed_form,8.783919997460968,0.010490348241010012,8.763358914908588,8.804481080013348,8.8,8.85,-0.058208302690713865,0.00820830269071493,50,50,SELL,50,1231.2454036072395,0.00820830269071493,True
AC_35_P,put,4.336145575468787,closed_form,4.335361213125703,0.0030996018746351265,4.329285993451418,4.341436432799988,4.33,4.35,-0.013854424531212217,-0.0061455754687873565,50,50,BUY,0,0.0,-0.0061455754687873565,True
