product,signal,source_family,description,n,corr_abs_fwd5,abs_corr_abs_fwd5,direction,directed_corr_abs_fwd5,coverage
HYDROGEL_PACK,depth_change_l3,liquidity_depth,One-tick displayed depth change.,29982,0.0029382418433574484,0.0029382418433574484,positive,0.0029382418433574484,0.9994
HYDROGEL_PACK,realized_abs_ret_10,volatility_regime,Rolling absolute return over 10 ticks.,29976,0.0063150864438122345,0.0063150864438122345,positive,0.0063150864438122345,0.9992
HYDROGEL_PACK,realized_abs_ret_100,volatility_regime,Rolling absolute return over 100 ticks.,29886,-0.019874477861549673,0.019874477861549673,inverted,0.019874477861549673,0.9962
HYDROGEL_PACK,realized_abs_ret_20,volatility_regime,Rolling absolute return over 20 ticks.,29967,-0.007443767680184797,0.007443767680184797,inverted,0.007443767680184797,0.9989
HYDROGEL_PACK,realized_abs_ret_5,volatility_regime,Rolling absolute return over 5 ticks.,29976,0.009972204277545457,0.009972204277545457,positive,0.009972204277545457,0.9992
HYDROGEL_PACK,realized_abs_ret_50,volatility_regime,Rolling absolute return over 50 ticks.,29937,-0.008454722477673796,0.008454722477673796,inverted,0.008454722477673796,0.9979
HYDROGEL_PACK,rel_spread,spread_regime,Best spread scaled by mid.,29985,-0.08225433914546108,0.08225433914546108,inverted,0.08225433914546108,0.9995
HYDROGEL_PACK,spread,spread_regime,Visible best spread.,29985,-0.08244122242502311,0.08244122242502311,inverted,0.08244122242502311,0.9995
HYDROGEL_PACK,spread_change_1,spread_regime,One-tick spread change.,29982,-0.05456115351024135,0.05456115351024135,inverted,0.05456115351024135,0.9994
HYDROGEL_PACK,total_depth_1,liquidity_depth,Top level displayed depth.,29985,-0.029986435396801604,0.029986435396801604,inverted,0.029986435396801604,0.9995
HYDROGEL_PACK,total_depth_3,liquidity_depth,Displayed depth across three levels.,29985,0.01019194967790177,0.01019194967790177,positive,0.01019194967790177,0.9995
VELVETFRUIT_EXTRACT,depth_change_l3,liquidity_depth,One-tick displayed depth change.,29982,0.004651099079663901,0.004651099079663901,positive,0.004651099079663901,0.9994
VELVETFRUIT_EXTRACT,realized_abs_ret_10,volatility_regime,Rolling absolute return over 10 ticks.,29976,-0.009478166657079318,0.009478166657079318,inverted,0.009478166657079318,0.9992
VELVETFRUIT_EXTRACT,realized_abs_ret_100,volatility_regime,Rolling absolute return over 100 ticks.,29886,-0.0025412546142389225,0.0025412546142389225,inverted,0.0025412546142389225,0.9962
VELVETFRUIT_EXTRACT,realized_abs_ret_20,volatility_regime,Rolling absolute return over 20 ticks.,29967,-0.0094319161908918,0.0094319161908918,inverted,0.0094319161908918,0.9989
