day,category,product,mid_start,mid_end,net_move,ret_vol,abs_ret_mean,ret_ac1,mean_reversion_score,avg_spread,avg_top_depth,liquidity_score,jump_95,jump_99,trade_volume,trade_count,passive_mm_feasible,aggressive_feasible
2,galaxy,GALAXY_SOUNDS_BLACK_HOLES,10000.0,11446.5,1446.5,10.597468089969427,8.416991699169918,-0.01766658978810269,0.01766658978810269,13.6031,36.5445,2.6864832280877153,21.0,27.0,562,229,True,True
2,galaxy,GALAXY_SOUNDS_DARK_MATTER,10000.0,10417.0,417.0,10.066863717693048,8.017501750175018,0.002111268263293531,-0.002111268263293531,12.9228,36.5445,2.8279088123316924,19.5,26.0,562,229,True,True
2,galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,10000.0,11249.0,1249.0,10.156710309262227,8.128112811281127,-0.005584291539175153,0.005584291539175153,12.8162,36.5445,2.8514302211263867,20.0,26.5,562,229,True,True
2,galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,10000.0,11345.5,1345.5,11.116032390406172,8.866736673667367,-0.02420194761932055,0.02420194761932055,14.0921,36.5445,2.593261472740046,22.0,29.0,562,229,True,True
2,galaxy,GALAXY_SOUNDS_SOLAR_WINDS,10000.0,9583.5,-416.5,10.230709009872916,8.146464646464647,-0.011704726494308941,0.011704726494308941,12.8726,36.5445,2.8389369668909157,20.0,26.5,562,229,True,True
2,microchip,MICROCHIP_CIRCLE,10000.0,8875.0,-1125.0,9.207929793463705,7.354835483548355,-0.008573147597299925,0.008573147597299925,8.2583,13.5227,1.6374677597084146,18.0,24.0,342,174,False,True
2,microchip,MICROCHIP_OVAL,10000.0,9256.0,-744.0,14.565551126351865,11.58105810581058,-0.0013617411777364795,0.0013617411777364795,8.7157,12.4336,1.4265750312654175,28.5,38.0,342,174,False,True
2,microchip,MICROCHIP_RECTANGLE,10000.0,9420.5,-579.5,14.33550023955767,11.358185818581859,-0.003339426590520381,0.003339426590520381,8.5759,12.79,1.491388658916265,28.0,37.0,342,174,False,True
2,microchip,MICROCHIP_SQUARE,10000.0,12455.5,2455.5,16.87053157582718,13.38018801880188,-0.023766473466397906,0.023766473466397906,9.9049,11.9351,1.204969257640158,33.5,44.0,342,174,False,True
2,microchip,MICROCHIP_TRIANGLE,10000.0,10704.0,704.0,15.298818540305893,12.15101510151015,-0.00020439900424347056,0.00020439900424347056,9.0691,11.9816,1.3211454278814876,30.0,39.0,342,174,False,True
2,oxygen,OXYGEN_SHAKE_CHOCOLATE,10000.0,9490.0,-510.0,10.686546166408053,7.411241124112411,-0.12139174640399306,0.12139174640399306,11.8201,36.5445,3.0917251123086946,20.0,30.0,562,229,True,True
2,oxygen,OXYGEN_SHAKE_EVENING_BREATH,10000.0,8430.0,-1570.0,12.377587365951154,7.090809080908091,-0.17377975645787952,0.17377975645787952,11.993,36.5445,3.047152505628283,20.0,30.0,562,229,True,True
2,oxygen,OXYGEN_SHAKE_GARLIC,10000.0,11828.5,1828.5,11.132256296311995,8.823532353235324,0.0050567858812100575,-0.0050567858812100575,14.0454,36.5445,2.601883890811226,22.0,28.0,562,229,True,True
2,oxygen,OXYGEN_SHAKE_MINT,10000.0,10106.5,106.5,9.85370849595567,7.9075407540754075,0.01094990767075462,-0.01094990767075462,12.6696,36.5445,2.8844241333585905,19.0,25.0,562,229,True,True
2,oxygen,OXYGEN_SHAKE_MORNING_BREATH,10000.0,10999.5,999.5,10.66869795757715,8.495299529952995,0.0016397487827117694,-0.0016397487827117694,13.4889,36.5445,2.7092275871271934,21.0,27.0,562,229,True,True
2,panel,PANEL_1X2,10000.0,8431.5,-1568.5,9.406368512551541,7.518401840184018,0.0013181473000655026,-0.0013181473000655026,11.8891,36.5445,3.0737818674247843,18.0,24.5,562,229,True,True
2,panel,PANEL_1X4,10000.0,11065.0,1065.0,10.14605839061397,8.085108510851086,-0.005597869910917688,0.005597869910917688,8.8769,22.2877,2.5107526276064847,20.0,26.0,562,229,True,True
