category,products,avg_spread,avg_depth,mean_within_return_corr,mean_ret_vol,category_move_score
oxygen,"OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC",12.8954,36.5128,0.007128856557634826,10.741609177663861,3.8298129812981307
microchip,"MICROCHIP_CIRCLE,MICROCHIP_OVAL,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE",8.790386666666668,13.660246666666666,0.006174584855964092,13.92340561658554,5.2300363369670295
visor,"UV_VISOR_YELLOW,UV_VISOR_AMBER,UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_MAGENTA",13.12912,36.51816,0.006030901300117842,10.32374549037268,3.762952961962862
translator,"TRANSLATOR_SPACE_GRAY,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE",8.781153333333334,22.93116666666667,0.00450648791673443,9.932322035119503,3.5826449311597828
panel,"PANEL_1X2,PANEL_2X2,PANEL_1X4,PANEL_2X4,PANEL_4X4",9.398566666666667,25.78610666666667,0.004441630880194033,9.862360749793101,3.5597693102643597
galaxy,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_SOLAR_FLAMES",13.725286666666667,36.5128,0.003999255662815179,10.836471768894873,3.8994699469946994
sleep,"SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",9.652026666666666,22.084366666666664,0.002675884000836981,11.046896348184424,3.962659599293262
robot,"ROBOT_VACUUMING,ROBOT_MOPPING,ROBOT_DISHES,ROBOT_LAUNDRY,ROBOT_IRONING",7.126446666666666,15.861326666666665,-0.0012299047590357505,11.241982907742118,3.8809347601426807
snack,"SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY",16.78688,58.9913,-0.15995537732596066,6.910373815924777,1.182004867153382
pebbles,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL",12.813713333333332,25.209973333333334,-0.19613746583464853,18.109205907600675,0.2749208254158749
