category,product,ret_vol,abs_ret_mean,ret_ac1,mean_reversion_score,avg_spread,avg_top_depth,liquidity_score,jump_95,jump_99,trade_volume,trade_count,passive_mm_feasible,aggressive_feasible
galaxy,GALAXY_SOUNDS_BLACK_HOLES,11.447457785158866,9.10966096609661,-0.015915602235160056,0.015915602235160056,14.512766666666666,36.5128,2.526996083000764,22.666666666666668,29.666666666666668,1805,733,1.0,1.0
galaxy,GALAXY_SOUNDS_DARK_MATTER,10.243923782258081,8.175117511751175,-0.01169475765059072,0.01169475765059072,13.050833333333335,36.5128,2.7981327607468596,20.0,26.5,1805,733,1.0,1.0
galaxy,GALAXY_SOUNDS_PLANETARY_RINGS,10.861377227489653,8.657565756575657,-0.004194424108159044,0.004194424108159044,13.690033333333332,36.5128,2.6753610927310683,21.333333333333332,28.166666666666668,1805,733,1.0,1.0
galaxy,GALAXY_SOUNDS_SOLAR_FLAMES,11.093421228732632,8.855018835216855,-0.012191441606018925,0.012191441606018925,14.071533333333335,36.5128,2.595110283284096,21.833333333333332,29.0,1805,733,1.0,1.0
galaxy,GALAXY_SOUNDS_SOLAR_WINDS,10.53346936420913,8.394456112277895,-0.007750922549863648,0.007750922549863648,13.301266666666669,36.5128,2.747963971378183,20.833333333333332,27.333333333333332,1805,733,1.0,1.0
microchip,MICROCHIP_CIRCLE,9.22782368866016,7.348968230156349,-0.0054939317750724295,0.0054939317750724295,8.262166666666667,13.522233333333332,1.6391174123108392,18.166666666666668,24.0,1119,569,0.0,1.0
microchip,MICROCHIP_OVAL,12.285350933937655,9.753158649198253,-0.007749525225159116,0.007749525225159116,7.449766666666666,15.544066666666666,2.209208328614207,24.333333333333332,32.17000000000007,1119,569,0.0,1.0
microchip,MICROCHIP_RECTANGLE,13.100535075898714,10.420358702536921,-0.0027082484244108627,0.0027082484244108627,7.885766666666666,14.444266666666666,1.8472572456027798,25.666666666666668,33.83666666666674,1119,569,0.0,1.0
microchip,MICROCHIP_SQUARE,20.541198953870463,16.30826415974931,-0.023758630289450133,0.023758630289450133,11.7188,11.914766666666665,1.0303202338955695,40.333333333333336,53.5,1119,569,0.0,1.0
microchip,MICROCHIP_TRIANGLE,14.458638143993554,11.497816448311497,-0.007753553330245398,0.007753553330245398,8.635433333333333,12.8759,1.5091019322249053,28.333333333333332,37.17000000000007,1119,569,0.0,1.0
oxygen,OXYGEN_SHAKE_CHOCOLATE,10.811015592316565,7.692135880254692,-0.07979589993588464,0.07979589993588464,12.185466666666665,36.5128,3.0010540879553464,19.5,27.666666666666668,1805,733,1.0,1.0
oxygen,OXYGEN_SHAKE_EVENING_BREATH,10.934506664639143,7.361369470280361,-0.1149896997245841,0.1149896997245841,11.860466666666667,36.5128,3.0787045425133375,20.0,27.666666666666668,1805,733,1.0,1.0
oxygen,OXYGEN_SHAKE_GARLIC,11.991996164456772,9.553121978864553,-0.003299632894568526,0.003299632894568526,15.0546,36.5128,2.433971370457838,23.5,30.670000000000073,1805,733,1.0,1.0
oxygen,OXYGEN_SHAKE_MINT,9.87814069209736,7.9002733606694,-0.0031007756084371406,0.0031007756084371406,12.593566666666668,36.5128,2.9028233474469496,19.166666666666668,25.0,1805,733,1.0,1.0
oxygen,OXYGEN_SHAKE_MORNING_BREATH,10.08970103679612,8.035636897023036,-0.005747965414449226,0.005747965414449226,12.7829,36.5128,2.8612046746390543,20.0,26.0,1805,733,1.0,1.0
panel,PANEL_1X2,9.041581262175145,7.207220722072208,-0.0028299220282999565,0.0028299220282999565,11.509766666666666,36.5128,3.1797768425853943,17.666666666666668,23.5,1805,733,1.0,1.0
panel,PANEL_1X4,9.457152528648544,7.515368203487015,-0.0023432745496944707,0.0023432745496944707,8.376633333333332,24.3759,2.9355749914137816,18.666666666666668,24.5,1805,733,1.0,1.0
panel,PANEL_2X2,9.580099162330837,7.646798013134647,-0.010271726327689162,0.010271726327689162,8.515466666666667,23.663433333333334,2.800399378618614,18.5,24.503333333333405,1805,733,1.0,1.0
panel,PANEL_2X4,11.275923706999228,9.012517918458512,-0.0011703018443315414,0.0011703018443315414,9.8405,21.736333333333334,2.2119347534123737,22.166666666666668,29.0,1805,733,1.0,1.0
panel,PANEL_4X4,9.954581190385454,7.93919391939194,-0.006075427461974636,0.006075427461974636,8.750466666666666,22.642066666666665,2.5900415464078246,19.666666666666668,25.333333333333332,1805,733,1.0,1.0
pebbles,PEBBLES_L,15.024691511442748,11.99189918991899,0.006868802517153498,-0.006868802517153498,13.0205,24.813633333333332,1.9067228712305158,29.333333333333332,38.67000000000007,2283,644,1.0,1.0
pebbles,PEBBLES_M,15.132741320341973,12.083758375837583,-0.004845104338977072,0.004845104338977072,13.1209,24.813633333333332,1.8944559420633296,29.683333333333394,38.67333333333348,2283,644,1.0,1.0
pebbles,PEBBLES_S,15.019624915530642,11.987632096542988,0.007777596157675384,-0.007777596157675384,11.551533333333333,24.813633333333332,2.1602079996798866,29.350000000000062,38.50666666666681,2283,644,1.0,1.0
pebbles,PEBBLES_XL,30.312633418002587,24.1955528886222,0.0076041012730205275,-0.0076041012730205275,16.630766666666666,24.813633333333332,1.5049772972402418,59.35000000000006,78.17000000000007,2283,644,1.0,1.0
pebbles,PEBBLES_XS,15.051810505222276,12.031586491982532,-0.01570013693474459,0.01570013693474459,9.744866666666667,26.795333333333332,2.8459884197630174,29.333333333333332,38.666666666666664,2283,644,1.0,1.0
robot,ROBOT_DISHES,15.712819031146106,8.06068940227356,-0.09848414568505433,0.09848414568505433,7.350266666666667,15.233766666666666,2.089560575970474,46.166666666666664,50.17000000000007,1805,733,0.0,1.0
robot,ROBOT_IRONING,10.330918188667031,6.962496249624962,-0.11756689976982408,0.11756689976982408,6.392933333333333,16.702933333333334,2.5879733105393403,20.0,23.833333333333332,1805,733,0.3333333333333333,1.0
robot,ROBOT_LAUNDRY,9.80546934006678,7.842634263426343,0.006112365648152191,-0.006112365648152191,7.165066666666667,16.095133333333333,2.258320852943577,19.0,25.0,1805,733,0.0,1.0
robot,ROBOT_MOPPING,11.134119795523654,8.867570090342367,-0.011665310415790687,0.011665310415790687,7.970666666666666,14.129333333333333,1.7790882330739992,21.666666666666668,29.0,1805,733,0.0,1.0
robot,ROBOT_VACUUMING,9.223777336222447,7.343584358435844,-0.00799989599437497,0.00799989599437497,6.7533,17.145466666666668,2.5478833634897327,18.0,24.0,1805,733,0.0,1.0
sleep,SLEEP_POD_COTTON,11.649722872109331,9.286945361202788,-0.002931010165942096,0.002931010165942096,10.050199999999998,21.739366666666665,2.1698996772440093,22.833333333333332,30.166666666666668,1805,733,1.0,1.0
sleep,SLEEP_POD_LAMB_WOOL,10.71041776681546,8.51045104510451,0.0033704677538430195,-0.0033704677538430195,9.4001,21.745500000000003,2.3137357149473115,21.0,27.503333333333405,1805,733,1.0,1.0
sleep,SLEEP_POD_NYLON,9.613675016914529,7.642730939760643,0.0007954284644320405,-0.0007954284644320405,8.564666666666668,23.365433333333332,2.7361304634755634,18.833333333333332,24.83666666666674,1805,733,1.0,1.0
sleep,SLEEP_POD_POLYESTER,11.862788974716167,9.46914691469147,-0.0013177896691019533,0.0013177896691019533,10.295700000000002,21.752133333333333,2.1222729977297465,23.166666666666668,30.166666666666668,1805,733,1.0,1.0
sleep,SLEEP_POD_SUEDE,11.395115041019194,9.084475114178085,-0.005789569771403065,0.005789569771403065,9.949466666666666,21.8194,2.2029915869274195,22.166666666666668,29.5,1805,733,1.0,1.0
snack,SNACKPACK_CHOCOLATE,6.575484284353475,5.235023502350235,-0.031001791880798307,0.031001791880798307,16.471166666666665,58.9913,3.582004794734822,13.0,17.166666666666668,1805,733,1.0,0.0
snack,SNACKPACK_PISTACHIO,5.237370434940469,4.175834250091675,-0.025060536790778142,0.025060536790778142,15.925633333333332,58.9913,3.704708385368578,10.166666666666666,13.5,1805,733,1.0,0.0
snack,SNACKPACK_RASPBERRY,8.091587880968365,6.456962362902956,-0.016942349968384677,0.016942349968384677,16.842466666666667,58.9913,3.5025609183095647,16.0,20.833333333333332,1805,733,1.0,0.0
snack,SNACKPACK_STRAWBERRY,8.13280743826411,6.4865819915324865,-0.014157423644748734,0.014157423644748734,17.826466666666665,58.9913,3.311748083736991,16.0,20.833333333333332,1805,733,1.0,0.0
snack,SNACKPACK_VANILLA,6.512891231666226,5.186351968530186,-0.026893162173814118,0.026893162173814118,16.868666666666666,58.9913,3.497253202016237,13.0,16.83666666666674,1805,733,1.0,0.0
translator,TRANSLATOR_ASTRO_BLACK,9.438450893883997,7.51985198519852,-0.006662413008285211,0.006662413008285211,8.3664,24.097633333333334,2.8906654263872404,18.516666666666726,24.333333333333332,1805,733,1.0,1.0
translator,TRANSLATOR_ECLIPSE_CHARCOAL,9.855714762831576,7.835566890022335,-0.007577374846777493,0.007577374846777493,8.700433333333335,22.6464,2.603901930814194,19.333333333333332,25.666666666666668,1805,733,1.0,1.0
translator,TRANSLATOR_GRAPHITE_MIST,10.123448387388086,8.07817448411508,-0.0032687511359534393,0.0032687511359534393,8.9121,22.20266666666667,2.493750022188968,20.0,25.666666666666668,1805,733,1.0,1.0
translator,TRANSLATOR_SPACE_GRAY,9.4187541851178,7.517951795179518,0.007723823607995194,-0.007723823607995194,8.402166666666666,23.884966666666667,2.850020383473091,18.666666666666668,24.166666666666668,1805,733,1.0,1.0
