category,a,b,level_corr,return_corr,spread_mean,spread_std,spread_adf_t,spread_stationary_5pct,hedge_beta,hedge_intercept,hedged_resid_std,hedged_adf_t,hedged_stationary_5pct
microchip,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,-0.8822983028170573,0.006099275941478972,4862.30895,2518.711864675718,-1.9512121961686262,False,-2.147323256002338,32346.11839788494,861.4683261283823,-3.559764766834121,True
snack,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,-0.44123736279274667,0.9132915988764266,-1210.7645833333333,476.9579478884832,-2.4864423261569044,False,-0.22754657180491034,11932.09597649898,168.2534466576309,-3.515107622116603,True
snack,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,-0.5410357062745228,0.01679661575009163,-863.23685,501.4397331787848,-2.119730376574573,False,-0.29871267538249946,13041.571319308008,168.8138373027771,-3.4791270502418166,True
snack,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.47043771895497294,0.02486169002962509,347.52773333333334,200.08913367345951,-3.63321825500992,True,0.5036534841338648,5060.756776579467,177.1307985583223,-3.3544436272068365,True
sleep,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,0.49317301761675836,0.0031639236161763455,1064.96915,471.3650741622083,-2.8077377012508244,False,0.4005354775093405,6841.692575671173,359.422675744354,-3.3137627996379777,True
snack,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,-0.31314145872656585,0.039709181041534355,601.45855,296.6159069238041,-2.3745223843698073,False,-0.29814299063255056,12928.421770561577,169.53367463857384,-3.3021784135891656,True
robot,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.7874170941198322,-0.00189325631145325,-655.9859166666666,382.1646057568995,-3.229380445608498,True,0.6860760206514636,2427.614524389728,329.9389449736151,-3.1791222776875467,True
microchip,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,0.8704587961153507,0.0019009375681978277,-1506.7923666666666,922.6861198813671,-1.9823249801843599,False,1.6209796083664454,-7521.843708079229,763.9022411637997,-3.1755936431738263,True
snack,SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.28432876351587916,0.03110640581843255,-609.3060333333333,356.5683578599372,-2.8177064552697138,False,0.13960560215181997,8602.599940020373,171.1439113489388,-3.1723201416527242,True
visor,UV_VISOR_AMBER,UV_VISOR_MAGENTA,-0.8672762206862544,0.0061298496859452075,-3200.09665,1559.2221340999206,-1.95415341920767,False,-1.4091713819950065,23570.1168073353,496.28445403394187,-3.121015422763462,True
sleep,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,0.8752369904278969,-0.0070185734717072125,312.9469833333333,473.91176288162166,-3.064930070728998,True,0.9638229304629592,729.9822754015968,472.8224573692419,-3.0330463023862633,True
robot,ROBOT_VACUUMING,ROBOT_DISHES,-0.6864892643087364,0.00540692748476736,-851.5391166666667,1002.6907460236945,-0.5110562280389841,False,-0.660121275159777,15780.078590073526,389.20145684778686,-2.9880065029327945,True
galaxy,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.4342114192405974,0.006477868740506604,-540.0113666666666,689.86505274882,-1.6012817621954187,False,0.18749942614840873,8207.916773264205,297.8936951915372,-2.983535848363848,True
snack,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,0.02194549909238753,0.01442981646245501,19.4904,243.66311314567085,-3.608434199374287,True,0.0230699240725033,9864.808107471708,178.46866002351658,-2.981843383373688,True
oxygen,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,0.645802493731828,0.006776570793153737,-2368.7606333333333,729.954675798618,-3.1179192369483535,True,0.37975377733774607,5028.07238477243,428.0147156887335,-2.903541161268776,True
translator,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,0.46729210007453426,-0.004270601245179451,-1044.83745,519.1105457278159,-2.563287030059338,False,0.28689698919962103,6698.448165614773,314.4143290339329,-2.8687164569441204,True
pebbles,PEBBLES_XS,PEBBLES_M,-0.6940755442783411,0.01459862417916062,-2858.603416666667,1989.513912210717,-1.2587743689097073,False,-1.4627359808803773,22417.054851453595,1043.514527169734,-2.782954744064453,False
translator,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,-0.6654088797856559,0.004672460888266638,-1473.3601666666666,976.161355060374,-1.4122232883593595,False,-0.5625878239121583,15494.1236845842,365.57905011948725,-2.7368077366820955,False
galaxy,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.022533526267267793,0.0042919461949617686,-865.9098833333334,564.5321284515048,-2.5267729520556346,False,-0.016554130050890698,10410.289691187296,330.6110371588473,-2.7360821713925834,False
snack,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.04608087579304322,0.03072934970422049,-234.44041666666666,256.8790884991609,-3.364832223838802,True,0.05447121989053218,9294.420932901141,200.51674694566577,-2.733007257923205,False
galaxy,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,-0.015680856778283625,-0.001104596740485531,-210.88215,638.5625495880396,-1.9966237534889142,False,-0.009583375268744311,10326.688717383251,330.6543449586097,-2.7292414483822434,False
galaxy,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,-0.008066705340676945,5.640856674351722e-05,-1240.2102666666667,1016.3947104699346,-0.9029751736645316,False,-0.002783325620222495,10258.577855520023,330.6842450108312,-2.7292141221123605,False
