product,signal,corr,hit_rate,proxy_pnl
HYDROGEL_PACK,micro_edge,0.29698147543165543,0.9739854318418314,4454.982687281264
HYDROGEL_PACK,imbalance,0.3267816709336313,0.9737373737373738,344.80946027547753
HYDROGEL_PACK,flow,nan,nan,0.0
HYDROGEL_PACK,hybrid,0.30364854107020606,0.9737373737373738,2399.8960737783705
HYDROGEL_PACK,wall_mid,nan,nan,0.0
VELVETFRUIT_EXTRACT,micro_edge,0.22695721761642215,0.4960464190226975,7118.4473994101345
VELVETFRUIT_EXTRACT,imbalance,0.32083282979856537,0.8349514563106796,216.8159301767775
VELVETFRUIT_EXTRACT,flow,nan,nan,0.0
VELVETFRUIT_EXTRACT,hybrid,0.23288559050445026,0.4961332878426021,3667.631664793456
VELVETFRUIT_EXTRACT,wall_mid,nan,nan,0.0
